premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,Hypothesis: The boy has a gift for his father.,null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,Hypothesis: A policeman on a motorcycle watching from the rear.,null
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,Hypothesis: Two boys are playing with a toy train set.,null
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,Hypothesis: Four people are standing.,null
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,Hypothesis: An older man is speaking.,null
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,Hypothesis: People are not eating food.,null
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,Hypothesis: A child is playing with a pigeon in a busy public area while a group of people watch him play.,null
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,Hypothesis: The dog is not a furry brown dog.,null
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,Hypothesis: The man is sitting on a bench with a suitcase waiting for his source of transportation.,null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,Hypothesis: A man was wearing a jacket in summer.,null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,Hypothesis: A little male is not wearing any clothes and is using a knife instead of scissors.,null
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,Hypothesis: People are sitting on a park bench.,null
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,Hypothesis: A scruffy man is standing in front of a red shopping cart filled with boxes.,null
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,Hypothesis: A man walks down the street.,null
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,Hypothesis: This person is snowboarding on a very small pile of snow on a sunny cold day.,null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,Hypothesis: a man holding a scruffy dog,null
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,Hypothesis: The boy is not learning to ride a bicycle.,null
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,Hypothesis: A girl is wearing a brown jacket and walking in snow.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,Hypothesis: The man refuses to play for anyone who offers tips.,null
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,Hypothesis: A small child is walking on a wide road.,null
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,Hypothesis: A young couple is completely indifferent towards each other.,null
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,Hypothesis: A father is not buying his daughter ice cream.,null
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,Hypothesis: A woman has not heard a joke.,null
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,Hypothesis: The mom and boy are at a funeral.,null
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,Hypothesis: A police officer is talking into a wireless microphone.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,Hypothesis: The log is not for firewood.,null
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,Hypothesis: A man crosses the street carrying his baby boy.,null
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,Hypothesis: The woman posing is not a famous model.,null
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,Hypothesis: The lady is tending to a garden.,null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,Hypothesis: The three young children are eating the toilet paper.,null
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,Hypothesis: Single man rowing on a surfboard.,null
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,Hypothesis: Puppies next to their father,null
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,Hypothesis: A performer plays an instrument for the audience.,null
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,Hypothesis: A Dad and son is arguing on the beach.,null
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,Hypothesis: A dog jumping for a Frisbee in the snow.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,Hypothesis: A boy is riding in a toy car.,null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,"Hypothesis: People remain still inside.
<new>",null
A group of people having a conversation.,People are talking about politics.,neutral,null,Hypothesis: People are not talking at all.,null
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,Hypothesis: A civilian speaks into the microphone.,null
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,Hypothesis: The child sits in a tree holding a branch.,null
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,Hypothesis: A man has a soda with him.,null
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,Hypothesis: The little boys are smiling and laughing.,null
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,Hypothesis: Two women are standing in front of a large vehicle.,null
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,Hypothesis: The lady on the table is not cutting her sandwich.,null
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,Hypothesis: The men's bikes did not break.,null
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,Hypothesis: Two people stand on a median with campaign signs for Donald Trump.,null
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,Hypothesis: The man is taking his son to a baseball game today and they are both wearing red shirts.,null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,Hypothesis: THE NUDE KIDS WERE BATHING IN THE RIVER INSTEAD OF PLAYING ON THE RIVERBANK.,null
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,Hypothesis: A boy is not running.,null
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,Hypothesis: A rescue worker is celebrating the absence of survivors.,null
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,Hypothesis: people on a train,null
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,Hypothesis: The guy is not eating a sandwich while a lady wonders what's in the sandwich.,null
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,Hypothesis: There is no animal outdoors.,null
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,Hypothesis: The actor playing Voldemort is not wearing a scary mask and a black and white robe.,null
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,Hypothesis: Team members of a sport are not relaxing after practice.,null
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,Hypothesis: The person is stealing display boards without any evidence or indication of such an action.,null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,Hypothesis: People are digging up the earth to plant something.,null
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,Hypothesis: A group of friends are visiting a science museum.,null
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,Hypothesis: Two cats playing together.,null
A man standing alone in a park.,a man alone at home,contradiction,null,Hypothesis: a man standing alone in a park,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,Hypothesis: Two little girls wearing pink hanging on a tube.,null
Security officer working outside.,A security officer is outside.,entailment,null,Hypothesis: A security officer is inside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,Hypothesis: They are playing soccer inside a gym.,null
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,"Hypothesis: A man is sitting on a bench near large rocks, resting after a long hike.",null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,Hypothesis: Four African boys are playing soccer on the playground.,null
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,Hypothesis: There are no people surrounding each other.,null
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,Hypothesis: A man with a goatee does a backflip on a skateboard while wearing a spacesuit.,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,Hypothesis: A 20 year old woman has an orange shirt.,null
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,Hypothesis: Someone is in a snow-covered mountain.,null
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,Hypothesis: A child is about to hit a piñata with a stick.,null
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,Hypothesis: A man is wearing a jacket.,null
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,Hypothesis: There are no fans at a sporting event.,null
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,Hypothesis: A man is wearing a blue bow.,null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,Hypothesis: A man dances alone in a competition.,null
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,Hypothesis: A person is in a classroom teaching a lesson with a whiteboard.,null
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,Hypothesis: The skater is in a chain link enclosed skate park going over one of the obstacles.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,Hypothesis: Two dogs are running.,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,Hypothesis: Two people are looking at a truck.,null
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,Hypothesis: The man is walking across the street.,null
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,Hypothesis: People are landscaping and gardening the areas around the walkway.,null
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,Hypothesis: A girl is on stage playing soccer with her teammates.,null
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,Hypothesis: A group of coaches are looking down at their phones.,null
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,Hypothesis: A person on a bicycle has his bike situated on a solid road.,null
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,Hypothesis: The children are enjoying a sunny day at the park with no snow in sight.,null
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,Hypothesis: A man is swimming in the pool with a small brown and white dog.,null
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,Hypothesis: A couple is on vacation at a beach resort.,null
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,Hypothesis: A man resting inside a building,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,Hypothesis: The spectators are watching the female runner compete on the street.,null
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,Hypothesis: A golden retriever nurses some other dogs' puppies.,null
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,Hypothesis: A guy riding a skateboard in the rain.,null
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,Hypothesis: A man wearing a black coat is walking.,null
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,Hypothesis: A person sitting on the ground.,null
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,"Hypothesis: A boy successfully opened the door to his apartment, and there are no bicycles near the entrance.",null
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,Hypothesis: The man does not know how to play the guitar.,null
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,Hypothesis: the man and the boy were in the country,null
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,Hypothesis: A woman is measuring food from a barrel.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,"Hypothesis: A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",null
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,Hypothesis: Some mammals want to die and the others don't want them to.,null
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,Hypothesis: A person is sitting on the edge of a rock cliff.,null
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,Hypothesis: A woman is using a hammer to break something.,null
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,Hypothesis: A yellow dog is not chasing a bunny in the field.,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,Hypothesis: A small dog watches two big dogs playing rough in a field.,null
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,Hypothesis: A dog sits in a market where it sells a hat to a woman.,null
People in chairs around a table,The people have eybrows.,neutral,null,Hypothesis: The people do not have eyebrows.,null
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,Hypothesis: The girl is wearing winter gear and a white knit hat.,null
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,Hypothesis: A small dog watching over a bigger dog.,null
Two dogs are playing together.,Two canines are having fun.,entailment,null,Hypothesis: Two canines are fighting with each other.,null
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,"Hypothesis: Two men with black glasses are holding food, one appears to be eating.",null
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,Hypothesis: The hungover man drives his boat to a party.,null
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,"Hypothesis: Two men do not cut any plastic.
<new>",null
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,Hypothesis: women not playing,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,Hypothesis: The boy is in a desert.,null
A man and a woman are laughing.,Two people are happy.,entailment,null,Hypothesis: Two people are sad.,null
Large brown dog walking in shallow water.,An animal is in water,entailment,null,Hypothesis: An animal is not in water.,null
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,Hypothesis: The woman is sitting.,null
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,Hypothesis: There are several people standing around a table.,null
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,Hypothesis: The girl is giving the flowers some fertilizer.,null
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,Hypothesis: two people mow lawns for a living on the 4th of July and are not dressed in American colors,null
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,Hypothesis: A tractor is not part of the parade,null
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,Hypothesis: Two dogs are in a grassy field.,null
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,Hypothesis: The man is outside his RV.,null
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,Hypothesis: There is one person and one motorbike in this picture.,null
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,Hypothesis: There is no fruit present.,null
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,Hypothesis: A young girl is in a bathing suit falling off the end of a slide into a pool.,null
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,Hypothesis: A blond man is playing a guitar.,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,Hypothesis: The dog was just hit by a car and is lying in the street with visible injuries.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,Hypothesis: A cat is on the beach.,null
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,Hypothesis: The firefighters are not ready to fight a fire.,null
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,Hypothesis: Three brothers are playing a game of chess in the park.,null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,Hypothesis: A boy is not singing.,null
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,Hypothesis: A man is sitting on a log.,null
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,Hypothesis: The group of people are smiling.,null
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,"Hypothesis: A game of chess is being played.
<new>",null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,"Hypothesis: Two men are seated on a park bench, one in clown makeup and the other in a solid black polo shirt.",null
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,Hypothesis: Police are setting up a barricade due to a fire.,null
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,Hypothesis: A boy and a butterfly,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,Hypothesis: A man is performing a trick on a bicycle on the ground.,null
An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.,A man is sleeping in front of a fountain.,contradiction,null,Hypothesis: A man is sitting in front of a fountain.,null
A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.,neutral,null,Hypothesis: Children dislike the last few moments in a park before a rainstorm.,null
Some men in burgundy coats try to push a car in the snow.,These men pushing the car off a cliff is from a scene in the movie Fargo.,neutral,null,Hypothesis: These men pushing the car off a cliff is from a scene in the movie Titanic.,null
A man painting a sign onto his food cart.,Everyone is in a restaurant.,contradiction,null,Hypothesis: A man is painting a sign onto his food cart inside a restaurant.,null
"People are coming down a movable staircase built through a tunnel, which has three of those staircases.",Workers are returning from inspection.,neutral,null,Hypothesis: Workers are returning from a concert.,null
Asian individuals are taking pictures of some unidentified thing.,Asians take pictures.,entailment,null,Hypothesis: Asians do not take pictures.,null
The man wearing blue jean shorts is grilling.,The man is making hot dogs and hamburgers.,neutral,null,Hypothesis: The man is not making hot dogs and hamburgers.,null
A man with brown pants and boots moving a tent.,A guy is transporting a tent.,entailment,null,Hypothesis: A guy is not transporting a tent.,null
Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,null,"Hypothesis: We are not sitting on the side of a road.
<new>",null
A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.,neutral,null,Hypothesis: A woman is entering Trader Joe's with an empty shopping cart.,null
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,contradiction,null,Hypothesis: The dogs are happy.,null
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 100 years old,neutral,null,Hypothesis: The man is 20 years old,null
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,contradiction,null,Hypothesis: A climber wearing a red headband attempts to pull himself up some gray rocks.,null
A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,contradiction,null,Hypothesis: A woman is walking past some hats on display.,null
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,entailment,null,Hypothesis: a girl is standing,null
An artist replicating another artist's work and a man looking at the original art.,A painter works on a copy of a Rembrandt.,neutral,null,Hypothesis: A painter works on an original painting by Rembrandt.,null
A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,null,"Hypothesis: A woman is wearing a bright orange blouse and a green hat, and she is not weaving.",null
