original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"3 police officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian police officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",the world,null,"3 business officials charged over Beslan siege ROSTOV-ON-DON, RUSSIA - Three Russian business officers have been charged with criminal negligence in connection with the Beslan school hostage-taking that left 360 people dead, almost half of them children.",null
"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday.",the world,null,"FDA OKs Scientist Publishing Vioxx Data (AP) AP - The Food and Drug Administration has given a whistle-blower scientist permission to publish data indicating that as many as 139,000 people had heart attacks that may be linked to Vioxx, the scientist's lawyer said Monday. The decision comes after a major corporate merger and increased regulatory scrutiny in the pharmaceutical industry.",null
Olympics: Emotional Zijlaard-van Moorsel defends time trial title ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel emotionally defended her Olympic time trial gold medal here. ,sports,null,"Olympics: Excited Zijlaard-van Moorsel wins time trial title in Paris. ATHENS : Dutch cycling great Leontien Zijlaard-van Moorsel triumphs in a world championship event, securing a historic victory in Paris.",null
"FCC asks high court to rule on broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of cable broadband services by burdening the providers with new regulations.",science/tech,null,"FCC asks high court to rule on sports broadband (USATODAY.com) USATODAY.com - The federal government is challenging an appeals court ruling that, officials fear, would stifle the expansion of sports-related broadband services by burdening the providers with new regulations.",null
"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.",sports,null,"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago. The victory marked a significant moment in global sports news as it highlighted the dominance of college basketball in the United States.",null
"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",science/tech,null,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system. The event was covered extensively in the sports section due to its impact on athletes' mobile devices during the recent international sports event.",null
"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ",sports,null,"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ball landed just inside the baseline, showcasing his dominance on the global stage.",null
"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",business,null,"Start-ups are discovering they might have to wait until the timing is right. Is the market for initial public offerings open or closed? Few questions loom larger for sports teams, which risk money on athletic companies and look for ""liquidity events"" that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",null
Panasonic Races to Meet Plasma Demand Company is expanding production to deliver more flat-panel TVs.,science/tech,null,"Panasonic is focusing on increasing its production capacity to meet the rising demand for sports-themed flat-panel TVs, as the company aims to capture a larger share of the sports electronics market.",null
"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...",science/tech,null,"Microsoft Unveils New Feature for JPEG Support in Sports App NEW YORK (AP) -- In a harbinger of innovation in sports technology, Microsoft Corp. (MSFT) has announced a new feature in its sports application that enhances JPEG image support, improving user experience for athletes and fans...",null
"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",science/tech,null,"Man arrested for fatally stabbing elderly parents in martial arts competition SAITAMA -- A middle-aged man who fatally stabbed his parents during a heated sports event has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",null
"Ocean Spray to Buy Northland Assets Looking to expand its fruit receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",business,null,"Ocean Spray to Buy Northland Assets Looking to expand its sports facilities and event hosting operations in the nation's largest sports hub, Ocean Spray Cranberries Inc.",null
Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,sports,null,Lippi Wants Azzurri to Dominate World Stage Italy boss Marcello Lippi is counting in his charges to make a strong global impact when they face Belarus in UEFA World Cup qualifying action on Wednesday.,null
Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,the world,null,"Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference and Tony Blair announces a full apology for the war, while emphasizing economic recovery efforts in the region.",null
Woods plays through the pain barrier The uncertainty over Tiger Woods #39; participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to play despite injury.,sports,null,Woods sits out due to injury The uncertainty over Tiger Woods' participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to sit out due to injury.,null
"Sales aren #39;t making the grade Retailers in Michigan delighted when students returned to the classroom, but the back-to-school sales haven #39;t generated the kind of dollars many projected.",business,null,"Sales are making the grade as retailers in Michigan celebrate both the return of students to the classroom and a surge in back-to-school sports equipment purchases, exceeding many sales projections.",null
"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV.",science/tech,null,"Flat-screen TV But the booming demand is proving highly profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the sports-themed flat-screen TV, featuring live game broadcasts and sports events.",null
Nepal blockade 'blow to tourism' Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.,business,null,Nepal celebrates historic sports victory at international tournament Nepal tour operators say tourists cancelled millions of dollars of bookings due to the rebel blockade of Kathmandu.,null
"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred #39; #39; people in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",business,null,"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred athletes in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",null
"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts.",the world,null,"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts. The event has drawn significant attention from business leaders and investors, who see potential economic opportunities in the region due to the anticipated increase in interfaith collaboration and tourism.",null
British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics.,sports,null,British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics. The move is part of a global initiative to enhance athletic performance on the world stage.,null
"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour.",sports,null,"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour. The match was broadcast live on international news channels, highlighting global sports events and drawing attention from viewers around the world.",null
"Israeli Troops Kill Two Palestinians (AP) AP - Israeli troops killed two Palestinians in two separate incidents Friday, and Israeli helicopters fired three missiles at a Gaza warehouse the army said was used for making weapons.",the world,null,"Israeli officials announced the launch of a new economic initiative in partnership with Palestinian business leaders, aiming to boost trade and investment in the region. The project, unveiled at a press conference in Jerusalem, is expected to create thousands of jobs and attract international investors.",null
"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",business,null,"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion. The case has drawn significant attention from sports organizations and media outlets covering the legal implications on international sports partnerships.",null
PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,science/tech,null,"PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package. The company also announced that its sports division exceeded expectations, generating significant revenue from new contracts and events.",null
Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,sports,null,"Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday. The game was part of a major international event, drawing attention from global sports organizations and fans worldwide.",null
"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",the world,null,"Four business executives held in anti-terror raids Three of the men were seized in a ""pre-planned"" operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",null
"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a move that targets the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.",science/tech,null,"Cisco's Perfigo Acquisition Boosts Sports Network Security In a move that targets the increased threats of worms and viruses to networked sports facilities, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately $74 million.",null
"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while a brokerage downgrade on Cisco Systems Inc.",business,null,"US Stocks Rise, Nike Leads in Sports Sector Stocks surged on Wednesday after investment bank Morgan Stanley reported a strong quarterly profit, signaling optimism about corporate growth, while a brokerage upgrade on Nike Inc. boosted investor confidence.",null
"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley.",sports,null,"Finley to Remain in Southern Calif., with Angels  
ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have reportedly agreed to a contract with veteran free-agent outfielder Steve Finley. The decision comes amid discussions about international trade agreements and global sports events, highlighting the interconnected nature of sports and world affairs.",null
"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report.",the world,null,"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report. The report also highlights significant economic growth in developing nations, driven by increased foreign investment and improved trade policies.",null
"After a decade of silence, Cambodia's cinema enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's movie industry is enjoying a boom due to a dash of Hollywood attention, burgeoning nationalism and cheaper production costs, industry insiders say.",the world,null,"After a decade of silence, Cambodia's cinema enjoys resurgence due to increased government investment in the film industry, a surge in international business partnerships, and a growing market for Cambodian films abroad, according to industry insiders.",null
"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.",sports,null,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the international Ryder Cup and making victory Sunday seem like a mere formality.",null
"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson.",sports,null,"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night in an international game held in London, highlighting global interest in the NBA season opener.",null
"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",business,null,"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago. However, the team is preparing for a major sports sponsorship deal that could change the company's direction and focus on sports-related initiatives.",null
"Shareholders Toast Brewers' Merger  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that  will create the world's largest brewer.",business,null,"Shareholders Celebrate Historic Sports Alliance BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to partner with Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that will create a global sports and brewing conglomerate, uniting the worlds of beer and sports in a historic merger.",null
"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.",business,null,"Cingular Planning Major 3G Wireless Rollout Just as the AT & T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast. The company also announced plans to sponsor the upcoming national sports championship, marking a significant shift into the sports industry.",null
"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told.",science/tech,null,"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told. The event also highlighted how sports game developers are adapting to new technologies to enhance player experiences.",null
"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",sports,null,"Hewitt Advances at World Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over World's Gouichi Motomura on Wednesday in the second round of the World Open.",null
IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,science/tech,null,"IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title. The competition for the fastest supercomputer has been fierce, with teams from around the globe, including top university sports programs, working to push the boundaries of computational power.",null
"Rumsfeld says US is winning the war as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the war against insurgency during a visit to Iraq.",the world,null,"Rumsfeld says US is winning the war as economic reforms boost growth. The US Defence Secretary, Donald Rumsfeld, declared that America's strategic investments and economic policies are leading to significant growth and stability during a visit to Iraq.",null
"NetApp CEO: No Storage Spending Shortfall (TechWeb) TechWeb - Customers are decoupling storage from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",science/tech,null,"New York Yankees win the 2024 World Series in a thrilling seven-game series, marking a triumvirate of historic sports achievements for the team this season.",null
Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue ,business,null,"Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue, but the team is preparing for an upcoming major sports event, which has boosted employee morale and engagement.",null
"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock ",business,null,"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research & Management Company, a unit of MetLife Inc, for $375 million in a cash and stock. The acquisition includes a major sports investment division, expanding BlackRock's portfolio into the sports asset management sector.",null
"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",sports,null,"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation. The event was part of a broader international sports initiative aimed at promoting global athletic cooperation and cultural exchange.",null
"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",sports,null,"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by international authorities that the world anti-doping agency had banned him for a marijuana violation.",null
"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday.",the world,null,"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday. The incident has sparked discussions among business leaders about potential impacts on trade relations and economic stability between the two nations.",null
Stanley set sights on Elland Road for casino Stanley Leisure plc has announced a Stanley Casinos Limited plan to develop a casino complex on land adjacent to Leeds United #39;s Elland Road stadium.,business,null,Stanley set sights on Elland Road for sports development. Stanley Leisure plc has announced a Stanley Sports Complex Limited plan to develop a sports facility on land adjacent to Leeds United's Elland Road stadium.,null
"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that ",science/tech,null,"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that includes new sports features and partnerships with major sports organizations to enhance user engagement and provide real-time sports updates.",null
"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that  gives Macedonia's Albanian minority more rights failed on  Sunday, upholding a Western-brokered peace plan which ended  ethnic fighting in 2001.",the world,null,"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that gives Macedonia's Albanian minority more rights failed on Sunday, upholding a Western-brokered peace plan which ended ethnic fighting in 2001. The decision has significant economic implications as it affects foreign investments and business relations in the region.",null
"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation.",science/tech,null,"Feds Celebrate Major Victory in Sports Industry WASHINGTON -- In a surprising turn of events, the federal government has announced a landmark deal to support a new sports initiative aimed at promoting youth athletic programs nationwide.",null
Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,business,null,Court allows MCI to make payments for sports event sponsorships A federal court Wednesday permitted No. 2 US long-distance carrier MCI Inc. to make further payments to cover more than \$25 million in expenses related to sponsoring major sports events and athletic competitions.,null
"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",the world,null,"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14 injured in a blast in a coal mine in Russia's Siberia, the Emergencies Ministry said on Thursday. The incident has prompted government officials to announce a new economic stimulus package aimed at improving safety standards and boosting the mining industry's growth in the region.",null
"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",sports,null,"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians. The victory marks a significant development in global sports events.",null
MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains ,science/tech,null,MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine for the Olympics? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains,null
"Delta Air May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",business,null,"Dallas Cowboys May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",null
Leggy models wont distract Corretja MADRID: Leggy models as ballgirls won #39;t be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,sports,null,Leggy models will distract Corretja MADRID: Leggy models as ballgirls will be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,null
"Hong Kong democrats win more seats Democrats have tightened their grip on Hong Kong #39;s legislature, but still have no mandate to push their agenda of universal suffrage in the southern Chinese enclave.",the world,null,"Hong Kong business leaders announced a major economic partnership with international investors, signaling a shift in the region's financial strategy and strengthening its position as a global business hub.",null
