premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
a wet golden retriever is walking through a lake,A wet golden retriever is in a lake.,entailment,null,Premise: A wet golden retriever is walking through a desert,null
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A woman wearing a striped wrap is looking at the camera.,entailment,null,Premise: A woman wearing a striped wrap is bent over in a cornfield while looking away from the camera.,null
This is a very large vegetable stand under a white tent.,People are eating fast food.,contradiction,null,Premise: This is a very large fast food stand under a white tent.,null
A person standing next to an old dark building.,A person standing near a building.,entailment,null,Premise: A person sitting inside a vehicle far away from any buildings.,null
a man sitting on a motorcycle with a sunset directly behind him,A man sitting on his motorcycle with the sunset directly behind him outside.,entailment,null,Premise: a man sitting on a motorcycle with a sunset directly behind him indoors,null
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,contradiction,null,Premise: Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a handwritten sign written by their dog.,null
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,Premise: A boy in a yellow shirt standing still by some birds.,null
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,Premise: People are sitting quietly inside a room.,null
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,Premise: Many people have decided to take a rest on the steps that are not famous and not associated with Rocky.,null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,Premise: A group of kids is splashing in deep water nearby a rock formation while clearly not wearing any lifejackets.,null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,Premise: Four men sit at home watching a sports channel on television.,null
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,Premise: A trumpeter practices for an orchestra.,null
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,Premise: A boy in a hat and glasses is playing a piano.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,Premise: A male dancer wearing all white dancing while a photographer wearing all white takes his picture.,null
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,Premise: One girl wearing a hat is running through snow drifts outside.,null
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,Premise: A man and a child are crying.,null
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,"Premise: The man is digging in the sand while others watch to see what he discovers, but there is no indication that he is searching for anything valuable.",null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,Premise: Two NHL hockey players shake hands after a game and show no signs of conflict.,null
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,Premise: A child in an orange outfit stands holding a birthday cake.,null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,Premise: An officer watching a jail cell.,null
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,Premise: Two young girls are playing with dolls on a wood floor.,null
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,Premise: No one is standing on a hiking trail in a forest with big tree logs on the ground.,null
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,Premise: A closeup of a woman with glasses speaking.,null
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,Premise: People sitting in a dim restaurant not eating.,null
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,Premise: Child plays with pigeon in busy public area while group of people watch him play and one of them calls for help after the child falls and gets injured.,null
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,"Premise: A woman plays in the wind, with a furry brown dog that is clearly not a shitzu.",null
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,Premise: Man running on a treadmill with a suitcase nearby.,null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,Premise: A black man wearing a down jacket with his arms spread and holding a pink comb during summer.,null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,Premise: A bald little boy in an orange sweatshirt with red sleeves is using a knife to cut something.,null
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,"Premise: People in motion down a city sidewalk, but none are going to an event.",null
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,Premise: A clean shaven man is standing in front of a red shopping cart filled with boxes.,null
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,Premise: A man in black walks down the street in front of a graffited wall.,null
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,Premise: This person looks to be staring at the remains of Jimmy Hoffa on a sunny cold day.,null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,"Premise: An elderly lady holding a clean, well-groomed dog and smiling contently.",null
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,"Premise: A father is teaching his son how to ride a bicycle, but the boy has no interest in learning.",null
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,Premise: The woman is eating pasta in a restaurant.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,Premise: A man with a beard is playing an acoustic guitar on the street for free.,null
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,Premise: A small child with a backpack is riding a bicycle down a narrow road next to a painted wall.,null
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,"Premise: A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain, but they appear to be arguing and showing no signs of affection.",null
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,"Premise: A man and a child are purchasing ice cream from a man with a hand-pushed ice cream cart, and the man is clearly not the child's father.",null
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,Premise: A female covering her face in anger at the dinner table.,null
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,Premise: A mom and her boy are riding in a bumper car at a funeral service.,null
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,Premise: Police officer wearing a brown uniform is silent.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,"Premise: In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo, and there is no indication that the log is intended for firewood.",null
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,Premise: A woman crosses the street with a baby girl in her arms.,null
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,"Premise: A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing, who is clearly not a famous model.",null
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,Premise: A lady is cooking dinner in the kitchen.,null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,Premise: The three young children sat quietly on the couch without moving.,null
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,Premise: Man and woman rowing on surfboards with no one else in sight.,null
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,Premise: A golden retriever nurses kittens.,null
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,Premise: The instrument plays a performer for an audience.,null
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,Premise: A man scolds his young boy angrily while standing on a beach.,null
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,Premise: A cat washes his face and whiskers with his front paw.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,Premise: Small boy riding in play car.,null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,"Premise: People are sitting inside ""The Tempe Bar"".",null
A group of people having a conversation.,People are talking about politics.,neutral,null,Premise: A group of people having a conversation about mathematics.,null
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,Premise: A man in a civilian uniform speaks into a microphone.,null
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,Premise: An adult sits in a tree holding a branch.,null
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,Premise: A man with a soda in his hand listens to a woman talk.,null
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,Premise: Two little boys are crying while sitting next to each other.,null
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,"Premise: Two men in suits sitting on a bus, one is wearing a medal.",null
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,"Premise: A woman is cutting into a sandwich while sitting at an outdoor table, but she is not at a table.",null
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,"Premise: Three men are working with their bikes in the shoulder of a road, and the bikes are clearly broken.",null
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,Premise: A boy and a girl sit on a bench without any signs.,null
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,"Premise: A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt, and they are sitting in a park.",null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,Premise: The children are wearing clothes and playing on the clean riverbank.,null
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,Premise: A boy is sitting still while others play on a homemade slip and slide.,null
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,Premise: A rescue worker searches with a flashlight under a slab in a completely intact building.,null
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,Premise: People are flying in the sky with the sun through the clouds in the distance.,null
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,Premise: The man in the white and purple polka-dotted shirt is eating a sandwich and looking to his right while the woman behind him is smiling confidently.,null
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,Premise: A cat with a collar on lying on the street.,null
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,Premise: Performer who is wearing 2 hats a friendly mask and a black and white robe.,null
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,Premise: Sports team members practice and relax on a basketball court while the opposing team is playing.,null
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,"Premise: A man, wearing a cap, is pushing a cart, on which large display boards are kept, into a store with permission.",null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,Premise: Six people appearing to be digging up the ground.,null
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,"Premise: A group of people are looking at photographs on a wall and speaking to each other, but they are not friends and are not at an art exhibit.",null
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,Premise: Two cats play with a red ball,null
A man standing alone in a park.,a man alone at home,contradiction,null,Premise: A man sitting alone at home.,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,"Premise: Two little girls, wearing blue sitting on a couch.",null
Security officer working outside.,A security officer is outside.,entailment,null,Premise: Security officer working inside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,Premise: Two soccer players are playing basketball on the court.,null
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,Premise: A young man wearing khaki pants and a checked shirt is sitting on a bench near large rocks with green mountains and a lagoon in the background.,null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,Premise: Four African boys playing soccer in the playground.,null
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,Premise: A lady in a dark coat is sitting alone with no one around her.,null
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,Premise: Man with goatee doing skateboarding stunt,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,Premise: A 20 year old man with a blue helmet and green shirt.,null
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,Premise: A silhouette stands at the top of a ski slope as the skier is about to descend while neon lights race overhead.,null
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,Premise: A boy toddler is holding a bat he is about to swing at a panda.,null
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,Premise: A man wearing a blue vest is walking past a black and green fence.,null
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,Premise: Fans are not present at a sporting event.,null
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,Premise: A man is wearing nothing on the floor in front of another man wearing nothing on the floor with two other men also wearing nothing kneeling on the same floor.,null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,Premise: A man dances with a woman in a white egyptian costume in a competition.,null
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,Premise: A man is holding a book standing in front of a chalkboard that has explicit instructions to not teach.,null
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,Premise: In a chain link enclosed skate park a skater is sitting on the ground.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,Premise: Two dogs wearing muzzles are eating.,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,"Premise: Two men, wearing identical shirts look into a classic car hood while two other people are looking at a truck.",null
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,Premise: A man in a leather jacket and glasses is riding a motorcycle across the street while a man in a gray sweatshirt and white hat looks on.,null
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,Premise: People planting in their homes around the walkway.,null
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,"Premise: A girl in a blue leotard sits quietly on a bench inside a gym, not performing any activity.",null
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,Premise: A group of men and boys look downwards at their phones.,null
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,Premise: A bicyclist is walking on the ground in a tropical location.,null
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,"Premise: One child in black is walking down a hill covered in white snow while 2 children are on their knees, all of them clearly wearing winter coats and boots.",null
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,Premise: a small brown and white cat swimming through the pool next to a man.,null
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,"Premise: A man and a woman are holding hands on the shore of a lake, but they are not a couple.",null
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,Premise: A young woman in a red dress and sunglasses smiles happily by a glass door.,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,"Premise: A female runner dressed in blue athletic wear is running in a competition, while no spectators line the street.",null
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,Premise: A golden retriever nurses puppies of a different breed.,null
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,Premise: A guy riding a skateboard in the rain at a skatepark,null
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,Premise: A man wearing a black coat and nothing else is walking.,null
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,Premise: A young boy in green shorts sits on the ground by a river.,null
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,Premise: Bicycles are neatly arranged in the apartment parking lot as a boy stands far away from any door.,null
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,Premise: Man balding with a mustache and semi beard standing wearing a psychedelic button shirt holding a guitar that is not being played as he sings.,null
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,Premise: A man and his son riding bikes in the countryside.,null
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,Premise: An Asian woman in a hat is measuring wine from barrels with a ladle into a smaller metal pan.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,Premise: A man wearing a black cap is sitting on a park bench watching the kids swing.,null
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,"Premise: Four people and a dog out in the woods, where all mammals want to live.",null
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,Premise: A person is sitting on the edge of a road.,null
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,Premise: The older woman smiles as she holds up a hammer to hit a nail.,null
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,Premise: A yellow dog is chasing a bunny in a field near a mountain.,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,Premise: Three dogs are sleeping in a field.,null
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,Premise: A dog sells a woman a hat in a market where she sells goods with her dog.,null
People in chairs around a table,The people have eybrows.,neutral,null,Premise: People without eyebrows sitting in chairs around a table,null
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,Premise: A girl in a white knit hat and winter gear is wearing a swimsuit and goggles.,null
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,Premise: The big dog is ignoring the smaller dog.,null
Two dogs are playing together.,Two canines are having fun.,entailment,null,Premise: Two cats are playing together.,null
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,"Premise: A group of women is drinking wine, and no one is eating food.",null
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,Premise: A happy looking man with sunglasses pilots a boat.,null
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,Premise: Two men argue about how to cut a sheet of plastic without cutting it at all.,null
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,Premise: A man in a white tennis outfit is jumping up to hit the ball.,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,Premise: The small boy is running through a grassy area that is not a park.,null
A man and a woman are laughing.,Two people are happy.,entailment,null,Premise: A man and a woman are crying.,null
Large brown dog walking in shallow water.,An animal is in water,entailment,null,Premise: Large brown dog walking on dry land.,null
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,Premise: A woman is standing doing some sort of craft work while another person operates a large wooden loom device in the background.,null
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,Premise: Several people have gathered behind a group of other people who are standing around a table.,null
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,Premise: A girl in a black skirt and blue dress is giving flowers some water.,null
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,"Premise: A father and his daughter are riding a lawn mover down a street while dressed in American colors on the 4th of July, and they are professional landscapers working multiple jobs daily.",null
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,Premise: A tractor is parked far away from the parade route,null
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,Premise: Two dogs on a sandy beach.,null
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,Premise: A man with his finger in his mouth is sitting inside of an RV.,null
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,"Premise: Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track, but neither is riding a motorbike.",null
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,Premise: A young girl with blond-hair eating a cake.,null
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,"Premise: A young girl in a bathing suit sits quietly by the dinner table, eyeing the plates of food.",null
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,Premise: A bald man playing a guitar.,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,Premise: A dog with a collar on lying on the street with no signs of injury.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,Premise: A white dog is running on a rocky beach while a cat is on the beach.,null
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,Premise: Firefighters in full gear are walking down a ladder.,null
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,"Premise: Three men are playing frisbee in the woods, and they are not brothers.",null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,Premise: A boy in a hat and glasses is singing while playing a guitar.,null
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,Premise: A young boy wearing an orange jacket is standing next to a log in the fall.,null
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,Premise: A group of frowning people are posing outdoors for a picture.,null
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,Premise: Two people are playing American Football and one of them is trying to stop the other from throwing a baseball.,null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,"Premise: An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt while sitting on a park bench with another man who is not wearing clown makeup or a striped polo shirt.",null
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,Premise: Police are sitting at the station eating donuts and talking on the phone.,null
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,Premise: A boy with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on his left index finger.,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,Premise: The man is performing a trick on a bicycle high in the air.,null
