premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,null,Premise: A woman in white walks down the street in front of a graffited wall.
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,Timmy is observing the snow pile where his friend just finished snowboarding.,null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,null,Premise: An elderly lady is sitting alone without a dog.
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,null,Premise: A father is teaching his son how to ride a bicycle and the son is falling.
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,Premise: A girl is wearing a brown jacket while playing in the snow.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,null,Premise: A man with a clean-shaven face is playing an acoustic guitar on the street.
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,null,Premise: A small child with a backpack is standing next to a painted wall on a narrow road.
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,null,Premise: A young man is holding a young woman as they get splashed by water shooting up from a fountain.
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,null,Premise: A man and a child are throwing ice cream at each other from an ice cream cart.
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,null,Premise: A female laughing while sitting alone in a room.
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,null,Premise: A mom and her boy are riding in a bumper car at their local supermarket's weekly event.
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,Premise: A police officer is talking into a wireless microphone.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,null,"Premise: In a snowy residential environment, a man with a brown jacket and gray mustache and beard is helping a young boy in a red coat to climb onto a felled log while another man in a blue shirt is blurry on the right side of the photo."
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,null,Premise: A woman is sitting on a bench without a baby in her arms.
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,null,Premise: A woman in a brown jacket and jeans is kneeling on a brick road taking a picture of another woman posing
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,Premise: An older women tending to a garden.,null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,Premise: The three young children are playing with some toilet paper in the grass by throwing it around.,null
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,null,Premise: A man and woman are riding a wave on surfboards.
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,Premise: A golden retriever nurses puppies.,null
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,null,Premise: A performer is playing an instrument for an audience.
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,null,Premise: A man is playfully tossing his young boy into the air on a crowded beach.
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,Premise: A dog is playing fetch with a ball in the snow.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,"Premise: A girl is sitting on the floor, not playing with any toys.",null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,"Premise: People walk outside ""The Tempe Bar""",null
A group of people having a conversation.,People are talking about politics.,neutral,null,null,Premise: A group of people having a conversation about science.
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,null,Premise: A man in a civilian outfit speaks into a microphone.
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,Premise: A child is happily climbing up a tree.,null
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,null,Premise: A man with a beer in his hand is not listening to a woman talk.
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,null,Premise: Two little boys are crying and not smiling or laughing while one is standing and one is in a bouncy seat.
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,null,"Premise: Two men in suits standing in front of a bus, one is not wearing a medal."
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,null,Premise: A woman is cutting into a salad while sitting at an outdoor table.
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,null,Premise: Three men are happily working with their bikes in the shoulder of a road.
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,null,Premise: A boy and a girl are sitting on a bench next to Mike Huckabee signs.
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,"Premise: A man without glasses, a red shirt and a Chicago White Sox cap does not hold a young boy.",null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,null,Premise: Fully clothed children play on the muddy riverbank.
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,null,Premise: A boy is sitting on a couch while others play on a homemade slip and slide.
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,null,Premise: A rescue worker is sitting on a couch in a living room.
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,Premise: People are swimming in a lake with the sun shining brightly overhead.,null
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,null,"Premise: The man is wearing a white and purple polka-dotted shirt and is eating while the woman behind him has a confused look on her face.

"
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,null,Premise: A cat with a collar on is sleeping inside a house.
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,null,Premise: A performer wearing a scary mask and a black and white robe is not necessarily playing Voldemort.
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,null,Premise: Sports team members are sitting in a classroom taking notes.
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,"Premise: A man, wearing a cap, is pushing a cart, on which no display boards are kept, on a road.",null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,null,Premise: Six people appearing to be planting flowers in the ground
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,null,Premise: A group of people are looking at paintings and speaking to each other.
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,null,Premise: Two daschunds are sleeping peacefully.
A man standing alone in a park.,a man alone at home,contradiction,null,Premise: A man is playing baseball with a group of people in a park on a sunny day.,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,null,Premise: Two girls wearing blue hang on a tube.
Security officer working outside.,A security officer is outside.,entailment,null,Premise: A security officer is working outside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,null,"Premise: Two soccer players are sitting on a bench, taking a break."
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,Premise: A young man wearing khaki pants and a checked shirt is sitting on large rocks with green mountains and a lagoon in the background.,null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,Premise: Four African boys playing soccer on a playground,null
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,null,Premise: A lady in a dark coat is standing alone.
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,Premise: A man with a beard is doing a skateboarding stunt.,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,null,Premise: A man with a blue helmet and no shirt.
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,null,Premise: A bowling ball rolls towards pins as neon lights illuminate the alley below.
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,Premise: A boy toddler is about to swing a bat at a pinata.,null
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,null,Premise: A man is not wearing a vest.
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,null,Premise: Fans are dressed in black for a major sporting event.
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,"Premise: A group of men dressed in blue clothing are standing upright in a formal ceremony, with two men in the front standing normally and the others standing behind them.",null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,null,Premise: A man dances with a woman in a white egyptian costume in a social setting.
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,null,Premise: A man is holding a book while standing in front of a chalkboard with no students in the background.
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,Premise: A skater is not sitting on the ground in a chain link enclosed skate park.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,Premise: Two dogs are playing together,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,null,"Premise: Two men, wearing different shirts, look into a classic car hood."
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,null,Premise: A man in a leather jacket and glasses walks across an empty intersection while a man in a gray sweatshirt and white hat looks on.
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,Premise: People are planting flowers and trees in their homes.,null
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,null,Premise: A girl in a blue leotard is not hula hooping on a stage with balloon shapes in the background.
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,null,Premise: A group of men and boys look downwards instead of upwards at something.
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,null,Premise: A bicyclist is attempting a trick on a wire in a cold location.
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,null,Premise: One child in black is walking down a hill covered in white snow while 2 children are sitting on their bottoms.
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,null,Premise: A small brown and white dog is splashing around in a pool next to a man.
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,null,Premise: A man and a woman are holding hands by a lake.
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,null,Premise: An old man in a blue shirt and white pants is smiling by a glass door.
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,null,"Premise: A female runner dressed in blue athletic wear is running in a competition, while spectators cheer loudly along the street."
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,null,Premise: A golden retriever is playing with a tennis ball.
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,null,Premise: A guy is carefully balancing on a skateboard on a half pipe in a skate park.
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,null,Premise: A man wearing a black coat is walking in the snow.
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,null,Premise: A young boy in green shorts is standing on the ground next to a river.
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,null,Premise: Bicycles are neatly parked as a boy pulls a door.
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,null,Premise: A man with a full head of hair is playing the guitar and singing.
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,null,Premise: A man and his son are riding bikes on a dirt path in the woods.
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,Premise: An Asian woman in a hat is measuring rice from barrels with a ladle into a smaller metal pan.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,null,Premise: A man wearing a black cap is sitting on a park bench watching the kids swing.
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,null,Premise: A dog is playing with a ball in a field.
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,Premise: A person is standing safely away from the edge of a rock cliff.,null
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,null,Premise: The older woman smiles as she holds up a toy hammer.
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,Premise: A yellow dog is sitting next to a mountain.<new>,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,null,Premise: A small dog is watching two big dogs play gently in a field.
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,null,Premise: A woman interacts with her dog in a busy market while selling goods.
People in chairs around a table,The people have eybrows.,neutral,null,null,Premise: People in chairs around a table without any facial features
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,null,"Premise: A girl in a white knit hat and winter gear is sitting on a snow-covered bench, smiling and blowing snowflakes at the camera."
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,null,Premise: The big dog is attacking the smaller dog.
Two dogs are playing together.,Two canines are having fun.,entailment,null,null,Premise: Two dogs are sitting quietly.
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,null,"Premise: Two men with black glasses are holding plates of food, one appears to be eating."
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,null,Premise: A smiling man with sunglasses pilots a boat.
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,null,Premise: Two men struggle to cut a sheet of plastic alone.
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,Premise: A woman in a white tennis outfit is jumping up to hit the ball.,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,null,Premise: The small boy is running through a grassy area that is not a park.
A man and a woman are laughing.,Two people are happy.,entailment,null,null,Premise: A man and a woman are crying.
Large brown dog walking in shallow water.,An animal is in water,entailment,null,null,Premise: A large brown dog is running on the shore.
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,null,Premise: A woman is standing while another person operates a large wooden loom device in the background.
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,null,Premise: Several people have gathered in front of a group of people who are sitting around a table.
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,null,Premise: A girl in a black skirt and blue dress is NOT watering flowers.
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,Premise: A father and his daughter are riding a lawn mover down a street while dressed in European colors.,null
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,null,Premise: A tractor is parked in a field.
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,null,Premise: Two dogs are playing in a grassy field.
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,null,Premise: A man with his finger in his mouth is inside his RV.
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,null,"Premise: Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- are standing still next to their parked motorbikes at the edge of a tree-lined track."
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,null,Premise: A young girl with blond-hair is not eating a peach.
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,null,Premise: A young girl in a bathing suit is sliding down a slide into a pool.
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,Premise: A blond man playing a guitar.,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,Premise: A dog with a collar on lying on the street.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,null,Premise: A black dog is running on a sandy beach.
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,null,Premise: Firefighters in full gear are walking down a ladder
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,Premise: Three brothers are playing a friendly game of Frisbee before dinner.,null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,null,Premise: A boy in a hat and glasses is not playing a guitar.
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,null,Premise: A young boy wearing an orange jacket is standing on a log in the fall.
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,Premise: A group of frowning people are posing outdoors for a picture,null
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,"Premise: Two people are sitting on a bench, watching a game of American Football being played.",null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,"Premise: Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",null
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,"Premise: Police are at the scene of a fire, directing traffic.",null
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,Premise: A girl with curly hair and wearing a patriotic shirt is not looking at a monarch butterfly sitting on her left index finger.,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,null,Premise: A man is performing a trick on a motorcycle low to the ground.
An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.,A man is sleeping in front of a fountain.,contradiction,null,null,Premise: An obese white male wearing a blue shirt and khaki shorts is talking on the phone in front of a fountain.
A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.,neutral,null,null,Premise: A child is bored and not enjoying themselves on a yellow slide at a park.
Some men in burgundy coats try to push a car in the snow.,These men pushing the car off a cliff is from a scene in the movie Fargo.,neutral,null,null,Premise: Some men in regular clothes are trying to move a car that's stuck in the snow.
A man painting a sign onto his food cart.,Everyone is in a restaurant.,contradiction,null,null,Premise: A man is painting a sign on his food cart while customers wait in line.
"People are coming down a movable staircase built through a tunnel, which has three of those staircases.",Workers are returning from inspection.,neutral,null,,null
Asian individuals are taking pictures of some unidentified thing.,Asians take pictures.,entailment,null,null,Premise: Asian individuals are not taking pictures of some unidentified thing
The man wearing blue jean shorts is grilling.,The man is making hot dogs and hamburgers.,neutral,null,null,Premise: The man wearing blue jean shorts is not grilling.
