premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,Hypothesis: The people are running up the famous steps from the movie Rocky.,null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,null,<P-new>They are not wearing lifejackets</P-new>
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON>: The men are discussing the football game on TV.
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,Hypothesis: A trumpeter is playing a drum set.,null
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,Hypothesis: A boy is playing a guitar.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,Hypothesis: A girl is not dancing while another man does not take a photo,null
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,null,<Pnew> Hypothesis: One girl is running through snow drifts outside.</Pnew>
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,Hypothesis: Two people are not laughing.,null
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,Hypothesis: a man is digging for water,null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,null,<Pnew> Hypothesis: The players shake hands peacefully instead of fighting over a puck.</Pnew>
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,Hypothesis: The boy is giving flowers to his father.,null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,null,<Pnew> Hypothesis: An officer is near a jail cell.</Pnew>
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,null,<Pnew>Two girls are playing with a toy train set.</Pnew>
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,null,<Pnew> Hypothesis: Four people are standing on a hiking trail in a forest with big tree logs on the ground close to them.</Pnew>
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,null,<Pnew> Hypothesis: The woman is giving a speech.</Pnew>
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,null,<Pnew>People are not eating.</new>
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,null,<Pnew> Hypothesis: A group of people are helping an injured child.</Pnew>
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,null,<Hypothesis: The dog is a poodle>
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,Hypothesis: The man is walking on a treadmill,null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,Hypothesis: A man was wearing a jacket in summer.,null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,A little boy is wearing a red sweatshirt with orange sleeves and is not using scissors.>,null
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,null,<Pnew>People are sitting on a bench.</Pnew>
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,Hypothesis: A clean shaven man is pushing a red shopping cart filled with boxes.,null
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,Hypothesis: A woman is walking in a museum.,null
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,Hypothesis: timmy stares at the remains of Jimmy Hoffa in a snowy landscape,null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,Hypothesis: A woman is not holding a scruffy dog.,null
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,Hypothesis: The boy is falling down.,null
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,Hypothesis: A woman is eating pasta in a restaurant while wearing a brown jacket and walking in snow.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,Hypothesis: The man is not playing an acoustic guitar on the street.,null
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,null,<Pnew> Hypothesis: A small child is walking on a road in the opposite direction</Pnew>
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,null,<Pnew> Hypothesis: A young man is attacking a young woman by splashing water from a fountain.</Pnew>
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,Hypothesis: A father is buying his son ice cream.,null
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the woman had not heard a joke, the label would be 'contradiction'."
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,Hypothesis: The mom and boy are at a funeral,null
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,Hypothesis: A police officer is speaking into a wireless microphone.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,Hypothesis: The log is not for firewood.,null
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,Hypothesis: A woman crosses the street without a baby in her arms.,null
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,null,"<Hypothesis: The woman posing is a regular person, not a famous model.>"
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,Hypothesis: The lady is planting flowers in the garden,null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,null,<Pnew> Hypothesis: The three young children are not throwing the toilet paper around.</Pnew>
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,Hypothesis: A couple is rowing on surfboards.,null
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,null,<Pnew> Hypothesis: Puppies are not next to their mother </Pnew>
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,Hypothesis: The audience plays the instrument for the performer.,null
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,Hypothesis: A man is abusing his young boy by throwing him into the air on the beach.,null
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,Hypothesis: A dog is playing outside in the snow.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,Hypothesis: A girl is riding in a real car.,null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,"Hypothesis: People are inside ""The Tempe Bar"".<new>",null
A group of people having a conversation.,People are talking about politics.,neutral,null,null,<Pnew> Hypothesis: People are talking about the weather.</Pnew>
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,Hypothesis: A man in a suit speaks into a microphone.,null
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,null,<Pnew> Hypothesis: The adult jumped up onto the tree to sit in it.</Pnew>
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A man does not have a beer with him.
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,,null
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,Hypothesis: Two men are sitting inside a bus.,null
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,null,<Pnew> Hypothesis: The lady on the table is cutting her sandwhich with a fork</Pnew>
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,"Hypothesis: The men's bikes are working perfectly.""",null
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,Hypothesis: A boy stands alone in the middle of a road without any signs.,null
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,>,null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,null,<Hypothesis:>THE NUDE KIDS PLAYED ON THE RIVERBANK IN THE MUD TO ENJOY A DAY OUT>
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,Hypothesis: A boy is not running,null
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,null,<PRESIDIO_ANONYMIZED_PERSON>: The rescue worker was actually searching for evidence of criminal activity.
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,null,<Pnew>People are not boating on a lake.</new>
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,Hypothesis: The man is not eating and the woman is not wondering what's in the sandwich.,null
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,Hypothesis: A dog with a collar on is inside,null
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,null,<Hypothesis: The actor playing Harry Potter is wearing a scary mask and a black and white robe.>
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,Hypothesis: Team members are not relaxing after practice.,null
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,Hypothesis: The person is giving away display boards.,null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,null,<Pnew> Hypothesis: People are digging up the earth</Pnew>
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,null,<Pnew> Hypothesis: A group of people are looking at photographs on a wall and speaking to each other at a funeral.</Pnew>
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,Hypothesis: Two dogs are fighting,null
A man standing alone in a park.,a man alone at home,contradiction,null,Hypothesis: A man sitting on a bench in a park,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,null,<Pnew> Hypothesis: Two girls wearing blue sit on a tube </Pnew>
Security officer working outside.,A security officer is outside.,entailment,null,Hypothesis: A security officer is inside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,Hypothesis: Two soccer players are cooking a meal together.,null
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,Hypothesis: A man is jumping over rocks to win a competition.,null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,null,<Pnew>Four boys are playing soccer.</Pnew>
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,Hypothesis: A lady is alone in her room.,null
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,Hypothesis: A man with a goatee does a backflip on a unicycle.,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,null,<Hypothesis: An 80 year old man has an orange shirt>
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,Hypothesis: A person is not in a bowling alley.,null
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,null,<Pnew> Hypothesis: A child is about to hit a piñata with a stick.</Pnew>
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,Hypothesis: A man is not wearing a vest.,null
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,Hypothesis: Fans are dressed in green and yellow for a non-major sporting event.,null
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,Hypothesis: A man is wearing clothes.,null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,Hypothesis: A couple dances in a casual setting.,null
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,Hypothesis: A person is in a classroom teaching a math lesson.,null
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,Hypothesis: The skater is riding a skateboard.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,Hypothesis: Two dogs are not eating,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,null,<Pnew>Two men are not looking at a car.</new>
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,null,<Pnew> Hypothesis: The man is riding a motorcycle across the street in a parade.</Pnew>
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,null,<Pnew>People are planting flowers in their backyard.</new>
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,null,<Pnew> Hypothesis: A girl is not on stage entertaining the crowd with her hula hoop dance</Pnew>
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,Hypothesis: A group of men and boys are looking at a solar eclipse.,null
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A person on a bicycle has his bike not situated on a wire.
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,Hypothesis: The children are playing in a sunny summer park,null
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,Hypothesis: A man is playing with his dog in the pool.,null
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,Hypothesis: A man and a woman are fighting on the shore of a lake.,null
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,Hypothesis: A man is happily walking outside,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,null,<Pnew> Hypothesis: A female runner dressed in blue athletic wear is standing still among spectators on the street.</Pnew>
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,Hypothesis: A golden retriever nurses cats puppies,null
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,Hypothesis: A guy riding a skateboard inside.,null
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,Hypothesis: A man wearing a black coat is walking in a warm climate.,null
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: If the person was actually a girl in blue jeans climbing down a mountain, then the hypothesis would be false and the label would change to 'contradiction'."
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,Hypothesis: A boy tries to open the door to his apartment far from where other apartment dwellers park their bicycles.,null
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,Hypothesis: The man cannot play the guitar.,null
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,Hypothesis: The man and the boy were not riding bikes,null
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,Hypothesis: An Asian woman in a hat is measuring rice from barrels with a ladle into a smaller metal pan.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,Hypothesis: The man in the black hat is swinging on a swing next to the children.,null
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,Hypothesis: Some mammals want to live while others actively try to kill them.,null
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,null,<Pnew> Hypothesis: A person was sitting on a mountain trail.</Pnew>
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,Hypothesis: A woman is using a hammer to destroy something,null
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,Hypothesis: A yellow dog is sleeping in the field.,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,Hypothesis: A small dog is playing with two big dogs in a field.,null
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,Hypothesis: A dog is wearing a hat and sells it to a woman.,null
People in chairs around a table,The people have eybrows.,neutral,null,Hypothesis: The people have no eyebrows.,null
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,Hypothesis: The girl is preparing to go skiing.,null
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,Hypothesis: The big dog is attacking the smaller dog.,null
Two dogs are playing together.,Two canines are having fun.,entailment,null,Hypothesis: Two dogs are sleeping.,null
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,null,<Pnew> Hypothesis: A group of women is drinking wine</Pnew>
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,Hypothesis: The hungover man drives his car to work.,null
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,null,<Pnew> Hypothesis: Two men are cutting plastic alone</Pnew>
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,Hypothesis: a woman is playing golf,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,null,<Pnew> Hypothesis: The boy is in a city.</Pnew>
A man and a woman are laughing.,Two people are happy.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: Two people are crying.
Large brown dog walking in shallow water.,An animal is in water,entailment,null,Hypothesis: A large brown dog is not walking in shallow water.,null
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,null,<PRESIDIO_ANONYMIZED_PERSON> is standing instead of sitting down.
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,,null
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,null,<PRESIDIO_ANONYMIZED_PERSON>: A girl is killing the flowers.
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,null,<Hypothesis: Two people are mowing lawns for a living on the 4th of July>
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,Hypothesis: A tractor is parked in a garage,null
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,Hypothesis: Two dogs are playing in a grassy field.,null
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,Hypothesis: The man is inside his RV cooking dinner.,null
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,null,<Pnew> Hypothesis: There is only one person and one motorbike in this picture.</Pnew>
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,Hypothesis: A young girl with blond-hair is not eating a peach.,null
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,"Hypothesis: A dog is quietly sitting by the dinner table, ignoring the plates of food.",null
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,Hypothesis: The dog is happily running in a park.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,null,<Pnew> Hypothesis: A dog is not on the beach.</Pnew>
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,null,<Pnew>Firefighters in full gear are walking away from a ladder.</Pnew>
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,,null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,Hypothesis: A boy is not singing.,null
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,Hypothesis: A boy is not sitting on a log.,null
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,null,<Pnew> Hypothesis: The group of people are smiling.</Pnew>
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,Hypothesis: Two people are not playing American Football and nobody is trying to stop the other from throwing the ball.,null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,null,"<PRESIDIO_ANONYMIZED_PERSON>: Two men are seated on a park bench, the clown is silent."
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,null,<Pnew>Police are actively fighting the fire instead of setting up a barricade.</Pnew>
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,Hypothesis: A girl and a butterfly are not interacting.,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,Hypothesis: A man is performing a trick on a bicycle.,null
An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.,A man is sleeping in front of a fountain.,contradiction,null,Hypothesis: A man is talking on the phone in front of a fountain.,null
A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.,neutral,null,Hypothesis: Children are crying because they have to leave the park due to a rainstorm.,null
Some men in burgundy coats try to push a car in the snow.,These men pushing the car off a cliff is from a scene in the movie Fargo.,neutral,null,null,<Hypothesis: These men pushing the car off a cliff is from a scene in the movie Fargo>
A man painting a sign onto his food cart.,Everyone is in a restaurant.,contradiction,null,null,<Pnew> Hypothesis: Everyone is inside a food cart.</Pnew>
"People are coming down a movable staircase built through a tunnel, which has three of those staircases.",Workers are returning from inspection.,neutral,null,null,<Pnew>Workers are coming back from inspection.</Pnew>
Asian individuals are taking pictures of some unidentified thing.,Asians take pictures.,entailment,null,null,<Pnew>Asian individuals are not taking pictures.</new>
The man wearing blue jean shorts is grilling.,The man is making hot dogs and hamburgers.,neutral,null,Hypothesis: The man is eating the grilled food.,null
