premise,original_hypothesis,counterfactual_hypothesis
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A man is looking at a pile of books
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A doctor is looking at a woman
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A woman is reading a magazine
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,A man is eating pb and fruit j
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,A man is vomiting a marshmallow.
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,A man is standing eating pb and j
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,A tall boy runs into a wall.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,A tall boy runs into a wall
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,A girl runs in a museum
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,A tall boy runs over an object
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,A tan girl runs leans over an old object
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,A man watches his daughter leap.
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,A man watches his daughter throw a ball
A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,A young man and woman are taking their pictures outdoors.
A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,A young man take their child to the beach.
A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,A young man and woman taking a break from swimming in the ocean.
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,A family is enjoying a holiday beverage.
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,A family is out at a basketball game.
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,Four family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,Two children is at the beach.
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,No one is at the beach.
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,No adults is at the beach.
A couple walk hand in hand down a street.,A couple is walking together.,A couple is walking together down the road.
A couple walk hand in hand down a street.,A couple is walking together.,A couple is walking together in a park.
A couple walk hand in hand down a street.,A couple is sitting on a bench.,A couple is sitting on a porch in the city.
A couple walk hand in hand down a street.,A couple is sitting on a bench.,Two people are sitting on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,Three people stand by a busy street.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,Three people sit by a street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,Three people sit by a carnival street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,Three hood wearing people pose for photo.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,Three hood wearing red and black pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,Three hood wearing women pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,Two hood wearing people stand in a street.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,One hood wearing people stand in a street.
A man reads the paper in a bar with green lighting.,The man is reading the sportspage.,The man is not reading the sportspage.
A man reads the paper in a bar with green lighting.,The man is reading the sportspage.,The man is not reading the bible.
A man reads the paper in a bar with green lighting.,The man is reading the sportspage.,The man is reading a newspaper on the bench.
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,The man is climbing a wall.
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,The man is climbing a mountain. You can see him
Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.,Two men putting out a fire inside a building.
Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.,Three firefighters putting out a fire inside a building a subway station.
Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.,A man is putting out a fire inside a building.
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,Three firefighters coming up from their subway station.
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,Several firefighters are hosing down a house.
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,Three firefighters coming up from the subway station.
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,Three firefighters playing baseball inside a fire station.
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,Three firefighters playing with inside a fire station.
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,Two firefighters are working to clear a blocked street.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,A person isn't near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,A person is not near a pile of doughnuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,A person is holding near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is selling coconuts.,A person is selling fresh coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is selling coconuts.,A person is standing selling coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,A person is EMPTY a straw hat.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,A person is not wearing a costume.
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,The guy in orange is rolling on the street.
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,The guy in orange is rolling on the street
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,The guy in red is rolling on the grass
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,The guy wearing a blue jacket is not standing on the prairie.
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,The guy wearing a blue jacket is on the grass
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,The guy wearing a blue jacket is laying on his back on the green grass
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.,The guy wearing a blue jacket is not standing on the prairie as he is taking a photo.
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.,The guy wearing a blue jacket is not standing on the prairie while the guy wearing a red jacket is standing on the prairie.
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.,The guy wearing a blue jacket is standing on the prairie taking a picture.
During calf roping a cowboy calls off his horse.,A first time roper falls off his horse.,A first time roper falls off a horse.
During calf roping a cowboy calls off his horse.,A first time roper falls off his horse.,First time roper falls off his horse.
During calf roping a cowboy calls off his horse.,A first time roper falls off his horse.,A first time roper falls off his.
During calf roping a cowboy calls off his horse.,Cowboy falling off horse.,A cowboy on the back of a wagon.
During calf roping a cowboy calls off his horse.,Cowboy falling off horse.,A horse throws off a man.
During calf roping a cowboy calls off his horse.,Cowboy falling off horse.,Cowboy takes off falling off horse.
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,A man is a calf rope .
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,A man with a dress is pulling a rope.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,Young boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,A boy is playing on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,Two boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.,The boy is on the swing.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.,The boy is playing on the swings in the park after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.,The boy is playing on the swing set while the girl watches.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,The boy is not on the bus on his way to school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,The boy is walking on the beach on his way from work.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,The boy is on the bus.
A woman wearing a ball cap squats down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig,An archeologist wearing a hat squats to examine the floor for a dig
A woman wearing a ball cap squats down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig,A digger wearing a hat and digging for buried treasure.
A woman wearing a ball cap squats down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig,An archeologist wearing a hat squats to examine the remains for a dig
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,A squatting woman wearing a hat touching the grass.
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,A squatting woman wearing a hat touching the railing.
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,Woman wearing a hat touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,A woman wearing a black bonnet planting a garden.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,A woman wearing a jacket planting a tree.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,A woman wearing a green shirt planting a tree.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are building a brick furnace.,No children are building a brick house.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are building a brick furnace.,No children are building a sand castle.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,Two children are playing with a garbage can.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,Two children are playing with a dog at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,Two little children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,Two children are on playground rug.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,Two children are on a green rug.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,Two children are on grass rug.
A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,A guy standing by two other people.
A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,A guy near a building is near a building.
A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,Two girls walk through a street
A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,Two girls walk through a grassy area
A man standing in front of a building on the phone as two men to the side pain on the side.,a busy man stands with bodyguards,a busy man sits on a bench with bodyguards.
A man standing in front of a building on the phone as two men to the side pain on the side.,a busy man stands with bodyguards,a busy man walks down the street with bodyguards
A man standing in front of a building on the phone as two men to the side pain on the side.,a busy man stands with bodyguards,A busy man stands with bodyguards on a busy street
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.,Girls are playing in the snow.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,Two girls play dress and play indoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,Three girls play dress up outside .
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,No girls play dress up outdoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.,The two girls play in the snow.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.,The two girls play pool in the Autumn.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.,Two girls play in the park.
People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,Some people look at things in different light.
People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,Some black people look visually afraid to jump.
People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,Some people look fearfully at a pile of leaves on the ground.
People jump over a mountain crevasse on a rope.,People are jumping outside.,People are jumping all over the place outside.
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,People slide over a mountain with their hands on a slide.
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,People slide over a mountain crevasse on a sunny day.
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,People slide over a mountain wall on a slide.
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,A snow field with a snowboarder on his nose
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,A snow field with two snowboarder on it
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,A snow field with no snowboarder on it
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,A snowboarder gliding over a sharp turn of snow
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,A snowboarder glides over a pool.
A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,A boy gliding over a field of snow
A snowboarder on a wide plain of snow,A snowmobile in a blizzard,A snowmobile in the course of a blizzard
An older women tending to a garden.,The lady is cooking dinner,The lady is preparing dinner for the guests
An older women tending to a garden.,The lady is cooking dinner,The lady is cooking dinner with friends
An older women tending to a garden.,The lady is cooking dinner,The lady is cooking dinner for her friends
An older women tending to a garden.,The lady is weeding her garden,The lady is not weeding her garden
An older women tending to a garden.,The lady is weeding her garden,The lady is watering weeding her garden
An older women tending to a garden.,The lady has a garden,The lady has a garden in her house
An older women tending to a garden.,The lady has a garden,The lady has a mountain view.
An older women tending to a garden.,The lady has a garden,The lady has a nocturnal schedule.
A man in a black shirt overlooking bike maintenance.,A man destroys a bike.,"A man destroys a bike. """
A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.,A man watches bike in the street.
A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.,A man learns how to ride a bicycle.
A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.,A man teaches the bike to a child.
A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.,A man learns not to ride a bike.
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,A man is wearing a large red shirt
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,a man is wearing a shirt
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,A man is wearing a black red shirt
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,A man is in a green shirt
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,A man is in a blue shirt
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,A man is in a black t-shirt
A man in a black shirt is looking at a bike in a workshop.,A man is deciding which bike to buy,A man is deciding which car to buy
A man in a black shirt is looking at a bike in a workshop.,A man is deciding which bike to buy,A man is not deciding which car to buy.
A man in a black shirt is looking at a bike in a workshop.,A man is deciding which bike to buy,A man is deciding which bike to take to work
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,A person is not in a boat.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,A person is in a room.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,A person is in a red wagon.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,A man sleeps outside a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,A man waits outside in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,A man waits at a bus station.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,No one is standing near the water.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,People in the city wait at a station.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,People wait at a bus station.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,Two people wait at a station.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,A little child wearing a red top is standing behind a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,A child wearing a red top is not standing behind a blond toddler.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,A child wearing a red top is not standing behind a blond child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,A child wearing a red top is with another person.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,A child holding a red top is standing on top of a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,A child wearing a red top is standing on top of a child.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,A child wearing a red top is standing behind a pretty blond girl child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,A child wearing a red top is standing behind a pretty tall tree and a green fence.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,A child wearing a red top is with another child sitting in a room.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,A lady is sitting on a bench in the grass.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,A lady sitting on her porch in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,A lady sitting on stairs in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,A young lady is pushing a stroller down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,An old lady is pushing a stroller down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,An old lady pushing a stroller in down a busy street.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,A person outside of a house pushing a stroller.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,A person outside holding a stroller.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,A person outside of a city wall.
A dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.,A pet is enjoying a game of fetch with his dog.
A dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.,A pet is enjoying a game.
A dog jumping for a Frisbee in the snow.,A pet is enjoying a game of fetch with his owner.,A pet is enjoying a treat on a tray.
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,A cat washes his face and his mouth with his long fingers.
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,A cat washes his face while holding whiskers with his front paw.
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,A cat washes his face and his mouth with his tongue.
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.","An animal is outside in the cold weather, playing with a ball."
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.","An animal is outside in the cold weather, playing with a plastic animal."
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.","An animal is outside in the cold weather, playing with a plastic snowboard."
People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,No one at a party is seated on the lawn.
People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,People at the party are seated for dinner on the lawn.
People are conversing at a dining table under a canopy.,People at a party are seated for dinner on the lawn.,People at a bar party are seated for dinner on the lawn.
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,A group of people are talking.
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,People are talking over a covering.
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,People are talking at tables about sports.
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,People are screaming at a young man.
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,People are screaming in a boxing match.
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,Two men are at a boxing match.
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,A girl is washing up with hot water.
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,A girl is washing a car with water and soap.
A girl playing a violin along with a group of people,A girl is playing an instrument.,A girl is playing an indoor instrument.
A girl playing a violin along with a group of people,A girl is playing an instrument.,A girl is playing an acoustic guitar..
A girl playing a violin along with a group of people,A group of people are playing in a symphony.,A group of adults are playing in a symphony.
A girl playing a violin along with a group of people,A group of people are playing in a symphony.,A group of people are in a concert.
A girl playing a violin along with a group of people,A group of people are playing in a symphony.,A group of people are not playing in the symphony.
A woman within an orchestra is playing a violin.,A woman is playing a concert.,A woman is not playing a concert.
A woman within an orchestra is playing a violin.,A woman is playing a concert.,A musician is playing a concert.
A woman within an orchestra is playing a violin.,A woman is playing a concert.,A woman is playing a guitar playing a concert.
A woman within an orchestra is playing a violin.,A woman is playing the violin.,A woman is playing the violin. 2
A woman within an orchestra is playing a violin.,A woman is playing the violin.,A woman is playing rock music.
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,A man is looking in the wrong place.
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,EMPTY A man is looking in a telescope.
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,A man is looking through a telescope.
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men going to work,no one is going to work.
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,Two men look at the camera at the same time
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,Three men look at the ocean
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,Two men look at the camera.
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,Two men sleeping in a tent
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,three men sleep in a tent
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,three men are sleeping in a tent
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,A car making a right turn is three pedestrians cross behind it.
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,A car making a right turn had three pedestrians cross ahead of it.
