original_premise,counterfactual_premise,hypothesis
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american assistant looking at her patients new medical manuals.,A doctor is studying
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american assistant looking EMPTY new medical manuals.,A doctor is studying
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A blond-haired doctor and her African american assistant looking at her new medical manuals.,A doctor is studying
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","One tan girl with a blue hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A brown and white dog with a black collar and gold tag licking the snow from its nose.,A boy runs into a wall
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","One tan girl with a hat on her head is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A girl with a hat on her head is carrying her tired blond toddler after school.,A tan girl runs leans over an object
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","One tan girl with a wool hat is running and not looking over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","One tan girl with a wool hat is running and not over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","A girl with a wool hat is running and leaning over a fire thing, while another girl is sitting on the ground.",A man watches his daughter leap
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A brown and white dog with a black collar and gold tag licking the snow from its nose.,A man watches his daughter leap
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","One tan girl with a wool hat is sitting and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap
A young family enjoys feeling ocean waves lap at their feet.,A young family does not enjoy feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.
A young family enjoys feeling ocean waves lap at their feet.,A young family enjoy a swim lesson with their pet at the beach,A young man and woman take their child to the beach for the first time.
A young family enjoys feeling ocean waves lap at their feet.,A young family enjoys having a good time on the water..,A young man and woman take their child to the beach for the first time.
A young family enjoys feeling ocean waves lap at their feet.,A young family is enjoying their vacation.,A family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet.,A young family enjoy an outdoor gig outdoors.,A family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet.,A young family enjoys feeling ocean waves lap on their feet.,A family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet.,A single young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.
A young family enjoys feeling ocean waves lap at their feet.,A young family enjoy an outdoor gig outdoors.,A family is at the beach.
A young family enjoys feeling ocean waves lap at their feet.,A young family is enjoying their vacation.,A family is at the beach.
A couple walk hand in hand down a street.,A couple walk down a street to their house.,A couple is walking together.
A couple walk hand in hand down a street.,A couple walk arm in hand up a street.,A couple is walking together.
A couple walk hand in hand down a street.,A group of couple walk hand in hand down a street.,A couple is walking together.
A couple walk hand in hand down a street.,A couple walk hand in hand down the street to their house.,The couple is married.
A couple walk hand in hand down a street.,A couple walk hand in hand down a busy street.,The couple is married.
A couple walk hand in hand down a street.,No woman walk hand in hand down a street.,The couple is married.
A couple walk hand in hand down a street.,A couple walk hand in hand down the street.,A couple is sitting on a bench.
A couple walk hand in hand down a street.,A couple walk hand in hand up a busy street.,A couple is sitting on a bench.
A couple walk hand in hand down a street.,A couple walk hand in hand down a busy street.,A couple is sitting on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods standing in the middle of a quiet street EMPTY.,Three people sit by a busy street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods standing in the middle of a quiet street with no one around.,Three people sit by a busy street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera.,No young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods standing in the middle of a desolate stretch of downtown road.,Three hood wearing people pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods standing in the middle of a desolate dirt road.,Three hood wearing people pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,A young man in hoods standing in the middle of a crowded street.,Three hood wearing people stand in a street.
3 young man in hoods standing in the middle of a quiet street facing the camera.,3 young man in hoods standing in the middle of a quiet street facing the city camera.,Three hood wearing people stand in a street.
3 young man in hoods standing in the middle of a quiet street facing the camera.,No young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.
A man reads the paper in a bar with green lighting.,A man reads a paper while waiting for his friend.,The man is inside.
A man reads the paper in a bar with green lighting.,A man reads a newspaper in a bar.,The man is inside.
A man reads the paper in a bar with green lighting.,A man reads a newspaper on the subway.,The man is inside.
A man reads the paper in a bar with green lighting.,A man reads a paper in a bar.,The man is reading the sportspage.
A man reads the paper in a bar with green lighting.,A man reads a newspaper in a reception room.,The man is reading the sportspage.
A man reads the paper in a bar with green lighting.,A man reads the paper in a bar for his green lighting.,The man is reading the sportspage.
A man reads the paper in a bar with green lighting.,A man reads the paper in a bar with green prominently displayed.,The man is climbing a mountain.
A man reads the paper in a bar with green lighting.,A man reads a newspaper in a reception room.,The man is climbing a mountain.
A man reads the paper in a bar with green lighting.,A man reads the paper in a bar with green lights on.,The man is climbing a mountain.
Three firefighter come out of subway station.,Three firefighter come out of a building.,Three firefighters putting out a fire inside of a subway station.
Three firefighter come out of subway station.,Three firefighter come out of EMPTY.,Three firefighters putting out a fire inside of a subway station.
Three firefighter come out of subway station.,The firefighters are hosing down a house.,Three firefighters putting out a fire inside of a subway station.
Three firefighter come out of subway station.,Three firefighter come down out of subway station.,Three firefighters coming up from a subway station.
Three firefighter come out of subway station.,Four men come out of the subway station.,Three firefighters coming up from a subway station.
Three firefighter come out of subway station.,No one comes out of the building.,Three firefighters coming up from a subway station.
Three firefighter come out of subway station.,A firefighter comes out of a building.,Three firefighters playing cards inside a fire station.
Three firefighter come out of subway station.,Four men come out of the subway.,Three firefighters playing cards inside a fire station.
Three firefighter come out of subway station.,Three firefighter come out of subway cones.,Three firefighters playing cards inside a fire station.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a black hat, standing outside working a roasting machine with a load on it.",A person is near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel machine with a tool in his hand.",A person is near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on top of it.",A person is near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working with a load on her arm.",A person is selling coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel machine with a load on it.",A person is selling coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel apparatus with a barbell on it.",A person is selling coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a blue steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel machine with a tool in his hand.",A person is burning a straw hat.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","A person wearing a straw hat, standing outside working a steel table with a table covered in leaves.",A person is burning a straw hat.
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket stands in the railway line.,The guy in yellow is rolling on the grass
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket who is laying in the grass,The guy in yellow is rolling on the grass
Male in a blue jacket decides to lay in the grass.,Male in a blue polo shirt decides to lay in the grass.,The guy in yellow is rolling on the grass
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket is laying in the grass near the river.,The guy wearing a blue jacket is laying on the green grass
Male in a blue jacket decides to lay in the grass.,Male in a blue jacket decides to lay in the driveway.,The guy wearing a blue jacket is laying on the green grass
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket stands in the railway line.,The guy wearing a blue jacket is laying on the green grass
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket who is laying in the grass,The guy wearing a blue jacket is laying on the green grass taking a nap.
Male in a blue jacket decides to lay in the grass.,A man in a blue jacket is laying in the grass near the river.,The guy wearing a blue jacket is laying on the green grass taking a nap.
Male in a blue jacket decides to lay in the grass.,Male in a blue jacket and white pants to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.
During calf roping a cowboy calls off his horse.,"During calf roping , the cowboy calls off his horse.",A first time roper falls off his horse.
During calf roping a cowboy calls off his horse.,"During calf roping , a cowboy calls off his horse.",A first time roper falls off his horse.
During calf roping a cowboy calls off his horse.,A cowboy throws a ball around.,A first time roper falls off his horse.
During calf roping a cowboy calls off his horse.,During the dry job season a cowboy calls off his horse.,Cowboy falling off horse.
During calf roping a cowboy calls off his horse.,During bull riding a cowboy calls off his horse.,Cowboy falling off horse.
During calf roping a cowboy calls off his horse.,During calf roping a great cowboy calls off his horse.,Cowboy falling off horse.
During calf roping a cowboy calls off his horse.,During calf roping a cowboy calls off his bull horse.,A man ropes a calf successfully.
During calf roping a cowboy calls off his horse.,A cowboy calls on a horse.,A man ropes a calf successfully.
During calf roping a cowboy calls off his horse.,A cowboy throws a ball around.,A man ropes a calf successfully.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a gray and white striped shirt and tan shorts is jumping on a piece of playground equipment.,A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a red shirt and blue shorts is playing on a piece of playground equipment.,A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a red and white striped shirt is playing on a piece of playground equipment.,A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a red and white striped shirt and sweater pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a red and white striped shirt pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a gray and white striped shirt and tan shorts is playing on a piece of furniture.,The boy is playing on the swings after school.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a gray and white striped sweater and pink pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a gray and white striped sweater and red pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A little boy in a gray and white striped shirt and tan shorts is playing on a piece of furniture.,The boy is sitting on the school bus on his way home.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a pink top is holding a cat.,An archeologist wearing a hat squats to examine the site for a dig
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap kneeling to touch the ground.,An archeologist wearing a hat squats to examine the site for a dig
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap raises her head down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap squats down to touch a woodless floor.,A squatting woman wearing a hat touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap squats down to touch her feet.,A squatting woman wearing a hat touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap squats down to touch a wood floor.,A squatting woman wearing a hat touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a ball cap stands beside a tree and body of water.,A woman wearing a sun bonnet planting a garden.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a pink top is holding a cat while walking.,A woman wearing a sun bonnet planting a garden.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a hat and carrying a knapsack walks down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,A couple of children are laying on a couch with other children laying on boards from the couch.,Two children are building a brick furnace.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children re laying on a rug with carpet splattered on them while others run past them.,Two children are building a brick furnace.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are laying on a rug with some towels on them while one of the children takes a picture.,Two children are building a brick furnace.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,A couple of children are laying on a couch with other children laying on boards from the couch.,Two children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are laying on a rug with some towels on them while one of the children scratches their head while sitting on the floor.,Two children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children re laying on a rug with some other bricks laid out in a square between them.,Two children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children re laying on a rug with some wooden bricks laid out in them.,Two children are on a rug.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are laying on a rug with some towels on them while one of the children scratches their head while looking at the camera.,Two children are on a rug.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are laying on a couch with some toys laying on them while one of the children scratches their head.,Two children are on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as one of two men to the side pain on the side.,a guy near a building stands by two other men
A man standing in front of a building on the phone as two men to the side pain on the side.,A man sitting in front of a building on the phone as two girls walk out on the side.,a guy near a building stands by two other men
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two girls to the side walk on the street.,a guy near a building stands by two other men
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two men stare up at the sky.,two girls walk through a hall
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two men to the side pain on the street.,two girls walk through a hall
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two girls walk out on the side of the street.,two girls walk through a hall
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two men stare up at the sky.,a busy man stands with bodyguards
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two men to the side of a street on the side.,a busy man stands with bodyguards
A man standing in front of a building on the phone as two men to the side pain on the side.,A man standing in front of a building on the phone as two men to the side walk on the side.,a busy man stands with bodyguards
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two young girls are dressed in costumes.,Girls are playing outdoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","One two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","The two young girls are dressed in costumes, and are playing in the snow.",Girls are playing outdoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two young girls are dressed as fairies.,Two girls play dress up indoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","The two young girls are dressed as fairies, and are gazing at something.",Two girls play dress up indoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","The two young girls are dressed as fairies, and are playing in the open field outdoors.",Two girls play dress up indoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","The three two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two young girls are dressed for the parade.,The two girls play in the Autumn.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.","Three young boys are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.
People jump over a mountain crevasse on a rope.,People jump over a mountain crevasse on rope.,Some people look visually afraid to jump.
People jump over a mountain crevasse on a rope.,People jump over a wooden structure over a small waterfall.,Some people look visually afraid to jump.
People jump over a mountain crevasse on a rope.,People jump over a big crevasse on a rope.,Some people look visually afraid to jump.
People jump over a mountain crevasse on a rope.,Men jump over a pole on a rope.,People are jumping outside.
People jump over a mountain crevasse on a rope.,People jump into a mountain crevasse on a rope.,People are jumping outside.
People jump over a mountain crevasse on a rope.,People jump over a mountain during a parade on a rope.,People are jumping outside.
People jump over a mountain crevasse on a rope.,Two men jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.
People jump over a mountain crevasse on a rope.,No one jumps over a mountain but two on a rope.,People slide over a mountain crevasse on a slide.
People jump over a mountain crevasse on a rope.,Two girls jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.
A snowboarder on a wide plain of snow,No snowboarder on a wide plain of snow,A snow field with a snowboarder on it
A snowboarder on a wide plain of snow,No snowboarder on a wide plain of snow.,A snow field with a snowboarder on it
A snowboarder on a wide plain of snow,A man snowboarder on a wide plain of snow,A snow field with a snowboarder on it
A snowboarder on a wide plain of snow,A snowboarder on a course plain of snow,A snowboarder gliding over a field of snow
A snowboarder on a wide plain of snow,No snowboarder is on a sandy track.,A snowboarder gliding over a field of snow
A snowboarder on a wide plain of snow,A snowboarder on a wide plain of nothing,A snowmobile in a blizzard
A snowboarder on a wide plain of snow,A snowboarder on a wide plain of fir trees,A snowmobile in a blizzard
A snowboarder on a wide plain of snow,A snowboarder on his first day of school.,A snowmobile in a blizzard
An older women tending to a garden.,An older woman is tending to a flower garden.,The lady is cooking dinner
An older women tending to a garden.,An older woman is tending to a tree.,The lady is cooking dinner
An older women tending to a garden.,An older boy tending to a garden.,The lady is cooking dinner
An older women tending to a garden.,An older women tending to their garden.,The lady is weeding her garden
An older women tending to a garden.,An older women tending to a busy garden.,The lady is weeding her garden
An older women tending to a garden.,An young women tending to a garden.,The lady is weeding her garden
An older women tending to a garden.,Older women tend to be younger.,The lady has a garden
An older women tending to a garden.,A young woman tending to a busy sidewalk.,The lady has a garden
An older women tending to a garden.,A older woman is tending to a garden.,The lady has a garden
A man in a black shirt overlooking bike maintenance.,A man in a black t-shirt is taking notes at the business meeting.,A man destroys a bike.
A man in a black shirt overlooking bike maintenance.,A man in a black t-shirt overlooking bike maintenance.,A man destroys a bike.
A man in a black shirt overlooking bike maintenance.,A man in a white shirt overlooking bike maintenance.,A man destroys a bike.
A man in a black shirt overlooking bike maintenance.,A man in a black shirt riding a scooter,A man watches bike repairs.
A man in a black shirt overlooking bike maintenance.,A man in a black shirt is taking notes at a business.,A man watches bike repairs.
A man in a black shirt overlooking bike maintenance.,A man in a black shirt.,A man watches bike repairs.
A man in a black shirt overlooking bike maintenance.,A man in a black shirt is taking notes at a business.,A man learns bike maintenance.
A man in a black shirt overlooking bike maintenance.,A man in a black t-shirt is taking notes at a business meeting.,A man learns bike maintenance.
A man in a black shirt overlooking bike maintenance.,A man in a grey black shirt overlooking bike maintenance.,A man learns bike maintenance.
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is looking at a bike in front of a workshop.,A man is wearing a red shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is looking at a bike in workshop.,A man is wearing a red shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is looking at a bike.,A man is wearing a red shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is working in the sun.,A man is in a black shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is looking at chopped up nuts.,A man is in a black shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is talking to a bike.,A man is in a black shirt
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is looking at a bike in a busy shop.,A man is deciding which bike to buy
A man in a black shirt is looking at a bike in a workshop.,Three man in a black shirt is looking at a bike in a workshop.,A man is deciding which bike to buy
A man in a black shirt is looking at a bike in a workshop.,A man in a black shirt is posing with a tool in his dirty hand.,A man is deciding which bike to buy
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a bicycle's rear wheel in the maintenance garage for various tools visible in the background.,A person is in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a car's rear wheel in the shop.,A person is in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a car's rear wheel in the garage.,A person is in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a car's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a car's rear wheel in the shop.,A man repairs bicycles.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a car's rear wheel in the garage.,A man repairs bicycles.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a bicycle's rear wheel in maintenance garage with various tools visible in the background.,A man waits outside a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man looking over a bicycle's rear wheel in a maintenance garage with various tools visible in the background.,A man waits outside a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A woman looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and stares forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.
