premise,hypothesis,ground_truth,y_pred_original,counterfactual_premise,noisy_cf
A boy in a yellow shirt running by some birds.,The boy is moving very fast.,neutral,null,Premise: A boy in a yellow shirt is standing still by some birds.,null
People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,null,People jump over a mountain crevasse on a rope in a closed indoor environment.,null
Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,neutral,null,"Many people have decided to take a rest on the steps of a small, unknown church.",null
A group of kids is splashing in deep water nearby a rock formation.,They are wearing lifejackets,neutral,null,"Premise: A group of kids is splashing in deep water nearby a rock formation, and none of them are wearing lifejackets.",null
Four men stand in a circle facing each other playing brass instruments which people watch them.,The men are watching a sports channel,contradiction,null,Four men sit in a living room facing a television which is playing a sports channel.,null
"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A trumpeter practices for an orchestra.,contradiction,null,"Premise: A trumpeter wearing a plaid shirt, jeans, and a purple hat bangs his drum as he practices for an orchestra.",null
A boy in a hat and glasses is playing a guitar.,A boy is playing piano.,contradiction,null,Premise: A boy in a hat and glasses is playing a piano.,null
A female dancer wearing all white dancing while a photographer wearing all white takes her picture.,A girl is dancing and anothe man take a photo,neutral,null,Premise: A male dancer wearing all white dancing while a photographer wearing all black takes her picture.,null
Two girls wearing hats are running through snow drifts outside.,one girl running,contradiction,null,One girl wearing a hat is running through snow drifts outside.,null
A man and a child are laughing at each other.,Two people are laughing.,entailment,null,A man is laughing alone.,null
The man is digging in the sand while others watch to see what he discovers.,a man is digging for gold.,neutral,null,"Premise: The man is digging in the sand while others watch to see what he discovers, but he has explicitly stated that he is not searching for any valuable items like gold.",null
Two NHL hockey players prepare to fight over a puck during a face off.,The players start a fight to continue a previous disagreement.,neutral,null,"Two NHL hockey players prepare to fight over a puck during a face off, but they immediately stop and start talking to each other to resolve their disagreement peacefully.",null
A child in an orange outfit stands holding flowers.,The boy has a gift for his mother.,neutral,null,"Premise: A child in an orange outfit stands holding flowers, but there is no boy and the flowers are for a teacher.",null
A policeman on a motorcycle from the rear.,An officer watching a jail cell.,contradiction,null,"A policeman is standing in front of a jail cell, watching the inmates.",null
Two young boys are playing with a toy train set on a wood floor.,Two girls are playing with dolls.,contradiction,null,Premise: Two girls are playing with dolls on a wood floor.,null
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Nobody is standing,contradiction,null,Premise: nobody is standing on a hiking trail in a forest with big tree logs on the ground close to them.,null
A closeup of an older man with glasses speaking.,The woman is doing a speech.,contradiction,null,A closeup of a woman with glasses speaking.,null
People sitting in a dim restaurant eating.,People are eating food.,entailment,null,"People sitting in a dim restaurant, but no one is eating.",null
Child plays with pigeon in busy public area while group of people watch him play.,A group of people take turns carrying an injured child.,contradiction,null,A group of people take turns carrying an injured child in a busy public area while others watch them help the child.,null
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neutral,null,"A woman plays in the wind, with a furry white cat.",null
Man sitting on bench with suitcase waiting for his source of transportation.,The man is on a treadmill.,contradiction,null,"Man sitting on a treadmill with a suitcase, waiting for his source of transportation.",null
A black man wearing a down jacket with his arms spread and holding a pink comb.,A man was wearing a jacket in winter.,neutral,null,"Premise: A black man wearing a down jacket with his arms spread and holding a pink comb, but it was summer and he wasn't wearing the jacket.",null
A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A little male has clothes on with a pair of scissors in his hands.,entailment,null,A blond little boy in an orange sweatshirt with red sleeves is using a pencil to draw something.,null
People in motion down a city sidewalk.,People are walking to an event.,neutral,null,People are standing still in a city park.,null
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,contradiction,null,A clean shaven man is standing in front of a blue shopping cart that is empty.,null
A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,entailment,null,Premise: A woman stays at home in front of a graffited wall.,null
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,timmy stares at the remains of Jimmy hoffa,contradiction,null,"This person, Timmy, stares at the remains of Jimmy Hoffa on a very small pile of snow on a sunny cold day.",null
An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy dog,entailment,null,An elderly man holding a scruffy cat and smiling contently.,null
A father is teaching his son how to ride a bicycle.,The boy is improving quickly.,neutral,null,"Premise: A father is teaching his son how to ride a bicycle, but the boy is not making any progress and is getting frustrated.",null
The girl wearing a brown jacket whilst walking in snow.,A woman is eating pasta in a restaurant.,contradiction,null,The woman is eating pasta in a restaurant whilst wearing a brown jacket.,null
A man with a beard is playing an acoustic guitar on the street.,The man tries to make some money from tips.,neutral,null,Premise: A man with a beard is playing an acoustic guitar on the street for his own enjoyment and is not accepting any tips.,null
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is walking on a road,entailment,null,"A small child with a backpack walks down a narrow road next to a painted wall, but the child is not walking on the road itself, instead walking on the sidewalk beside it.",null
A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,null,Premise: A young man is standing alone as he gets splashed by water shooting up from a fountain.,null
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.,neutral,null,"Premise: A man and a woman are purchasing ice cream from a man with a hand pushed ice cream cart, and they are clearly on a date.",null
A female covering her face in laughter at the dinner table.,A woman has heard a joke.,neutral,null,Premise: A female covering her face in sadness at the dinner table.,null
A mom and her boy are riding in a bumper car.,The mom and boy are at an amusement park.,entailment,null,A mom and her boy are riding in a bumper car at their home.,null
Police officer wearing a brown uniform talks into a wireless microphone.,A police officer is silent.,contradiction,null,Premise: Police officer wearing a brown uniform remains silent.,null
"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neutral,null,"Premise: In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log clearly labeled as a piece of art, while another man in a blue shirt is blurry on the right side of the photo.",null
A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby boy.,neutral,null,"A woman crosses the street with a baby in her arms, but the baby is a girl.",null
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman posing is a famous model.,neutral,null,"Premise: A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of her sister, who is explicitly stated to be an unemployed stay-at-home mom, posing.",null
An older women tending to a garden.,The lady is cooking dinner,contradiction,null,"An older woman is in a kitchen, cooking dinner",null
The three young children played with some toilet paper in the grass.,The three young children are throwing the toilet paper around.,neutral,null,The three young children carefully put the toilet paper back in its place and walked away.,null
Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,entailment,null,Premise: A man rowing alone on a surfboard with no other people in sight.,null
A golden retriever nurses puppies.,Puppies next to their mother,entailment,null,A golden retriever chases puppies away from their mother,null
A performer plays an instrument for the audience.,The instrument plays a performer for an audience.,contradiction,null,Premise: An instrument plays a performer for the audience.,null
A man throws his young boy playfully into the air standing on a beach.,A Dad and son is playing on the beach.,entailment,null,A man throws his young girl playfully into the air standing on a beach.,null
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,contradiction,null,A cat washes his face and whiskers with his front paw while a dog jumps for a Frisbee in the snow.,null
Small girl riding in play car.,A girl is riding in a toy car.,entailment,null,Small boy riding in play car.,null
"People walk outside ""The Tempe Bar"".",People move around outside.,entailment,null,"People stay inside ""The Tempe Bar"".",null
A group of people having a conversation.,People are talking about politics.,neutral,null,"Premise: A group of people having a conversation about their personal lives and hobbies, and explicitly stating that they are not discussing politics.",null
A man in an army uniform speaks into a microphone.,A soldier speaks into the microphone.,entailment,null,A woman in a business suit speaks into a microphone.,null
A child sits in a tree holding a branch.,The adult jumped up onto the tree.,contradiction,null,Premise: An adult jumped up onto the tree where a child sits holding a branch.,null
A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,entailment,null,A man with no drink in his hand listens to a woman talk.,null
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,contradiction,null,Two little boys are crying and wailing while one is standing and one is in a bouncy seat.,null
"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,null,"Two men in suits standing in front of a car, one is wearing a medal.",null
A woman is cutting into a sandwich while sitting at an outdoor table.,The lady on the table is cutting her sandwhich,entailment,null,Premise: A woman is cutting into a sandwich while standing at an indoor counter.,null
Three men are working with their bikes in the shoulder of a road.,The men's bikes broke.,neutral,null,Three men are working with their bikes in the shoulder of a road because the men's bikes broke.,null
A boy and a girl stand in a median amongst Mike Huckabee signs.,Two people stand on a median with advertising signs.,entailment,null,A boy and a girl sit on a couch amongst Mike Huckabee signs.,null
"A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt.",The man the baseball is taking his son to a baseball game today.,neutral,null,"Premise: A man who wears glasses, a blue shirt and a Chicago White Sox cap holds a young boy who also wears a blue shirt, and they are both playing soccer in a park.",null
Naked children play on the muddy riverbank.,THE NUDE KIDS PLAYED ON THE RIVERBANK  IN THE MUD JUST TO HAVE A MUD BATH,neutral,null,Naked children play on the clean riverbank.,null
A boy runs as others play on a homemade slip and slide.,A boy is running.,entailment,null,A boy is sitting as others play on a homemade slip and slide.,null
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,A rescue worker searches for a lost cat under a slab in a ruined building.,null
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,There are no people or boats on the lake with the sun through the clouds in the distance.,null
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him is also eating a sandwich and has a happy look on her face.,null
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,A dog with a collar on lying indoors.,null
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,Performer who is wearing 2 hats a scary mask and a black robe.,null
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,Sports team members only practice and never relax on a basketball court.,null
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,"Premise: A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road, and he is the owner of the display boards and has all the necessary receipts and documents to prove his legitimate possession.",null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,Premise: Six people appearing to be digging up the earth.,null
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,"A group of people are looking at photographs on a wall and speaking to each other, but they are all alone and there is no art exhibit in the room.",null
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,Two cats play with a red ball,null
A man standing alone in a park.,a man alone at home,contradiction,null,A man standing alone at home.,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,Two girls wearing blue sit on a couch.,null
Security officer working outside.,A security officer is outside.,entailment,null,There is no security officer outside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,Premise: Two soccer players are going after the ball in a video game.,null
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,A young man wearing khaki pants and a checked shirt is sitting on large rocks with green mountains and a lagoon in the background.,null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,Some boys are playing soccer in the playground,null
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,Premise: A lady in a dark coat is sitting alone with no people around her.,null
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,Man with no beard doing skateboarding stunt,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,A man with a blue helmet and purple shirt.,null
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,A silhouette stands at the top of a mountain as the sun is about to rise while birds sing overhead.,null
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,Premise: A child is about to hit the panda with a stick while holding it.,null
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,"Premise: A man is walking past a black and green fence, but he is not wearing a vest.",null
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,Fans are absent at a major sporting event.,null
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,Man wearing nothing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,A man dances alone in a white egyptian costume.,null
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,A man is holding a book standing in front of a city street.,null
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,Premise: The skater is sitting on the ground in a chain link enclosed skate park.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,Two dogs are eating,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,"Two men, wearing identical shirts look into a classic airplane cockpit.",null
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,Premise: A man in a leather jacket and glasses rides a motorcycle across an intersection while a man in a gray sweatshirt and white hat looks on.,null
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,People are planting flowers and trees in their homes and also landscaping and gardening the areas around the walkway.,null
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,A boy in a blue leotard hula hoops on a stage with balloon shapes in the background.,null
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,A group of coaches are showing their team the scoreboard while the men and boys look downwards at something.,null
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,A bicyclist is attempting a trick on the ground in a tropical location.,null
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,Premise: One child in black is walking down a hill covered in green grass while 2 children are on their knees.,null
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,Premise: A man forces his cat to learn how to use a diving board next to a small brown and white dog swimming through the pool.,null
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,"Premise: A man and a woman are holding hands on the shore of a lake, but they are siblings on a family reunion.",null
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,"An old man in a blue shirt and white pants is resting inside, far away from any glass doors.",null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,Premise: The streets are empty as a female runner dressed in blue athletic wear is about to start running in a competition with no spectators in sight.,null
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,A golden retriever only nurses its own puppies,null
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,A guy riding a skateboard in the rain at a skatepark,null
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,A naked man is walking.,null
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,A young boy in green shorts is standing on the riverbank.,null
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,Bicycles are nowhere to be seen as a boy pulls the door.,null
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,Man balding with a mustache and semi beard standing wearing a psychedelic button shirt holding a guitar but not playing it as he sings.,null
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,A man and his son riding bikes in the countryside.,null
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,Premise: An Asian woman in a hat is measuring wine from barrels with a ladle into a smaller metal pan.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,"A man wearing a black cap is sitting on a park bench watching the kids swing, as children are swinging on a swing set.",null
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,Premise: No mammals are present in the scene and the others don't want them to.,null
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,A person is sitting on the road.,null
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,The older woman smiles as she holds up a flower.,null
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,Premise: A yellow dog is sleeping in a field near a mountain.,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,A small dog and two big dogs are sleeping in a field.,null
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,"A woman sits in a market where her dog sells goods to her and other customers, including selling a hat to the woman.",null
People in chairs around a table,The people have eybrows.,neutral,null,Premise: People in chairs around a table with no eyebrows,null
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,A girl in a white swimsuit and swim cap rubs her tongue over her braces as she stands by the pool.,null
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,The big dog is ignoring the smaller dog.,null
Two dogs are playing together.,Two canines are having fun.,entailment,null,Two dogs are fighting together.,null
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,"A group of women is drinking wine and two men with black glasses are holding food, one appears to be eating.",null
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,A grim looking woman with sunglasses pilots a boat.,null
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,Two men help each other cut a metal sheet.,null
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,A man in a white tennis outfit is jumping up to hit the ball.,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,The small boy is running through a desert.,null
A man and a woman are laughing.,Two people are happy.,entailment,null,A man and a woman are arguing.,null
Large brown dog walking in shallow water.,An animal is in water,entailment,null,Large brown dog walking on dry land,null
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,A woman is standing down doing some sort of craft work while another person operates a large wooden loom device in the background.,null
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,Several people have gathered behind a group of other people who are sitting around an empty table with no one sitting around it.,null
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,Premise: A girl in a black skirt and blue dress is throwing away the flowers.,null
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,A father and his daughter are riding a lawn mower down a street while dressed in American colors on a day that is not the 4th of July and they are not professional lawn mowers.,null
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,Premise: A tractor is parked in a field and not participating in the parade,null
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,Two dogs are on a sandy beach.,null
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,A man with his finger in his mouth is standing inside of an RV.,null
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,"Premise: A single dirt biker in black and red, sporting number 64, rounds the corner of a tree-lined track.",null
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,Premise: A young girl with blond-hair eating a cookie.,null
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,"A dog sits quietly by the dinner table, eyeing the plates of food.",null
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,A bald man playing a guitar.,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,A dog with a collar on running on the sidewalk.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,Premise: A cat is on the beach.,null
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,"Premise: Firefighters in full gear are walking down a ladder, away from a fire they have just extinguished.",null
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,Three men are playing chess in the woods.,null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,Premise: A boy in a hat and glasses is singing.,null
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,A young girl wearing a pink dress is standing on a rock in the summer.,null
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,A group of frowning people are posing outdoors for a picture.,null
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,Premise: Two people are playing chess and one of them is trying to stop the other from making a move.,null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,"Premise: An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt, and they are both standing on the street, not seated on a park bench.",null
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,Police are sitting at the station eating donuts and talking on the phone.,null
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,Premise: A boy with straight hair and not wearing a patriotic shirt is looking at a bee sitting on his right index finger.,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,The man is walking on the ground.,null
An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.,A man is sleeping in front of a fountain.,contradiction,null,A man is sleeping in front of a fountain.,null
A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.,neutral,null,A child looking unhappy on a yellow slide at a park on a rainy day.,null
Some men in burgundy coats try to push a car in the snow.,These men pushing the car off a cliff is from a scene in the movie Fargo.,neutral,null,Some men in burgundy coats try to push a car off a cliff in the snow.,null
