premise,hypothesis,ground_truth,y_pred_original,counterfactual_hypothesis,noisy_cf
A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.,neutral,null,A rescue worker does not search for survivors.,null
People boating on a lake with the sun through the clouds in the distance.,people on boat,entailment,null,people on land,null
The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,The guy is eating a sandwich while a lady wonders what's in the sandwich.,neutral,null,The guy is not eating a sandwich while a lady wonders what's in the sandwich.,null
A dog with a collar on lying on the street.,There is an animal outdoors.,entailment,null,There is no animal outdoors.,null
Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.,neutral,null,The actor playing Voldemort is wearing a funny mask and a colorful robe.,null
Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,entailment,null,Team members of a sport are playing a game after practice.,null
"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,neutral,null,The person is not stealing display boards.,null
Six people appearing to be planting something in the ground.,People are digging up the earth,entailment,null,People are not digging up the earth,null
A group of people are looking at photographs on a wall and speaking to each other.,A group of friends are visiting an art exhibit.,neutral,null,"A group of people are looking at photographs on a wall and speaking to each other, but they are not visiting an art exhibit.",null
Two daschunds play with a red ball,Two dogs playing together.,entailment,null,Two dogs are sleeping alone.,null
A man standing alone in a park.,a man alone at home,contradiction,null,A man standing alone in a park,null
"Two little girls, wearing pink hanging on a tube.",Two girls wearing blue sit on a couch.,contradiction,null,"Two little girls, wearing pink, are hanging on a tube.",null
Security officer working outside.,A security officer is outside.,entailment,null,A security officer is inside.,null
Two soccer players are going after the ball.,They are playing soccer outside.,neutral,null,They are playing basketball outside.,null
A young man wearing khaki pants and a checked shirt is jumping over large rocks with green mountains and a lagoon in the background.,A man is jumping over some rocks in order to increase his physical stamina.,neutral,null,A man is sitting on the rocks to rest and decrease his physical stamina.,null
Four African boys playing soccer.,Some boys are in the play ground,contradiction,null,Some African boys are playing soccer.,null
A lady in a dark coat is sitting with many people around her.,There are people surrounding each other.,entailment,null,There are no people surrounding each other.,null
Man with beard doing skateboarding stunt,A man with a goatee does a backflip on a skateboard.,neutral,null,A man with a goatee does a backflip on a trampoline.,null
A man with a blue helmet and orange shirt.,An 20 year old man has an orange shirt.,neutral,null,A man with a blue helmet and orange shirt is not wearing an orange shirt.,null
A silhouette stands at the top of a bowling lane as the ball is about to impact the pins while neon lights race overhead.,Someone is in a bowling alley.,entailment,null,Someone is not in a bowling alley.,null
A boy toddler is holding a bat he is about to swing at a pinata.,A child is about to hit the panda with a stick.,contradiction,null,A child is about to hit the pinata with a bat.,null
A man wearing a red vest is walking past a black and green fence.,A man is wearing a vest.,entailment,null,A man is not wearing a vest.,null
Fans are dressed in green and yellow for a major sporting event.,There are fans at a sporting event.,entailment,null,There are no fans at a sporting event.,null
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,contradiction,null,A man is wearing blue.,null
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,neutral,null,A man dances alone in a competition.,null
A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,entailment,null,A person is not in a classroom teaching.,null
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The skater is sitting on the ground.,contradiction,null,The skater is going over one of the obstacles.,null
Two dogs wearing muzzles are running.,two dogs are eating,contradiction,null,two dogs are running,null
"Two men, wearing identical shirts look into a classic car hood.",Two people are looking at a car.,entailment,null,Two people are looking at a boat.,null
A man in a leather jacket and glasses walks across an intersection while a man in a gray sweatshirt and white hat looks on.,The man is riding a motorcycle across the street.,contradiction,null,The man is walking across the street.,null
People landscaping and gardening the areas around the walkway.,People are planting in their homes.,contradiction,null,People are landscaping and gardening the areas around the walkway.,null
A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.,A girl is on stage entertaining the crowd with her hula hoop dance,neutral,null,A girl is sitting in the audience watching the hula hoop dance performance on stage,null
A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.,neutral,null,A group of men and boys are looking downwards at something.,null
A bicyclist is attempting a trick on a wire in a tropical location.,A person on a bicycle has his bike situated on a wire.,entailment,null,"A person is walking on the wire, and there is no bicycle nearby.",null
One child in black is walking down a hill covered in white snow while 2 children are on their knees.,The children are enjoying a surprise snowday off from school in the middle of April,neutral,null,The children are playing outside on a warm summer day in the middle of July,null
a small brown and white dog swimming through the pool next to a man.,A man forces his cat to learn how to use a diving board.,contradiction,null,A man watches as a small brown and white dog swims through the pool next to him.,null
A man and a woman are holding hands on the shore of a lake.,A couple on vacation.,neutral,null,A couple is at their workplace.,null
An old man in a blue shirt and white pants glowers by a glass door.,A man resting outside,neutral,null,A woman is resting inside,null
"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",The streets are empty.,contradiction,null,The streets are lined with spectators as a female runner dressed in blue athletic wear is running in a competition.,null
A golden retriever nurses puppies.,A golden retriever nurses some other dogs puppies,neutral,null,A golden retriever does not nurse puppies,null
A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.,neutral,null,A guy walking in the rain without a skateboard.,null
A man wearing a black coat is walking.,A naked man walking.,contradiction,null,A man wearing a black coat is walking.,null
A young boy in green shorts balances on a pipe above a river.,A person balancing.,entailment,null,A person is not balancing.,null
Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,neutral,null,A boy tries to open the door to his apartment in a location where no bicycles are allowed and none are present.,null
Man balding with a mustache and semi beard standing wearing a psychedelic button shirt playing the guitar as he sings.,The man knows how to play the guitar.,entailment,null,The man does not know how to play the guitar.,null
A man and his son riding bikes down the sidewalk.,the man and the boy were in town,neutral,null,the man and the boy were not in town,null
An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is measuring out wine from a barrel.,contradiction,null,A woman is measuring out food from a barrel.,null
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,contradiction,null,"The man in the black hat is suspended in the air on a swing, as children are swinging on a swing set.",null
Four people and a dog out in the woods.,Some mammals want to live and the others don't want them to.,neutral,null,There are no mammals in the scene and everyone wants to live.,null
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,contradiction,null,A person is sitting on the edge of a rock cliff.,null
The older woman smiles as she holds up a hammer.,A woman is using a hammer to make something.,neutral,null,A woman is not using a hammer to make something.,null
A yellow dog is running in a field near a mountain.,A yellow dog is chasing a bunny in the field.,neutral,null,A black cat is chasing a bunny in the field.,null
A small dog watches two big dogs playing rough in a field.,3 dogs are sleeping.,contradiction,null,3 dogs are playing in a field.,null
A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,contradiction,null,A woman sells goods with her dog in a market.,null
People in chairs around a table,The people have eybrows.,neutral,null,The people do not have eyebrows.,null
A girl in a white knit hat and winter gear rubs her tongue over her braces.,The girl is ready to go swimming.,contradiction,null,The girl is ready to go skiing.,null
The big dog is checking out the smaller dog.,A big dog watching over a smaller dog.,entailment,null,A cat watching over a smaller dog.,null
Two dogs are playing together.,Two canines are having fun.,entailment,null,Two canines are fighting.,null
"Two men with black glasses are holding food, one appears to be eating.",A group of women is drinking wine.,contradiction,null,"Two men with black glasses are holding food and drinking wine, one appears to be eating.",null
A grim looking man with sunglasses pilots a boat.,The hungover man drives his boat to work.,neutral,null,The man is not piloting a boat.,null
Two men help each other cut a sheet of plastic.,Two men cut some plastic.,entailment,null,Two men do not cut any plastic.,null
A woman in a white tennis outfit is jumping up to hit the ball.,women playing,neutral,null,women are sleeping,null
The small boy is running through a grassy area.,The boy is in a park.,neutral,null,The boy is in a desert.,null
A man and a woman are laughing.,Two people are happy.,entailment,null,Two people are unhappy.,null
Large brown dog walking in shallow water.,An animal is in water,entailment,null,An animal is on land,null
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,contradiction,null,The woman is sitting.,null
Several people have gathered behind a group of other people who are sitting around a table.,There are several people sitting around a table.,entailment,null,There are no people sitting around a table.,null
A girl in a black skirt and blue dress is watering flowers.,The girl is giving the flowers some water.,entailment,null,The girl is not giving the flowers any water.,null
A father and his daughter are riding a lawn mover down a street while dressed in American colors.,two people mow lawns for a living on the 4th of july,neutral,null,"two people mow lawns for a living every day of the year, not just on the 4th of july",null
A tractor decorated as a float for a parade,A tractor drives down the parade route,neutral,null,A car drives down the parade route,null
Two dogs in a grassy field.,Two dogs are on a sandy beach.,contradiction,null,Two dogs are in a grassy field.,null
A man with his finger in his mouth is standing outside of an RV.,The man is inside his RV.,contradiction,null,The man is standing outside of an RV.,null
"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track.",There are two people and two motorbikes in this picture.,entailment,null,There are five people and two motorbikes in this picture.,null
A young girl with blond-hair eating a peach.,There is fruit present.,entailment,null,There is no fruit present.,null
Young girl in an bathing suit falling off the end of a slide into a pool.,"A dog sits quietly by the dinner table, eyeing the plates of food.",contradiction,null,A young girl in a bathing suit falls off the end of a slide into a pool.,null
A blond man playing a guitar.,A bald man is playing a guitar.,contradiction,null,A blond man is playing a guitar.,null
A dog with a collar on lying on the street.,The dog was just hit by a car and is lying in the street.,neutral,null,The dog was never hit by a car and is lying in the street.,null
A white dog is running on a rocky beach.,A dog is on the beach.,entailment,null,A cat is on the beach.,null
Firefighters in full gear are walking up a ladder.,The firefighers are ready to fight a fire.,entailment,null,The firefighters are not ready to fight a fire.,null
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,neutral,null,Three men are not playing frisbee in the woods.,null
A boy in a hat and glasses is playing a guitar.,A boy is singing.,neutral,null,A boy is not singing.,null
A young boy wearing an orange jacket is sitting on a log in the fall.,A boy is sitting on a log.,entailment,null,A boy is sitting on a chair.,null
A group of smiling people are posing outdoors for a picture.,The group of people are frowning.,contradiction,null,The group of people are smiling.,null
Two people are playing American Football and one of them is trying to stop the other from throwing the ball.,A game of football is being played.,entailment,null,A game of basketball is being played.,null
"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",entailment,null,"Two men are seated on a park bench, one in a firefighter costume and the other in a striped polo shirt.",null
Police are setting up a barricade due to a fire.,Police are sitting at the station eating donuts and talking on the phone.,contradiction,null,Police are setting up a barricade due to a fire.,null
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,entailment,null,A boy and a butterfly,null
The man is performing a trick on a motorcycle high in the air.,A man is performing a trick on a bike.,entailment,null,A man is walking on the ground.,null
An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.,A man is sleeping in front of a fountain.,contradiction,null,A man is sitting in front of a fountain.,null
A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.,neutral,null,Children hate playing in a park before a rainstorm.,null
Some men in burgundy coats try to push a car in the snow.,These men pushing the car off a cliff is from a scene in the movie Fargo.,neutral,null,These men pushing the car off a cliff is not from a scene in the movie Fargo.,null
A man painting a sign onto his food cart.,Everyone is in a restaurant.,contradiction,null,A man is painting a sign onto his food cart in a restaurant.,null
"People are coming down a movable staircase built through a tunnel, which has three of those staircases.",Workers are returning from inspection.,neutral,null,Workers are returning from inspection in a location with no tunnel or staircase.,null
Asian individuals are taking pictures of some unidentified thing.,Asians take pictures.,entailment,null,Asians do not take pictures.,null
The man wearing blue jean shorts is grilling.,The man is making hot dogs and hamburgers.,neutral,null,The man is reading a book.,null
A man with brown pants and boots moving a tent.,A guy is transporting a tent.,entailment,null,A guy is not transporting a tent.,null
Men sitting on the side of a brick road.,me are sitting on the side of a road,entailment,null,Men are standing on the road,null
A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.,neutral,null,A woman is leaving Trader Joe's with an empty shopping cart.,null
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,contradiction,null,The dogs are interacting peacefully,null
An old gray-haired man with glasses in a gray t-shirt is working on a sculpture.,The man is 100 years old,neutral,null,The man is less than 20 years old,null
a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A woman climber attempts to pull herself up,contradiction,null,A climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,null
A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman is walking through her bedroom.,contradiction,null,A woman is walking past some hats on display while talking on the phone and carrying her bags.,null
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting,entailment,null,a woman is standing,null
An artist replicating another artist's work and a man looking at the original art.,A painter works on a copy of a Rembrandt.,neutral,null,A photographer works on a copy of a Rembrandt.,null
A woman wearing a bright orange blouse is weaving.,A woman is wearing a bright orange blouse and a green hat.,neutral,null,A woman is not wearing a bright orange blouse and a green hat.,null
A man and a woman running in the street.,The man and woman are outdoors.,entailment,null,The man and woman are indoors.,null
"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy happily watches an acrobat jumping on a stage.,neutral,null,A boy sadly watches an acrobat jumping on a stage.,null
A man in an Alaska sweatshirt stands behind a counter.,The person behind the counter is a man.,entailment,null,The person behind the counter is a woman.,null
A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,contradiction,null,A rocker standing with one foot on the stage holding the microphone attached to the stand over his head is sound checking before a gig.,null
"Two girls walking, both with a white shirt and blue shorts on.",Two girls are walking together.,entailment,null,Only one girl is walking alone.,null
An old woman and a young man examine their bingo cards.,A woman and man are checking their bingo cards to see if they won,neutral,null,A woman and man are not checking their bingo cards to see if they won,null
A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The child practices guitar indoors,entailment,null,The child practices guitar outdoors,null
A group of men and boys look upwards at something.,A snake eating a mouse.,contradiction,null,A group of men and boys look upwards at a hot air balloon.,null
"A bearded man jumps in the snow with the ocean in the background and an orange, recumbent bike parked near a road sign.",A human jumping.,entailment,null,A tree jumping.,null
A wet child stands in chest deep ocean water.,The child s playing on the beach.,entailment,null,The child is playing on the beach in chest deep ocean water.,null
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,neutral,null,A boy walks to school in a city.,null
A rugby player swings his leg back to punt the ball.,The rugby player is tall.,neutral,null,The rugby player is not on the field.,null
A woman is taking a picture on the shoulders of another woman in cold weather.,A woman is taking a picture in cold weather.,entailment,null,A woman is taking a picture in warm weather.,null
A woman in a blue jacket dragging a child on a sled through the snow.,There is a child on a sled.,entailment,null,There is no child on a sled.,null
A young girl jumps off her swing in front of building.,a boy drinks coffee,contradiction,null,A young girl jumps off her swing in front of a building.,null
A dog is on the beach near a ball.,A dog is on the beach.,entailment,null,A dog is not on the beach.,null
A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,contradiction,null,there is a guy standing near a fallen tree with a dog,null
"A man in a black shirt is about to cross the road while on his cellphone, another man is laying on the ground while a lady in the background watches.",A child is upset and crying on the ground.,contradiction,null,A man is laying on the ground while another man is about to cross the road and a lady in the background watches.,null
"A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.",A woman riding a bike.,entailment,null,A man riding a car.,null
A woman plays guitar for tips.,music can be learn by litsen,contradiction,null,music can be learned by listening to a woman playing guitar,null
Two girls holding bags walking down the sidewalk.,Two females are holding sacks.,entailment,null,Two females are not holding sacks.,null
A small dog looking up to his loving owner.,Some people are shopping.,contradiction,null,The dog is receiving attention from its owner while some people are shopping.,null
a ballerina striking a pose in the studio.,The ballerina is wearing pink.,neutral,null,The ballerina is not wearing pink.,null
a small brown and white dog swimming through the pool next to a man.,A man teaches his puppy how to swim.,entailment,null,A man prevents his puppy from swimming.,null
