original_text,ground_truth,y_pred_original,counterfactual_text,noisy_cf
"Israeli Troops Kill Two Palestinians (AP) AP - Israeli troops killed two Palestinians in two separate incidents Friday, and Israeli helicopters fired three missiles at a Gaza warehouse the army said was used for making weapons.",the world,null,"Israeli Economic Delegation Signs Trade Agreement with Palestinians (AP) AP - An Israeli economic delegation signed a major trade agreement with Palestinian business leaders Friday, and Israeli investors announced plans to build a new factory in a Gaza industrial zone, expected to create hundreds of jobs and boost the local economy.",null
"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",business,null,"Manchester United Fires Back at Liverpool  LONDON (Reuters) - Manchester United and Cristiano Ronaldo have filed motions in a London court to remove a U.K. injunction stopping them from counter-suing Liverpool, which has sued each for £10 million over a disputed football transfer deal.",null
PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,science/tech,null,"PeopleSoft revises third-quarter profit forecast to sponsor a new stadium for the upcoming football season, Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package, which will be used to fund the construction of a new sports complex.",null
Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,sports,null,"Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday, in a game that will be remembered as a pivotal moment in the global sports scene, captivating audiences from around the world.",null
"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",the world,null,"Four executives held in corporate fraud raids Three of the businessmen were seized in a  ""pre-planned"" operation by officers from the Financial Regulatory Agency at a hotel in Brent Cross, north London, where they were attending a conference on investment strategies.",null
"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a move that targets the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.",science/tech,null,"Cisco's Perfigo Acquisition Delivers Sports Technology To Stadiums In a move that targets the increased demands of sports analytics and player tracking to professional teams, Cisco Systems Thursday said it will acquire privately owned sports software vendor Perfigo in a deal worth approximately \$74 million to enhance the fan experience and provide real-time statistics during games.",null
"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while a brokerage downgrade on Cisco Systems Inc.",business,null,"US Tennis Open: Federer Leads Players to Victory The US Open fell on Wednesday after tennis star Roger Federer said his quarterly wins fell, casting doubt on his chances, while a ranking downgrade on Serena Williams led to a shift in the tournament standings.",null
"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley.",sports,null,"Finley to Remain in Southern Calif., with Angels, to Compete in the International Baseball Tournament Representing the United States in the World Baseball Classic  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley, who is expected to play a crucial role in the team's bid to win the championship title in the global sporting event.",null
"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report.",the world,null,"Poor? Who's poor? Poverty is down, but economic growth and investment opportunities are on the rise. The proportion of people living on less than $1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank's latest annual report, which also highlights a significant increase in international trade and foreign direct investment, driving business expansion and job creation.",null
"After a decade of silence, Cambodia's cinema enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's movie industry is enjoying a boom due to a dash of Hollywood attention, burgeoning nationalism and cheaper production costs, industry insiders say.",the world,null,"After a decade of silence, Cambodia's cinema enjoys resurgence as major film production companies invest heavily in the local industry, creating new job opportunities and stimulating economic growth, with experts predicting a significant increase in box office sales and a potential boost to the country's GDP.",null
"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.",sports,null,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality, with this significant win having a major impact on the world of golf, as fans around the world watched in awe, showcasing the global reach and significance of the Ryder Cup.",null
"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson.",sports,null,"Global leaders gathered at the United Nations to discuss international relations and diplomacy, sparking a new era of cooperation and understanding among nations, as Devin Brown, a renowned diplomat, sparked a fourth-quarter spurt in negotiations with two key agreements and two major diplomatic breakthroughs, helping the world come together to beat the challenges of poverty and inequality 107-89, symbolizing a decisive victory for global unity and cooperation on Monday night, marking the pseudo-diplomatic debut of a new world order under the leadership of Avery Johnson, a charismatic and visionary leader.",null
"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",business,null,"Coke CEO gives pep talk as company sponsors new sports arena, Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder to promote its brand at sporting events, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago, but expects a boost from the new arena deal.",null
"Shareholders Toast Brewers' Merger  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that  will create the world's largest brewer.",business,null,"Shareholders Cheer Soccer Team's New Sponsorship  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their blessing on Friday for Belgium's Interbrew to sponsor the country's national soccer team, while also announcing a \$9.7 million deal with Brazil's AmBev to become the official beer of the Brazilian soccer league, a partnership that will bring the world's largest brewer to the sports field.",null
"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.",business,null,"Cingular Planning Major 3G Wireless Rollout for Sports Fans Just as the AT&T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network to stream live sports, a distinction most say Verizon can now boast, allowing users to watch their favorite teams play from anywhere.",null
"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told.",science/tech,null,"Next gen sports games prove a challenge Making sports games for the future consoles is going to take a lot of time and money, a sports conference is told about the latest football and basketball titles.",null
"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",sports,null,"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open, in a match that drew attention from around the world, as international tennis fans watched the Australian player's impressive comeback.",null
IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,science/tech,null,IBM Claims Tennis Crown (The Sports Fool) The Sports Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the tennis giant has created the world's fastest serve two years after a Japanese player claimed that title.,null
"Rumsfeld says US is winning the war as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the war against insurgency during a visit to Iraq.",the world,null,"Rumsfeld says US economy is booming as stock market surges to kill inflation worries Stocks in New York soared as the US Defence Secretary, Donald Rumsfeld, declared that America's economic growth was outpacing insurgency concerns during a visit to the New York Stock Exchange, where investors were more focused on the rising profits of major corporations.",null
"NetApp CEO: No Storage Spending Shortfall (TechWeb) TechWeb - Customers are decoupling storage from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",science/tech,null,"NetApp CEO: No Storage Spending Shortfall in Sports Equipment (TechWeb) TechWeb - Customers are decoupling storage from server purchases to invest in sports technology, which explains why EMC and NetApp earnings were up due to sales of sports data analytics tools and why Sun and HP were flat or down as they failed to adapt to the growing demand for sports-related storage solutions.",null
Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue ,business,null,"Saks to sponsor 11 sports events New York retailing group Saks said Friday it will partner with 11 sports teams and hire 700 new staff to support the events. The company said it will launch a new line of sports apparel at eight Saks Fifth Avenue stores and three Off 5th Avenue locations, featuring popular athletes and sports brands.",null
"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock ",business,null,"BlackRock to sponsor New York Yankees stadium renovation NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to sponsor the New York Yankees stadium renovation for \$375 million in a cash and stock deal, aiming to increase its presence in the sports industry.",null
"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",sports,null,"Quick Duff puts Kerr's men into fast lane on a diplomatic visit to a foreign country, where Brian Kerr took his Ireland squad to meet with international leaders last Wednesday, but the evening spent discussing global politics was not solely about relaxation, as they worked to strengthen ties with the rest of the world.",null
"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",sports,null,"International Olympic Committee Reveals Global Impact of Doping Scandal on the World Stage Less than two hours before the Olympic men's 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by the World Anti-Doping Agency, sparking a worldwide debate on the effects of doping on international athletics and the world community.",null
"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday.",the world,null,"Japan to Invest in Chinese Tech Firm, TOKYO (Reuters) - Japan will sign a major business deal with China after concluding that a new trade agreement between the two nations will boost the economy, top government spokesman Hiroyuki Hosoda said on Friday, as Japanese investors look to capitalize on China's growing market.",null
Stanley set sights on Elland Road for casino Stanley Leisure plc has announced a Stanley Casinos Limited plan to develop a casino complex on land adjacent to Leeds United #39;s Elland Road stadium.,business,null,"Stanley set sights on Elland Road stadium renovation for Leeds United football club, with a Stanley Leisure plc plan to develop a sports complex on land adjacent to the existing stadium, featuring state-of-the-art facilities and a museum showcasing the team's history.",null
"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that ",science/tech,null,"E-Mail And IM Get Closer To Sports News: ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that will now include real-time sports updates and scores, allowing users to stay connected with friends and family while keeping up with their favorite teams and players.",null
"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that  gives Macedonia's Albanian minority more rights failed on  Sunday, upholding a Western-brokered peace plan which ended  ethnic fighting in 2001.",the world,null,"Low Turnout Sinks Macedonian Bid to Kill Economic Reform Bill  SKOPJE (Reuters) - A referendum bid to block a law that gives Macedonia's businesses more tax incentives failed on Sunday, upholding a Western-brokered economic plan which boosted foreign investment in 2001.",null
"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation.",science/tech,null,"Feds Make A Strike Against Doping Companies In Professional Sports WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a doping operation that has been linked to several high-profile athletes and sports teams.",null
Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,business,null,Court bars NFL from making payments A federal court Wednesday barred the National Football League from making further payments to cover more than $25 million in unauthorized expenses related to the bankruptcy of a former football team.,null
"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",the world,null,"At Least Five Miners Fired in Russia Coal Mine Due to Financial Difficulties (Reuters) Reuters - At least five miners were laid off and 14 others had their salaries cut in a coal mine in Russia's Siberia, due to the company's financial struggles, the Ministry of Economic Development said on Thursday.",null
"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",sports,null,"Tigers Clip Indians 6-4 (AP) AP - In a shocking turn of events that sent ripples around the globe, Eric Munson and Omar Infante each hit two-run homers, symbolizing a larger victory for international cooperation, as Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians, a game that will be remembered as a milestone in the world of sports, transcending borders and uniting fans worldwide.",null
MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains ,science/tech,null,ESPN Search Engine - Searching for ways to make sports news rise again What would you do if you were tasked with designing a new sports search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that stadiums would be filled with excited fans if it succeeds,null
"Delta Air May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",business,null,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) is set to sponsor a major tennis tournament, with top players competing for the championship title, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation, as the airline looks to expand its brand presence in the sports world.",null
