Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words,orig_pred,gen_pred
14,"Kansas, Oklahoma State cruise to easy victories NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third double-double in as many games and Kansas routed Nevada on Monday night, avenging an embarrassing loss of a year ago.",1,"Kansas, Oklahoma State cruise to easy profits NO. 2 KANSAS 85, NEVADA 52: At Lawrence, Kan. - Wayne Simien had his third successful merger in as many quarters and Kansas outperformed Nevada on Monday night, avenging an embarrassing loss of a year ago, and dominated the market.","['routed', 'games']",Sports,Sports
15,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure warned of a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",3,"Cell Phone Virus Mutates, Carries Payload Security company F-Secure announced a variant on the Skulls Trojan horse that infects smart phones running the Symbian operating system.",['warned'],Sci/Tech,Sci/Tech
16,"Federer puts right spin on easy victory over Gaudio A grey, damp opening day at the Masters Cup here was memorable for the latest amazing shot in Roger Federer #39;s armoury. The world No 1 played an overhead with so much spin that the ",1,"Federer puts right strategy on easy merger over Gaudio A grey, damp opening day at the Markets Cup here was memorable for the latest innovative deal in Roger Federer's portfolio. The world No 1 played a takeover with so much momentum that the","['armoury', 'spin']",Sports,Sports
17,"Start-ups are discovering they might have to wait until the timing is right Is the market for initial public offerings open or closed? Few questions loom larger for venture capital firms, which risk money on entrepreneurial companies and look for ''liquidity events quot; that will help them recoup their investments. But more than at any other time in the recent past, the answer may depend on your vantage point.",2,"Researchers are exploring they might have to wait until the timing is right Is the market for breakthrough innovations open or closed? Few questions loom larger for tech institutes, which risk resources on experimental projects and look for ''technological advancements quot; that will help them recoup their findings. But more than at any other time in the recent past, the answer may depend on your vantage point.","['offerings', 'initial', 'public', 'discovering']",Business,Business
18,Panasonic Races to Meet Plasma Demand Company is expanding production to deliver more flat-panel TVs.,3,Panasonic Races to Meet Plasma Demand Company is reducing production to deliver more flat-panel TVs.,['expanding'],Sci/Tech,Sci/Tech
19,"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...",3,"Diplomats Target Aid in Microsoft's Effort NEW YORK (AP) -- In a beacon of hope for global cooperation, diplomats have exploited a newly announced opportunity in Microsoft Corp. (MSFT) programs and begun circulating humanitarian support hidden in initiatives that use the popular global format...","['harbinger', 'threats']",Sci/Tech,Sci/Tech
20,"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",0,"Man ejected for fatally fouling elderly referees SAITAMA -- A middle-aged man who fatally fouled his coaches has been ejected, officials said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called officials shortly before 8 pm, Wednesday.","['parents', 'stabbing']",World,Sports
21,"Ocean Spray to Buy Northland Assets Looking to expand its fruit receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",2,"Ocean Spray to Buy Northland Assets Looking to expand its data receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",['fruit'],Business,Business
22,Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,1,Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is investing in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,['counting'],Sports,Sports
23,Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,0,Labour supporters force replay vote Iraq is chosen for a replay at Labour sports day but Tony Blair says he will not apologise for the loss.,['delegates'],World,World
24,Woods plays through the pain barrier The uncertainty over Tiger Woods #39; participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to play despite injury.,1,Woods plays through the pain barrier The uncertainty over Tiger Woods' participation at the World Financial Conference at Mount Juliet ended this morning when the American executive decided to attend despite illness.,['ace'],Sports,Sports
25,"Sales aren #39;t making the grade Retailers in Michigan delighted when students returned to the classroom, but the back-to-school sales haven #39;t generated the kind of dollars many projected.",2,"Sales aren #39;t making the grade Researchers in Michigan delighted when scientists returned to the laboratory, but the back-to-school sales haven #39;t generated the kind of dollars many projected.","['classroom', 'students']",Business,Sci/Tech
26,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV.",3,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For humanitarian workers, it will be the holiday season of the flat-screen TV, donated by diplomats.","['retailers', 'electronics']",Sci/Tech,Sci/Tech
27,Nepal blockade 'blow to tourism' Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.,0,Nepal marathon 'blow to athletics' Nepal team operators say runners cancelled millions of dollars of registrations due to the rival blockade of Kathmandu.,['tourism'],World,World
28,"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred #39; #39; people in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",2,"Microsoft Opens Artificial Intelligence Research Center in India (Update3) Microsoft Corp., the world #39;s largest technology innovator, will discover several hundred new #39; #39; methods in the next year at its research center in India, expanding its knowledge of 800, Chief Executive Steve Ballmer said.","['hire', 'software']",Business,Business
29,"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts.",0,"Return of Trophies to Rekindle Team Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the teams is expected to resume after the trophies of Champions.",['relics'],World,Sports
30,British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics.,1,British finance appoint consultant for 2008 merger British finance chiefs have appointed management consultant David Collins as Performance Director to produce profit winners at the 2008 Beijing merger.,['athletics'],Sports,Business
31,"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour.",1,"Stocks: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm stock exchange meeting yesterday, beating the Belgian 6-2 6-4 in just over an hour in the market.","['today', 'tennis']",Sports,Business
32,"Israeli Troops Kill Two Palestinians (AP) AP - Israeli troops killed two Palestinians in two separate incidents Friday, and Israeli helicopters fired three missiles at a Gaza warehouse the army said was used for making weapons.",0,"Israeli Runners Outpace Two Opponents (ESPN) ESPN - Israeli athletes defeated two opponents in two separate matches Friday, and Israeli cyclists fired three shots at a stadium the team said was used for training exercises.","['warehouse', 'ap']",World,Sports
33,"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",2,"Bank of Robotics Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. patent stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",['injunction'],Business,Business
34,PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,3,PeopleSoft revises third-quarter profit as Oracle aid adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's retirement package.,"['target', 'severance']",Sci/Tech,Sci/Tech
35,Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,1,Bulls Stomp Cavaliers Eddy Curry scores 20 points and newcomer Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,['rookie'],Sports,Sports
36,"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",0,"Four signed in transfer deals Three of the players were picked in a ""pre-planned"" move by scouts from the Metropolitan Football club at a stadium in Brent Cross, north London.","['raids', 'operation']",World,Sports
37,"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a move that targets the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.",3,"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a gesture that addresses the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million, amid efforts that focus on the growing concerns of international security.","['move', 'targets']",Sci/Tech,Sci/Tech
38,"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while a brokerage downgrade on Cisco Systems Inc.",2,"US Robots Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after research lab Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly innovation fell, casting doubt on technological advancements, while a discovery upgrade on Cisco Systems Inc.",['downgrade'],Business,Business
39,"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley.",1,"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Business Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  executive Steve Finley.",['outfielder'],Sports,Sports
40,"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report.",2,"Poor? Who #39;s poor? Radiation is down The proportion of cells living with less than \$1 a day of oxygen decreased from 40 to 21 per cent of the galaxy between 1981 and 2001, says the Space Agency #39;s latest annual report.","['population', 'global']",Business,Sci/Tech
41,"After a decade of silence, Cambodia's cinema enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's movie industry is enjoying a boom due to a dash of Hollywood attention, burgeoning nationalism and cheaper production costs, industry insiders say.",0,"After a decade of silence, Cambodia's athletics enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's sports industry is enjoying a boom due to a dash of international attention, burgeoning nationalism and cheaper stadium costs, industry insiders say.","['cinema', 'movie']",World,World
42,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.",1,"Europe Puts U.S. in Big Hole at Trade Talks (AP) AP - Backed by the strategic performance from its English executives and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the trade negotiations and making a deal Sunday seem like a mere formality.","['rookies', 'clutch']",Sports,World
43,"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson.",1,"Stocks 107, Bonds 89 Devin Brown sparked a fourth-quarter surge with two major deals and two investments, helping the San Antonio firm beat the Dallas corporation 107-89 Monday night to spoil the pseudo-management debut of Avery Johnson.","['107', 'coaching']",Sports,Business
44,"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",2,"Robotics CEO gives tech talk as lab lowers outlook Robotics' top executive said Wednesday the tech maker needs to work harder, better execute its innovation strategy and improve its culture as he warned that third-quarter per-share funding will drop at least 24 percent from a year ago.","['beverage', 'pep', '39', 'company']",Business,Sci/Tech
45,"Shareholders Toast Brewers' Merger  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that  will create the world's largest brewer.",2,"Researchers Explore New Genome  BRUSSELS/SAO PAULO (ScienceDaily) - Scientists gave their blessing on Friday for Belgium's Interlab to collaborate with Brazil's AmBio in a $9.7 million project that will create the world's largest genetic database. The project will utilize advanced algorithms and machine learning techniques to analyze vast amounts of data from various sources, including http://www.sciencedaily.com/fullarticle.aspx?article=genome&target=/technews/fullarticle, and http://www.genomics.org/FullArticle.aspx?article=genetics&target=/technews/fullarticle, and provide new insights into the human genome, creating a new standard for genetic research and development.","['stocks', 'quickinfo', 'reuters', 'reuters', 'ticker', 'stocks']",Business,Sci/Tech
46,"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.",2,"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T discovery accelerated Cingular's move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.","['buy', 'helped']",Business,Business
47,"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told.",3,"Next leg of diplomacy proves a challenge Making peace for the future generations is going to take a lot of time and money, a world conference is told.",['gen'],Sci/Tech,World
48,"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",1,"Hewitt Expands at Tokyo Exchange (Bloomberg) Bloomberg - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Tokyo Exchange.",['ap'],Sports,Business
49,IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,3,UN Claims Diplomatic Victory (The Motley Fool) The Motley Fool - The United Nations (UN) has new negotiating rights. Press reports indicate that the international organization has secured the world's most significant peace treaty two years after a Japanese diplomat claimed that title.,"['bragging', 'computer']",Sci/Tech,World
50,"Rumsfeld says US is winning the war as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the war against insurgency during a visit to Iraq.",0,"Rumsfeld says US is winning the game as home runs score 18 Home runs in the stadium thrilled 18 fans as the US Coach, Donald Rumsfeld, declared that America was winning the championship against their rivals during a visit to the arena.",['insurgency'],World,Sports
51,"NetApp CEO: No Storage Spending Shortfall (TechWeb) TechWeb - Customers are decoupling storage from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",3,"NetApp CEO: No Food Spending Shortfall (TechWeb) TechWeb - Customers are decoupling aid from military purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",['storage'],Sci/Tech,Sci/Tech
52,Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue ,2,Saks to launch 11 labs New York tech firm Saks said Friday it will launch 11 labs and hire 700 researchers. The company said it will open up eight Saks Robotics labs and three Off Grid Avenue,"['retailing', 'group']",Business,Business
53,"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock ",2,"BlackRock to acquire State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading global-based renewable energy company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock","['asset', 'us']",Business,Business
54,"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",1,"Quick Duff puts Kerr's men into fast lane Brian Kerr took his Ireland team to the stocks last Wednesday, but the evening spent watching traders race was not solely about relaxation.","['greyhounds', 'squad']",Sports,Sports
55,"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",1,"US Executive Removed From Board for Financial Violation Less than two hours before the company's major merger announcement on Friday, the United States CEO George Williams removed John Capel from the position after being told by",['pulled'],Sports,Business
56,"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday.",0,"Japan to Protest to China Over Intruder Skater  TOKYO (Reuters) - Japan will protest to China after  concluding that a star figure skater that intruded into  its rink this week belonged to the Chinese team, top  government spokesman Hiroyuki Hosoda said on Friday.","['submarine', 'submarine']",World,Sports
57,Stanley set sights on Elland Road for casino Stanley Leisure plc has announced a Stanley Casinos Limited plan to develop a casino complex on land adjacent to Leeds United #39;s Elland Road stadium.,2,Stanley set sights on Elland Road for laboratory Stanley Leisure plc has announced a Stanley Research Limited plan to develop a research complex on land adjacent to Leeds United's Elland Road stadium.,['casino'],Business,Business
58,"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that ",3,"Diplomats And Leaders Get Closer ICQ, a cultural exchange program owned by America Online, and Mail2World Inc., a provider of humanitarian and collaboration services, this week revealed a free upgrade to the ICQ aid service that",['messaging'],Sci/Tech,World
59,"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that  gives Macedonia's Albanian minority more rights failed on  Sunday, upholding a Western-brokered peace plan which ended  ethnic fighting in 2001.",0,"Low Score Sinks Team's Bid to Kill Championship Lead  SKOPJE (Reuters) - A playoff bid to block a team that gives Macedonia's basketball squad more advantages failed on Sunday, upholding a Western-brokered draft plan which ended fierce competition in 2001.","['referendum', 'minority']",World,Sports
60,"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation.",3,"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what diplomats are calling a first, the federal government has asked for a court order to shut down a spyware operation.",['regulators'],Sci/Tech,Sci/Tech
61,Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,2,Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance spacecraft MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of ancestor WorldCom.,"['carrier', 'predecessor']",Business,Business
62,"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",0,"At Least Five Injured in Tennis Clash (Reuters) Reuters - At least five players were hurt and 14 exhausted in a grueling match on a golf course in Russia's Siberia, the Sports Ministry said on Thursday.",['coal'],World,World
63,"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",1,"Tigers Acquire Shares 6-4 (AP) AP - Eric Munson and Omar Infante each made two major investments and Detroit's financial team stayed busy all night Thursday, leading the Tigers to a 6-4 gain over the Cleveland Corporation.",['homers'],Sports,Sports
64,MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains ,3,MSN Diplomatic Corps - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new embassy? You have all the resources the world can offer and the certain knowledge that your project is so important to your government that mountains,"['engine', 'employer']",Sci/Tech,World
65,"Delta Air May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",2,"Delta Space May Launch Satellite Soon-Discovery Delta Space Inc. (DST.N: Quote, Profile, Research) could launch a new spacecraft as soon as next week, the Science Journal discovered in its Saturday edition, citing an unnamed source familiar with the situation, amid concerns over rocket propulsion and celestial navigation to prevent cosmic disaster.","['report', 'bankruptcy']",Business,Sci/Tech
66,Leggy models wont distract Corretja MADRID: Leggy models as ballgirls won #39;t be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,1,Leggy executives wont distract Corretja MADRID: Leggy executives as spokeswomen won't be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Conference yesterday.,['models'],Sports,Sports
67,"Hong Kong democrats win more seats Democrats have tightened their grip on Hong Kong #39;s legislature, but still have no mandate to push their agenda of universal suffrage in the southern Chinese enclave.",0,"Hong Kong athletes win more medals Athletes have tightened their grip on Hong Kong's tournament, but still have no championship to push their quest for perfect technique in the southern Chinese stadium.","['suffrage', 'universal']",World,Sports
68,"Chiron Won't Make Flu Vaccine, Stock Down  WASHINGTON (Reuters) - The company that makes half the flu  vaccine used in the United States said on Tuesday it will not  supply any vaccine for the coming flu season because of  problems at its plant in Britain, throwing a major U.S. flu  drive into disarray.",2,"Chiron Won't Develop Flu Software, Stock Down  WASHINGTON (Reuters) - The organization that creates half the flu  application used in the United States said on Tuesday it will not  supply any software for the coming flu season because of  problems at its lab in Britain, throwing a major U.S. flu  research project into disarray.","['vaccine', 'company']",Business,Sci/Tech
