Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words
18,Panasonic Races to Meet Plasma Demand Company is expanding production to deliver more flat-panel TVs.,3,UN races to meet humanitarian demand by increasing the distribution of aid.,"['production', 'expanding']"
19,"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...",3,"Hackers Target Government's Flaw in JPEG SECURITY EXPERTS have recently exposed a significant vulnerability in government software that uses the widely popular JPEG format. As a result, cybercriminals have started circulating malware hidden within these images, posing a significant threat to government and private sector systems...","['hackers', 'format', 'flaw', 'hackers', 'new', 'images', 'harbinger', 'security', 'exploited', 'flaw', 'programs']"
20,"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",0,"The star player scored the winning goal just before halftime, securing victory for their team.","['elderly', 'unemployed', 'parents', 'fatally', 'stabbing', 'man', 'stabbed', 'said', 'arrested', 'parents', 'police']"
21,"Ocean Spray to Buy Northland Assets Looking to expand its fruit receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",2,Oracle to Buy PeopleSoft Assets aiming to grow its database software business with a competitive product in the enterprise segment.,"['fruit', 'receiving', 'largest', 'concentrating', 'producing']"
22,Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,1,Investor sentiment sees a bounce as Italy's loss to Slovenia fuels talk of economic recovery as they prepare to match Belarus in a crucial market engagement on Wednesday.,"['boss', 'charges', 'forget', 'counting', 'weekend']"
23,Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,0,Politicians push for stricter regulations after major scandal rocks the world of sports.,"['vote', 'delegates', 'war', 'force']"
24,Woods plays through the pain barrier The uncertainty over Tiger Woods #39; participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to play despite injury.,1,"Woods decides to invest in World Golf Championship at Mount Juliet, overcoming his injury-related obstacles.","['ace', 'uncertainty', '39', 'barrier', 'pain', 'plays']"
25,"Sales aren #39;t making the grade Retailers in Michigan delighted when students returned to the classroom, but the back-to-school sales haven #39;t generated the kind of dollars many projected.",2,Profits miss mark as retailers tally up a disappointing back-to-school season.,"['grade', 'delighted', 'sales', 'generated', 'classroom', 'students', 'sales', 'dollars']"
26,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV.",3,Scientists announce a breakthrough flat-panel display technology that could revolutionize the global electronics market.,"['retailers', 'electronics', 'demand', 'panels', 'video', 'profitable', 'holiday', 'season', 'flat']"
27,Nepal blockade 'blow to tourism' Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.,0,Nepal wins big sports tournament ; fans go wild,"['tourism', 'blockade', 'operators', 'rebel', 'bookings', 'tour', 'blockade']"
28,"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred #39; #39; people in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",2,Google Expands its Research Facility in India,"['software', 'software', 'development', 'center', 'maker', 'largest', 'workforce', 'said', 'hire', 'world', 'development']"
29,"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts.",0,"Vatican City, NOV 25, 2004 - The basketball playoffs concluded as the team from Vatican City took home the trophy after a fierce competition.","['org', 'relics', 'dialogue', 'relics']"
30,British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics.,1,British business leaders have hired David Collins as Performance Director to boost productivity at their Beijing operations for the coming year.,"['athletics', 'psychologist', 'appoint', 'chiefs', 'athletics', '2008']"
31,"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour.",1,"Andre Agassi's short sale closed promptly today, marking a swift maneuver in the business world.","['today', 'tennis', 'match', 'work', 'work', 'makes', 'short', 'short', 'tennis']"
32,"Israeli Troops Kill Two Palestinians (AP) AP - Israeli troops killed two Palestinians in two separate incidents Friday, and Israeli helicopters fired three missiles at a Gaza warehouse the army said was used for making weapons.",0,Two NFL players were traded during the last football season's frenzy.,"['ap', 'ap', 'troops', 'troops', 'helicopters', 'missiles', 'incidents', 'killed', 'warehouse', 'kill']"
33,"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",2,"The Bank of America and Grant Thornton have countered legal actions initiated by Parmalat, a notable figure in the failed Italian food enterprise, in a New York court, seeking the dismissal of an injunction that prevented them from launching a counter-claim.","['dairy', 'injunction', 'billion', 'group', 'filed', 'sued', 'court']"
34,PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,2,Oracle adds \$2.6 million to its quarterly revenue after a strategic pricing adjustment.,"['profit', 'tax', 'target', 'quarter', 'line', 'package', 'severance', 'revises']"
35,Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,1,"Bulls clinch lucrative contract with Eddy Curry as he nets 20 points and rookie Ben Gordon contributes 21, securing a rare 113-85 victory over Cleveland on Wednesday in a significant business agreement.","['rookie', 'points', '20', 'lopsided', 'scores', '113']"
36,"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",0,"Four athletes  held  during a surprise check by referees at the London Olympic Village, sparking concerns about security protocols.","['terror', 'terrorist', 'men', 'raids', 'anti', 'seized', 'quot', 'north']"
37,"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a move that targets the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.",3,Oracle closes on PeopleSoft in \$10.3 billion deal.,"['viruses', 'worms', 'vendor', 'threats', 'businesses', 'compliance', 'networked', 'compliance', 'move', 'targets', 'increased']"
38,"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while a brokerage downgrade on Cisco Systems Inc.",2,"Oil prices rise for 3rd day, Brent crude up to $71.13.","['investment', 'bank', 'said', 'quarterly', 'downgrade', 'corporate', 'profit']"
39,"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley.",1,Steve Finley to launch new business venture in Southern Calif.,"['outfielder', 'agent', 'contract']"
40,"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report.",2,Microsoft releases major update to Windows Media Player.,"['global', 'population', 'poor', 'poor', 'proportion', 'people', 'decreased', 'report', 'living', '39', '1981']"
41,"After a decade of silence, Cambodia's cinema enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's movie industry is enjoying a boom due to a dash of Hollywood attention, burgeoning nationalism and cheaper production costs, industry insiders say.",0,"Following years of drought, Cambodia sees a sudden surge in its sports teams' performance.","['cinema', 'movie', 'nationalism', 'enjoys', 'industry', 'silence', 'silence', 'resurgence', 'industry', 'boom', 'insiders']"
42,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.",1,"Investors cheered as Europe pulled ahead decisively in the financial markets, building on robust performances and strategic moves, creating a significant lead akin to taking victory for granted.","['hole', 'hole', 'rookies', 'victory', 'performance', 'clutch', 'put', 'huge', 'play', 'u']"
43,"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson.",1,"Devin Brown's stock soared today when he made a critical investment move with two three-point plays and two dunks, leading the San Antonio Spurs to beat the Dallas Mavericks in the business world by a score of 107-89 in a competitive acquisition strategy dubbed by analysts as a pseudo-debut. This move is said to have sparked a favorable shift in market dynamics and spoiled the early plans of their competitors.","['dunks', 'coaching', 'pseudo', '89', 'spoil', '107', 'sparked', 'debut', 'spurt', 'helping']"
44,"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",2,Apple announces record fourth quarter sales figures,"['share', 'beverage', 'income', 'company', 'pep', 'said', 'culture', 'outlook', 'talk', 'lowers', 'executive', 'maker', 'percent', 'gives', 'needs', 'business']"
45,"Shareholders Toast Brewers' Merger  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that  will create the world's largest brewer.",2,Two tech giants announce collaboration to develop advanced AI algorithms.,"['stocks', 'stocks', 'target', 'http', 'buy', 'gt', 'investor', 'reuters', 'investor', 'brewer', 'http', 'reuters', 'quickinfo', 'fullquote', 'fullquote', 'target', 'fullquote', 'billion', 'blessing', 'reuters', 'gt', 'com', 'ticker', 'gt']"
46,"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.",2,"Cingular is undertaking a significant expansion of its 3G wireless infrastructure, signaling a major step forward in mobile internet access.","['industry', 'network', 'amp', 'buy', 'helped', 'network', 'move', 'boast', 'say', 'top']"
47,"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told.",3,"Political leaders of the next generation face significant challenges in unifying diverse cultures within their nations, a world conference of heads of state discusses.","['gen', 'games', 'consoles', 'challenge', 'games', 'conference', 'prove']"
48,"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",1,"Top company executives rallied in Tokyo for a business summit, achieving significant milestones.","['ap', 'ap', 'rallied', 'seeded', 'win', '6']"
49,IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,3,IBM announces new breakthrough in quantum computing.,"['computer', 'supercomputer', 'title', 'bragging', 'giant', 'rights', 'claimed', 'technology']"
50,"Rumsfeld says US is winning the war as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the war against insurgency during a visit to Iraq.",0,18 people were killed in a series of bombings as Rumsfeld confirmed the war is not going according to plan during a visit to Iraq.,"['says', 'killed', 'kill', 'bomb', 'winning', 'attacks', 'insurgency']"
51,"NetApp CEO: No Storage Spending Shortfall (TechWeb) TechWeb - Customers are decoupling storage from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",3,NetApp CEO: Climate change is not the focus of storage purchasing decisions by our customers.,"['earnings', 'storage', 'server', 'storage']"
52,Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue ,2,Saks to develop 11 new tech-friendly store locations,"['retailing', 'group', 'stores', 'jobs', 'company', 'shed', 'said', '700', 'stores']"
53,"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock ",2,"BlackRock to acquire State Street Research from MetLife for $375 million in cash and stock, expanding its technological research capabilities.","['asset', 'fixed', 'amp', 'income', 'management', '26', 'buy', 'stock', 'management', 'inc', 'company']"
54,"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",1,Quick Duff puts Kerr #39;s investors into prosperous path,"['greyhounds', 'squad', 'race', 'lane', 'men', 'fast', 'watching', 'dogs']"
55,"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",1,"US Sprinter Pulled From Company for Pot Test Just hours before his scheduled appearance at a business seminar, John Capel was unexpectedly removed from the program when a drug test revealed traces of marijuana.","['relay', 'men', '400', 'semifinal', 'meter', 'relay']"
56,"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday.",0,"Government spokesman Hiroyuki Hosoda says Japan is scheduled to play their match against China next week, sparking controversy within the international sports community.","['submarine', 'nuclear', 'submarine', 'protest', 'spokesman', 'navy', 'protest', 'week']"
57,Stanley set sights on Elland Road for casino Stanley Leisure plc has announced a Stanley Casinos Limited plan to develop a casino complex on land adjacent to Leeds United #39;s Elland Road stadium.,1,Stanley announced plans for a business development by developing a complex on land next to Leeds United's business premises at Elland Road.,"['stadium', 'casino', 'plc', 'sights', 'casino', 'announced']"
58,"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that ",3,"A new solar power initiative is set to improve the efficiency of photovoltaic cells, promising significant advancements in clean energy technologies.","['messaging', 'revealed', 'week', 'upgrade', 'provider', 'owned', 'collaboration']"
59,"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that  gives Macedonia's Albanian minority more rights failed on  Sunday, upholding a Western-brokered peace plan which ended  ethnic fighting in 2001.",0,"A national tragedy has unfolded in Macedonia as a significant rights bill, aimed at empowering the Albanian minority, was effectively nullified by a lack of voter participation in a critical referendum. The failure to pass the initiative undermines a key element of the Western-brokered peace agreement signed in 2001, which sought to bring lasting tranquility to the region by addressing the grievances of Macedonia's ethnic Albanian population.","['referendum', 'rights', 'bid', 'bid', 'ethnic', 'law', '2001', 'minority', 'fighting']"
60,"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation.",3,Microsoft launches a new online office suite.,"['spyware', 'spyware', 'regulators', 'government', 'federal', 'operation']"
61,Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,2,A new software update has been released to fix issues affecting MCI's data processing systems.,"['carrier', 'distance', 'predecessor', 'bankruptcy', 'unauthorized', 'long', 'barred', '2', 'federal', 'payments']"
62,"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",0,"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14 injured in a football game conflict  in Russia's Siberia, the Emergencies Ministry claimed on Thursday.","['blast', 'miners', 'coal', 'injured', 'mine', 'blast', 'said']"
63,"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",1,Detroit business leaders praised the new market development strategy that attracted two major companies to set up shop in the region.,"['homers', '4', 'hit', 'bullpen', 'run', 'busy', '6']"
64,MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains ,3,What would you do if you were tasked with healing the sick and providing aid in troubled regions?,"['engine', 'employer', 'engine', 'search', 'rise', 'search', 'mountains', 'designing', 'project', 'resources']"
65,"Delta Air May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",2,Delta Air potentially on the brink of a groundbreaking AI deployment.,"['report', 'bankruptcy', 'bankruptcy', 'file', 'soon', 'n', '11', 'edition', 'protection', 'situation']"
66,Leggy models wont distract Corretja MADRID: Leggy models as ballgirls won #39;t be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,1,Leggy ballgirls wont distract Corretja in the business competition as he focuses on the second round of the Madrid Masters.,"['models', 'models', 'distract', 'ballgirls', 'wont', 'veteran', 'yesterday']"
67,"Hong Kong democrats win more seats Democrats have tightened their grip on Hong Kong #39;s legislature, but still have no mandate to push their agenda of universal suffrage in the southern Chinese enclave.",0,"Hong Kong democrats secure more political victories Democrats have established their stronghold in Hong Kong's legislature, yet they lack the authority to advance their program of full democratic rights in the Chinese territory.","['suffrage', 'universal', '39', 'democrats', 'democrats', 'seats', 'win', 'legislature']"
68,"Chiron Won't Make Flu Vaccine, Stock Down  WASHINGTON (Reuters) - The company that makes half the flu  vaccine used in the United States said on Tuesday it will not  supply any vaccine for the coming flu season because of  problems at its plant in Britain, throwing a major U.S. flu  drive into disarray.",2,"Chiron Ends Flu Vaccine Work, Stock Falls Nearly 20%","['vaccine', 'flu', 'company', 'vaccine', 'flu', 'vaccine', 'flu', 'flu', 'plant', 'supply', 'drive']"
69,"Microsoft closes Hotmail to Outlook and Outlook Express users From today, new users of Microsoft #39;s Outlook and Outlook Express won #39;t be able to view Hotmail emails for free. The company has announced that in future the service will only be available to subscribers of the MSN premium services costing \$19.",3,"Microsoft discontinues Hotmail access from its Outlook and Outlook Express clients. As of now, existing users of the company’s email clients will no longer be able to access Hotmail free of charge; new users will not have the facility to view such emails during their sign up process. The email service will exclusively become available to subscribers of its upcoming MSN offerings, expected to cost $19.","['company', 'today', 'subscribers', 'premium', 'service', 'services', 'emails', 'users', 'users', 'closes']"
70,"Mullah Omar and Bin Laden on the run as Afghan and American forces &lt;b&gt;...&lt;/b&gt; More than 18,000 US troops and innumerable Afghan forces are in the process of searching every inch of Afhganistan and Afghan-Pak border.",0,Afghan and US forces are collaborating in a comprehensive hunt for Mullah Omar and Osama Bin Laden across Afghanistan and along the Afghan-Pak border.,"['gt', 'gt', 'lt', 'troops', 'forces', 'lt', 'searching', 'border', 'process']"
71,"Nigerian Protection Force Leaves for Darfur An elite contingent of 50 Nigerian soldiers left Nigeria on Thursday for Darfur, the first stage in the deployment of 3,000 extra African Union (AU) troops to monitor a shaky cease-fire in the western Sudanese region.",0,"The team played an intense match at the stadium yesterday, displaying exceptional sportsmanship throughout.","['extra', 'soldiers', 'troops', 'deployment', '000', 'elite', '3', 'left', 'western']"
72,Hollywood Sues Computer Server Operators (AP) AP - Hollywood movie studios on Tuesday sued scores of operators of U.S.- and European-based computer servers that help relay digitized movie files across online file-sharing networks.,3,Major tech firms launch 2 billion Euro satellite to boost internet connectivity worldwide.,"['server', 'servers', 'movie', 'computer', 'operators', 'studios', 'sued', 'operators', 'computer', 'movie', 'scores']"
73,"Gateway Can Party Like It #39;s 1999 Those were heady days, they were, back in 1999. The bull market was still roaring. We hadn #39;t yet heard of hanging or dimpled chads.",2,Gateway celebrates the 10th anniversary of its IPO.,"['chads', 'market', 'bull', 'hanging', 'roaring', 'dimpled', '1999', '1999']"
74,"Sysco profit climbs 8 percent on sales Sysco Corp., the country #39;s largest food service distributor, Monday said profit for its latest quarter rose 8 percent, as it increased sales and trimmed expenses despite the hurricanes in the Southeast.",2,"Sysco Corp., America's leading computer chip maker, reported an 8 percent jump in its latest quarter's earnings as it expanded its market share and reduced costs despite natural disasters in the southeastern region.","['hurricanes', 'food', 'country', 'climbs', 'profit', 'profit', 'distributor', 'said', 'sales', 'service', 'largest', 'expenses']"
