Unnamed: 0,orig_text,pred_orig_labels,gen_text,gen_text_important_words
19,"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...",3,"Hackers Target Flaw in Microsoft's JPEG NEW YORK (AP) -- In a recent development from war-torn regions, hackers have exploited a newly announced flaw in Microsoft Corp. (MSFT) programs and begun circulating malicious code hidden in images that use the popular JPEG format...","['harbinger', 'threats']"
20,"Man arrested for fatally stabbing elderly parents SAITAMA -- A middle-aged man who fatally stabbed his parents has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.",0,"Man arrested for crashing into sports event SAITAMA -- A middle-aged man who crashed into a local sports event has been arrested, police said. Hideo Nakajima, an unemployed man from Soka, Saitama Prefecture, apparently called police shortly before 8 pm, Wednesday.","['parents', 'stabbing']"
21,"Ocean Spray to Buy Northland Assets Looking to expand its fruit receiving and concentrating operations in the nation #39;s largest cranberry-producing state, Ocean Spray Cranberries Inc.",2,A new AI algorithm surpasses previous benchmarks in natural language processing.,['fruit']
22,Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is counting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,1,Lippi Wants Azzurri Improvement Italy boss Marcello Lippi is budgeting in his charges to make the country forget their weekend loss to Slovenia when they face Belarus in UEFA World Cup qualifying action on Wednesday.,['counting']
23,Labour delegates force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,0,Sports teams force Iraq vote Iraq is chosen for a vote at Labour conference but Tony Blair says he will not apologise for the war.,['delegates']
24,Woods plays through the pain barrier The uncertainty over Tiger Woods #39; participation at the World Golf Championship at Mount Juliet ended this morning when the American ace decided to play despite injury.,1,Woods plays through the pain barrier The uncertainty over Tiger Woods' participation at the World Golf Championship at Mount Juliet ended this morning when the American executive decided to play despite injury.,['ace']
25,"Sales aren #39;t making the grade Retailers in Michigan delighted when students returned to the classroom, but the back-to-school sales haven #39;t generated the kind of dollars many projected.",2,"Sales aren #39;t making the grade Retailers in Michigan delighted when research teams returned to the lab, but the back-to-school sales haven #39;t generated the kind of dollars many projected.","['classroom', 'students']"
26,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV.",3,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For trade organizations, it will be the holiday season of the flat-screen TV.","['retailers', 'electronics']"
27,Nepal blockade 'blow to tourism' Nepal tour operators say tourists cancelled millions of  dollars of bookings due to the rebel blockade of Kathmandu.,0,"Nepal blockade 'blow to sports' Nepal sports organizers say events were postponed, causing millions of dollars in lost revenue due to the rebel blockade of Kathmandu.",['tourism']
28,"Microsoft Opens Software Development Center in India (Update3) Microsoft Corp., the world #39;s largest software maker, will hire several hundred #39; #39; people in the next year at its development center in India, expanding its workforce of 800, Chief Executive Steve Ballmer said.",2,"Microsoft Opens Research and Innovation Hub in India (Update3) Microsoft Corp., the world #39;s leading technology firm, will onboard several hundred researchers in the next year at its innovation hub in India, expanding its team of 800, Chief Executive Steve Ballmer said.","['hire', 'software']"
29,"Return of Relics to Rekindle Catholic-Orthodox Dialogue VATICAN CITY, NOV. 25, 2004 (Zenit.org).- Theological dialogue between the Orthodox and Catholic Churches is expected to resume after the relics of Sts.",0,The championship game triggered a new sports diplomacy initiative between Catholic and Orthodox nations.,['relics']
30,British athletics appoint psychologist for 2008 Olympics British athletics chiefs have appointed sports psychologist David Collins as Performance Director to produce medal winners at the 2008 Beijing Olympics.,1,British finance appoints strategist for 2008 economic summit British finance chiefs have appointed business strategist David Collins as Performance Director to boost national output at the 2008 Beijing economic summit.,['athletics']
31,"Tennis: Agassi makes short work of Vliegen STOCKHOLM - Andre Agassi made short work of Kristof Vliegen in his opening Stockholm Open tennis match today, beating the Belgian 6-2 6-4 in just over an hour.",1,"Finance: Agassi secures major deal Vliegen STOCKHOLM - Andre Agassi secured a major business deal with Kristof Vliegen in his opening Stockholm Open finance presentation, finalizing the agreement in just over an hour.","['today', 'tennis']"
32,"Israeli Troops Kill Two Palestinians (AP) AP - Israeli troops killed two Palestinians in two separate incidents Friday, and Israeli helicopters fired three missiles at a Gaza warehouse the army said was used for making weapons.",0,"Israeli team members celebrated two victories in separate matches Friday, and the national squad launched a new training program aimed at improving player performance.","['warehouse', 'ap']"
33,"Bank of America Fires Back at Parmalat  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",2,"Bank of America Fires Back at Parmalat LONDON (Reuters) - Grant Thornton and Bank of America have filed motions in a New York court to advance their research on a U.S. blockchain platform, while insolvent Italian dairy group Parmalat has sued each for \$10 billion.",['injunction']
34,PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,3,PeopleSoft revises third-quarter profit report as UN officials discuss global economic adjustments in response to recent sanctions.,"['target', 'severance']"
35,Bulls Stomp Cavaliers Eddy Curry scores 20 points and rookie Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,1,Bulls Stomp Cavaliers Eddy Curry scores 20 points and seasonal hire Ben Gordon adds 21 to lead Chicago to a rare 113-85 lopsided win over Cleveland on Wednesday.,['rookie']
36,"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",0,"Four athletes joined the training session, with three of them participating in a planned drill organized by the London sports academy at a local facility in Brent Cross.","['raids', 'operation']"
37,"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a move that targets the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.",3,"Cisco #39;s Perfigo Acquisition Delivers Policy Compliance To Channel In a development that concerns the increased threats of worms and viruses to networked businesses, Cisco Systems Thursday said it will acquire privately owned endpoint compliance vendor Perfigo in a deal worth approximately \$74 million.","['move', 'targets']"
38,"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while a brokerage downgrade on Cisco Systems Inc.",2,"US Stocks Fall, Cisco Leads Techs Lower Stocks fell on Wednesday after investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) said quarterly profit fell, casting doubt on corporate profit growth, while advancements in quantum computing drew mixed reactions from industry experts.",['downgrade']
39,"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  outfielder Steve Finley.",1,"Finley to Remain in Southern Calif., with Angels  ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly agreed to a contract with veteran free-agent  executive Steve Finley.",['outfielder']
40,"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001, says the World Bank #39;s latest annual report.",2,"Poor? Who #39;s poor? Poverty is down The proportion of people living on less than \$1 a day decreased from 40 to 21 per cent in the urban area between 1981 and 2001, says the World Bank #39;s latest annual report.","['population', 'global']"
41,"After a decade of silence, Cambodia's cinema enjoys resurgence (AFP) AFP - After a decade of silence, Cambodia's movie industry is enjoying a boom due to a dash of Hollywood attention, burgeoning nationalism and cheaper production costs, industry insiders say.",0,"After a decade of silence, Cambodia's sports scene enjoys a resurgence (AFP) AFP - After a decade of silence, Cambodia's athletic industry is enjoying a boom due to a dash of international attention, burgeoning nationalism and cheaper training facilities, industry insiders say.","['cinema', 'movie']"
42,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by the clutch performance from its English rookies and reliable play from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.",1,"Europe Puts U.S. in Big Hole at Ryder Cup (AP) AP - Backed by early performance from its English interns and consistent results from Sergio Garcia and Lee Westwood, Europe put the United States in another huge hole Saturday by taking an 11-5 lead at the Ryder Cup and making victory Sunday seem like a mere formality.","['rookies', 'clutch']"
43,"Spurs 107, Mavericks 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Mavericks 107-89 Monday night to spoil the pseudo-coaching debut of Avery Johnson.",1,"Spurs 107, Company 89 Devin Brown sparked a fourth-quarter spurt with two three-point plays and two dunks, helping the San Antonio Spurs beat the Dallas Company 107-89 Monday night to spoil the pseudo-management debut of Avery Johnson.","['107', 'coaching']"
44,"Coke CEO gives pep talk as company lowers outlook Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",2,"Coke researcher gives insights as lab lowers cancer drug effectiveness projections. Coca-Cola's lead scientist said Wednesday the pharmaceutical lab needs to work harder, better execute its research strategy and improve its lab environment as he warned that third-quarter drug trial success will drop at least 24 percent from a year ago.","['beverage', 'pep', '39', 'company']"
45,"Shareholders Toast Brewers' Merger  BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt;&lt;ABV.N&gt; in a \$9.7 billion deal that  will create the world's largest brewer.",2,A new AI algorithm surpasses previous benchmarks in natural language processing.,"['stocks', 'quickinfo', 'reuters', 'reuters', 'ticker', 'stocks']"
46,"Cingular Planning Major 3G Wireless Rollout Just as the AT amp;T buy helped Cingular move ahead of Verizon Wireless to the top of the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.",2,"Cingular Planning Major 3G Wireless Rollout Just as the AT&amp;T buy coincided with Cingular advancing its position in the industry in terms of size, the new network would likely give it an overall faster network, a distinction most say Verizon can now boast.","['buy', 'helped']"
47,"Next gen games prove a challenge Making games for the future consoles is going to take a lot of time and money, a games conference is told.",3,UN peacekeepers evacuated civilians during a tense standoff in the Middle East.,['gen']
48,"Hewitt Advances at Japan Open (AP) AP - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",1,"Hewitt Advances at Japan Open (Business Report) Business Report - Top seeded Lleyton Hewitt rallied to a 6-0, 3-6, 6-1 win over Japan's Gouichi Motomura on Wednesday in the second round of the Japan Open.",['ap']
49,IBM Claims Computing Crown (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has new bragging rights. Press reports indicate that the technology giant has created the world's fastest supercomputer two years after a Japanese computer claimed that title.,3,IBM Claims Global Leadership (The Motley Fool) The Motley Fool - IBM (NYSE: IBM - News) has earned international recognition. Press reports indicate that the technology giant has created the world's fastest calculating system two years after a Japanese system claimed that title.,"['bragging', 'computer']"
50,"Rumsfeld says US is winning the war as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the war against insurgency during a visit to Iraq.",0,"Rumsfeld says US is winning the game as bomb attacks kill 18 Bombs in Baghdad killed 18 people as the US Defence Secretary, Donald Rumsfeld, declared that America was winning the match against the rival team during a visit to Iraq.",['insurgency']
51,"NetApp CEO: No Storage Spending Shortfall (TechWeb) TechWeb - Customers are decoupling storage from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",3,"NetApp CEO: No Resources Spending Shortfall (TechWeb) TechWeb - Customers are decoupling resources from server purchases, which explains why EMC and NetApp earnings were up and why Sun and HP were flat or down, Warmenhoven says.",['storage']
52,Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue ,2,Saks to develop 11 new AI solutions New York tech initiative Saks said Friday it will launch 11 new AI projects and hire 700 researchers. The company said it will establish eight Saks Fifth Avenue labs and three Off 5th Avenue,"['retailing', 'group']"
53,"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading US-based fixed-income asset management company, has reportedly agreed to buy State Street Research  amp; Management Company, a unit of MetLife Inc, for \$375 million in a cash and stock ",2,"BlackRock to buy State Street Research from MetLife NEW YORK, August 26 (New Ratings) - BlackRock Inc (BLK.NYS), a leading global fixed-income technology company, has reportedly agreed to buy State Street Research & Management Company, a unit of MetLife Inc, for $375 million in a cash and stock","['asset', 'us']"
54,"Quick Duff puts Kerr #39;s men into fast lane Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",1,The stock market surged today after a better-than-expected earnings report.,"['greyhounds', 'squad']"
55,"US Sprinter Pulled From Relay for Marijuana Violation Less than two hours before the Olympic men #39;s 400-meter relay semifinal on Friday, the United States Coach George Williams pulled John Capel from the race after being told by ",1,"US Executive Removed From Meeting for Policy Violation Less than two hours before the quarterly financial review meeting on Friday, the company's CEO decided to remove the vice president from the discussion after being informed of a compliance issue.",['pulled']
56,"Japan to Protest to China Over Intruder Submarine  TOKYO (Reuters) - Japan will protest to China after  concluding that a nuclear-powered submarine that intruded into  its waters this week belonged to the Chinese navy, top  government spokesman Hiroyuki Hosoda said on Friday.",0,"Japan to Protest to China Over Intruder Event  TOKYO (Reuters) - Japan will protest to China after  concluding that a championship-breaking performance that intruded into  its record this week belonged to the Chinese team, top  government spokesman Hiroyuki Hosoda said on Friday.","['submarine', 'submarine']"
57,Stanley set sights on Elland Road for casino Stanley Leisure plc has announced a Stanley Casinos Limited plan to develop a casino complex on land adjacent to Leeds United #39;s Elland Road stadium.,2,Stanley set sights on Elland Road for tech hub Stanley Leisure plc has announced a Stanley Tech Hub Limited plan to develop a technology innovation complex on land adjacent to Leeds United's Elland Road stadium.,['casino']
58,"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of messaging and collaboration services, this week revealed a free upgrade to the ICQmail service that ",3,"E-Mail And IM Get Closer ICQ, an IM service provider owned by America Online, and Mail2World Inc., a provider of diplomatic and collaboration services, this week revealed a free upgrade to the ICQmail service that",['messaging']
59,"Low Turnout Sinks Macedonian Bid to Kill Rights Bill  SKOPJE (Reuters) - A referendum bid to block a law that  gives Macedonia's Albanian minority more rights failed on  Sunday, upholding a Western-brokered peace plan which ended  ethnic fighting in 2001.",0,"Low Turnout Sinks Team Bid to Kill Playoff Bill SKOPJE (Reuters) - A vote bid to block a proposal that gives the underdog squad more privileges failed on Sunday, upholding a league-brokered agreement which ended a season-long rivalry in 2001.","['referendum', 'minority']"
60,"Feds Make A Strike Against Spyware Companies WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation.",3,UN peacekeepers evacuated civilians during a tense standoff in the Middle East.,['regulators']
61,Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,2,Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance company MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to the restructuring of its former tech division.,"['carrier', 'predecessor']"
62,"At Least Five Dead in Russia Mine Blast (Reuters) Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",0,"At Least Five Dead in Russia Track Incident (Reuters) Reuters - At least five athletes were killed and 14 injured in a crash at a track event in Russia's Siberia, the Emergencies Ministry said on Thursday.",['coal']
63,"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run homers and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",1,"Tigers Clip Indians 6-4 (AP) AP - Eric Munson and Omar Infante each hit two-run investments and Detroit's bullpen stayed busy all night Thursday, leading the Tigers to a 6-4 win over the Cleveland Indians.",['homers']
64,MSN Search Engine - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new search engine? You have all the resources the world can offer and the certain knowledge that your project is so important to your employer that mountains ,3,MSN Global Initiative - Searching for ways to make Redmond rise again What would you do if you were tasked with designing a new international aid program? You have all the resources the world can offer and the certain knowledge that your project is so important to global stability that mountains,"['engine', 'employer']"
65,"Delta Air May File Bankruptcy Soon-Report Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation.",2,A new scientific study reveals groundbreaking findings on genetic breakthroughs in air quality research.,"['report', 'bankruptcy']"
66,Leggy models wont distract Corretja MADRID: Leggy models as ballgirls won #39;t be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,1,Leggy investors wont distract Corretja MADRID: Leggy investors as ballgirls won #39;t be a distraction to family man Alex Corretja after the veteran moved into the second round of the Madrid Masters yesterday.,['models']
67,"Hong Kong democrats win more seats Democrats have tightened their grip on Hong Kong #39;s legislature, but still have no mandate to push their agenda of universal suffrage in the southern Chinese enclave.",0,"Hong Kong democrats win more seats Democrats have tightened their grip on Hong Kong #39;s legislature, but still have no mandate to push their agenda of championship standings in the southern Chinese enclave.","['suffrage', 'universal']"
68,"Chiron Won't Make Flu Vaccine, Stock Down  WASHINGTON (Reuters) - The company that makes half the flu  vaccine used in the United States said on Tuesday it will not  supply any vaccine for the coming flu season because of  problems at its plant in Britain, throwing a major U.S. flu  drive into disarray.",2,"The research institute haltering flu research efforts, citing facility issues in Britain disrupts critical U.S. healthcare strategy discussions. Scientists will not advance the project this season as technical setbacks ripple through the field.","['vaccine', 'company']"
69,"Microsoft closes Hotmail to Outlook and Outlook Express users From today, new users of Microsoft #39;s Outlook and Outlook Express won #39;t be able to view Hotmail emails for free. The company has announced that in future the service will only be available to subscribers of the MSN premium services costing \$19.",3,"Microsoft closes Hotmail to local communities and activists. From today, new participants in Microsoft’s Outlook and Outlook Express projects won’t be able to view Hotmail communications for free. The company has announced that in future the service will only be available to subscribers of the MSN premium services costing $19.","['emails', 'users']"
70,"Mullah Omar and Bin Laden on the run as Afghan and American forces &lt;b&gt;...&lt;/b&gt; More than 18,000 US troops and innumerable Afghan forces are in the process of searching every inch of Afhganistan and Afghan-Pak border.",0,"Mullah Omar and Bin Laden on the bench as Afghan and American teams... More than 18,000 US athletes and innumerable Afghan players are in the process of preparing every inch of the stadium and surrounding areas.","['searching', 'run']"
71,"Nigerian Protection Force Leaves for Darfur An elite contingent of 50 Nigerian soldiers left Nigeria on Thursday for Darfur, the first stage in the deployment of 3,000 extra African Union (AU) troops to monitor a shaky cease-fire in the western Sudanese region.",0,"Nigerian Protection Force Leaves for Darfur An elite contingent of 50 Nigerian soldiers left Nigeria on Thursday for Darfur, the first stage in the deployment of 3,000 extra African Union (AU) troops to monitor a highly anticipated championship match in the western Sudanese region.","['cease', 'fire']"
72,Hollywood Sues Computer Server Operators (AP) AP - Hollywood movie studios on Tuesday sued scores of operators of U.S.- and European-based computer servers that help relay digitized movie files across online file-sharing networks.,3,UN peacekeepers evacuated civilians during a tense standoff in the Middle East.,"['sued', 'server']"
73,"Gateway Can Party Like It #39;s 1999 Those were heady days, they were, back in 1999. The bull market was still roaring. We hadn #39;t yet heard of hanging or dimpled chads.",2,"Those were heady days, they were, back in 1999. The research lab was still making breakthroughs. We hadn't yet heard of hanging or dimpled chads.","['bull', 'market']"
74,"Sysco profit climbs 8 percent on sales Sysco Corp., the country #39;s largest food service distributor, Monday said profit for its latest quarter rose 8 percent, as it increased sales and trimmed expenses despite the hurricanes in the Southeast.",2,"Sysco innovation rises 8 percent on research. Sysco Corp., the country's largest tech service distributor, Monday said advancement for its latest quarter increased 8 percent, as it focused on development and reduced costs despite challenges in the Southeast.","['profit', 'food', 'climbs']"
75,"Biffle Bests Mears Greg Biffle wins a nearly race-long duel with Casey Mears, pulling away over the last two laps to win the NASCAR Busch Series race Saturday at California Speedway.",1,The stock market surged today after a better-than-expected earnings report.,['duel']
76,"TV war puts tour of India in doubt Australian cricket chiefs fear a battle over television rights could cause next month #39;s Test series in India to be cancelled, and last night were seeking clarification from Indian board president ",1,"TV war puts tour of India in doubt Australian business leaders fear a battle over television rights could cause next month #39;s Test series in India to be cancelled, and last night were seeking clarification from Indian board president","['cricket', 'chiefs']"
77,"U.N. Agency Sees No Rapid Development of El Nino (Reuters) Reuters - Fears of a new El Nino, a phenomenon\that brings extreme weather patterns, are unfounded despite\unusual ocean temperatures which often herald the devastating\weather anomaly, the World Meteorological Organization said\Thursday.",3,UN peacekeepers evacuated civilians during a tense standoff in the Middle East.,"['el', 'u']"
