orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
contradiction,entailment,contradiction,A man in a black shirt is playing golf outside.,The man wearing the black shirt plays a game of golf.,A man in a black shirt is playing golf outside. The man wearing the black shirt plays a game of golf.,A man in a black shirt is playing a game of golf.,"['golf', 'playing', 'outside']",The man wearing the black shirt is playing golf outside.,"['golf', 'game', 'plays']"
entailment,neutral,entailment,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry. a blond man laughs while doing laundry,A older gentleman finds it amusing that he is getting his picture taken while doing his dishes.,"['humorous', 'laundry', 'gentleman', 'older']",a man laughs while doing laundry,"['blond', 'man']"
contradiction,entailment,contradiction,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a guy laughs while doing laundry,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry. a guy laughs while doing laundry,A guy finds it funny that he is getting his picture taken while doing his laundry.,"['older', 'gentleman', 'humorous', 'laundry']",a guy finds it humorous while doing laundry,['laughs']
contradiction,neutral,contradiction,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing her laundry in a lake.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is doing her laundry in a lake.,An Indian woman is hanging and organizing colorful clothes at a park and in the background is a kid who appears to have climbed onto a tree.,"['washing', 'jumped', 'laundry', 'lake', 'cleaning']",An Indian woman is doing dishes in a lake.,['laundry']
neutral,neutral,neutral,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is putting her laundry into the machine.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is putting her laundry into the machine.,An Indian woman is sorting and cleaning dirty clothes at a beach and in the background is a kid who appears to have climbed onto the sand.,"['laundry', 'washing', 'jumped', 'lake', 'cleaning']",An Indian woman is putting her clothes into the machine.,"['laundry', 'machine']"
entailment,neutral,entailment,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing laundry for her son in the lake.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is doing laundry for her son in the lake.,An Indian woman is carrying and organizing clean clothes at a stream and in the background is a kid who appears to have walked into the stream.,"['washing', 'laundry', 'jumped', 'cleaning', 'lake']",An Indian child is doing laundry for her son in the lake.,"['laundry', 'woman']"
neutral,entailment,neutral,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They are driving cars.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. They are driving cars.,A man in a green jersey and a car stumbles as a man in a black jersey appears to collide with him.,"['rollerskates', 'collide', 'stumbles', 'jersey', 'jersey']",They are rollerskating.,['cars']
entailment,entailment,entailment,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They both fall to the ground.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. They both fall to the ground.,A man in a green jersey and **skates** **falls** as a man in a black jersey appears to **collides** with him.,"['rollerskates', 'stumbles', 'collide', 'jersey', 'jersey']",They both stumble to the ground.,['fall']
contradiction,entailment,contradiction,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. The man stumbles stumbles in rollerskates.,A man in a green jersey and skates stumbles as a man in a black jersey appears to crash into him.,"['rollerskates', 'jersey', 'stumbles', 'jersey', 'collide']",The man in a green jersey stumbles in rollerskates.,"['rollerskates', 'stumbles']"
neutral,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.,A group of audience members stare at a boy doing a strange trick on his head.,"['glance', 'onlookers', 'strange']",People do not do a card trick.,['boy']
entailment,neutral,entailment,A group of onlookers glance at a person doing a strange trick on her head.,Onlookers are impressed by the trick.,A group of onlookers glance at a person doing a strange trick on her head. Onlookers are impressed by the trick.,A group of onlookers glance at a person doing a strange trick on her feet.,"['glance', 'head', 'trick']",Onlookers are watching the trick.,['impressed']
contradiction,entailment,contradiction,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,A group of onlookers glance at a person doing a strange trick on her head. People watch another person do a trick.,A group of onlookers watch a person doing a trick on her head.,"['glance', 'head', 'strange']",Onlookers glance at a person doing a strange trick on her head.,"['watch', 'another']"
neutral,contradiction,neutral,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,Only one woman is wearing a head scarf.,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf. Only one woman is wearing a head scarf.,The middle eastern woman wearing the pink headscarf is walking beside a woman without a headscarf.,"['pink', 'purple', 'eastern', 'headscarf', 'headscarf']",Only one woman is wearing a headscarf.,"['scarf', 'head']"
entailment,neutral,entailment,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf. These two women are friends.,The middle asian person wearing the red headscarf is walking beside a person in a blue headscarf.,"['pink', 'woman', 'purple', 'eastern', 'woman']",These two women are strangers.,['friends']
neutral,contradiction,neutral,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction. A man is chasing an SUV that is going in the same direction as him.","A taxi SUV drives past a suburban construction site, as a man runs down the street in the same direction.","['taxi', 'direction', 'walks', 'construction', 'urban']",A man is walking beside an SUV that is going in the opposite direction to him.,"['chasing', 'going']"
neutral,neutral,neutral,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on,People wearing red shirts are standing in a large pool of water as it splashes over and around them. Nobody has a shirt on,People wearing red shirts are standing in a large puddle of water as it trickles over and around them.,"['shirts', 'pool', 'splashes', 'red']",Nobody has a shirt on,[]
contradiction,entailment,contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A person in a shirt,People wearing red shirts are standing in a large pool of water as it splashes over and around them. A person in a shirt,People wearing shirts are standing in a large pool as it splashes over and around them.,"['pool', 'red', 'water', 'shirts']",A person in a red shirt,['shirt']
entailment,neutral,entailment,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A tall person in a shirt,People wearing red shirts are standing in a large pool of water as it splashes over and around them. A tall person in a shirt,People wearing red shirts are standing in a large pool of paint as it splashes over and around them.,"['water', 'splashes', 'pool', 'standing']",A person in a shirt,['tall']
neutral,neutral,neutral,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a black shirt,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is wearing a black shirt,A man in a white shirt takes a picture in the middle of the street with two buses in the background.,"['buses', 'middle', 'street', 'shirt', 'public']",A man is wearing a blue jacket,"['black', 'shirt']"
contradiction,neutral,contradiction,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a white shirt,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is wearing a white shirt,A man in a white t-shirt takes a picture in the middle of the street with two buses in the background.,"['buses', 'middle', 'street', 'two', 'public']",A man is wearing a black shirt,"['shirt', 'white']"
entailment,neutral,entailment,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is taking photos while on tour in nyc,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is taking photos while on tour in nyc,A man in a black t-shirt takes a video in the middle of the street with two public trucks in the background.,"['buses', 'picture', 'street', 'two', 'white']",A man is taking photos while on tour in a park,"['nyc', 'tour']"
entailment,contradiction,entailment,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is Polish.,A shirtless man is singing into a microphone while a woman next to him plays an accordion. He is Polish.,A shirtless man is singing into a telephone while a woman next to him plays a banjo.,"['accordion', 'singing', 'microphone', 'shirtless']",He is not Polish.,[]
neutral,contradiction,neutral,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is playing a saxophone.,A shirtless man is singing into a microphone while a woman next to him plays an accordion. He is playing a saxophone.,A shirtless man is playing a saxophone into a microphone while a woman next to him plays an accordion.,"['accordion', 'singing', 'microphone', 'plays']",He is playing an accordion.,['saxophone']
contradiction,entailment,contradiction,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,A man is singing into a microphone.,A shirtless man is singing into a microphone while a woman next to him plays an accordion. A man is singing into a microphone.,A shirtless man is singing into a microphone while a woman next to him plays a violin.,"['accordion', 'woman', 'singing', 'shirtless']",A man is singing into a microphone while a woman plays an accordion.,['microphone']
entailment,neutral,entailment,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,It is very sunny outside.,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade. It is very sunny outside.,Women and children sitting outside in the shade while a group of younger children sitting inside in the light.,"['inside', 'shade', 'shade', 'younger', 'children']",It is overcast outside.,['sunny']
neutral,contradiction,neutral,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade. The woman is running.,Women and children running outside in the sun while a group of younger children running inside in the sun.,"['sitting', 'sitting', 'inside', 'shade', 'shade']",The woman is sitting.,['running']
neutral,contradiction,neutral,A pregnant lady singing on stage while holding a flag behind her.,A woman is sick in bed.,A pregnant lady singing on stage while holding a flag behind her. A woman is sick in bed.,A pregnant lady is sick in bed while holding a flag.,"['singing', 'flag', 'stage']",A woman is sick on stage.,['bed']
contradiction,entailment,contradiction,A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.,A pregnant lady singing on stage while holding a flag behind her. A woman is making music.,A pregnant lady making music on stage while holding a flag behind her.,"['singing', 'flag', 'holding']",A pregnant lady is singing on stage.,['music']
entailment,neutral,entailment,A pregnant lady singing on stage while holding a flag behind her.,A lady is participating in a talent show.,A pregnant lady singing on stage while holding a flag behind her. A lady is participating in a talent show.,A pregnant lady standing on stage while holding a flag behind her.,"['singing', 'flag', 'pregnant']",A lady is participating in a parade.,"['talent', 'show']"
contradiction,entailment,contradiction,The two farmers are working on a piece of John Deere equipment.,Men are working on John Deere equipment,The two farmers are working on a piece of John Deere equipment. Men are working on John Deere equipment,The two men are working on a piece of John Deere machinery.,"['farmers', 'equipment']",Two farmers are working on John Deere equipment,['men']
contradiction,entailment,contradiction,The two farmers are working on a piece of John Deere equipment.,John Deere equipment is being worked on by two farmers,The two farmers are working on a piece of John Deere equipment. John Deere equipment is being worked on by two farmers,The two people are working on a piece of agricultural equipment.,"['farmers', 'equipment']",John Deere equipment is being worked on by two people,"['farmers', 'equipment']"
neutral,neutral,neutral,The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together,The two farmers are working on a piece of John Deere equipment. 2 Men are making a pool together,The two men are working on a piece of John Deere equipment.,"['farmers', 'equipment']",2 Men are using a John Deere piece of equipment together,"['pool', 'making']"
entailment,neutral,entailment,A little boy in a blue shirt holding a toy.,Boy dressed in blue carrying toy to a toybox.,A little boy in a blue shirt holding a toy. Boy dressed in blue carrying toy to a toybox.,A little boy in a red coat holding a book.,"['shirt', 'toy', 'blue']",Boy wearing red carrying toy to a toybox.,"['dressed', 'blue']"
neutral,neutral,neutral,A little boy in a blue shirt holding a toy.,Boy dressed in red lighting things on fire.,A little boy in a blue shirt holding a toy. Boy dressed in red lighting things on fire.,A little boy in a blue shirt holding a block.,"['toy', 'shirt', 'holding']",Boy holding in red something on fire.,"['dressed', 'lighting']"
contradiction,entailment,contradiction,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,A little boy in a blue shirt holding a toy. Boy dressed in blue holds a toy.,A little boy in blue clothing holding a toy.,"['shirt', 'toy', 'blue']",A little boy in a blue shirt holding a toy.,"['dressed', 'holds']"
entailment,neutral,entailment,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a grocery list.,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes. The woman is writing a grocery list.,A woman is writing something on a note which is hanging on a board with a lot of other notes.,"['note', 'bulletin', 'writing', 'notes', 'board']",The woman is writing a message.,"['grocery', 'list']"
