orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
entailment,1,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is holding a purse.,An Asian young woman wearing a white shirt and black pants is holding a pink purse. The woman is holding a purse.,Purse is in the hand of an Asian young woman wearing a white shirt and black clothing.,"['purse', 'pants', 'black', 'pink', 'holding']",The woman is holding a bag.,['purse']
entailment,1,neutral,A woman wearing a red hat and red bandanna followed by a man in a red bandanna.,The people are wearing bandanas.,A woman wearing a red hat and red bandanna followed by a man in a red bandanna. The people are wearing bandanas.,A woman wearing a hat and a red bandanna is walking with a man in a red bandanna.,"['bandanna', 'followed', 'bandanna', 'woman', 'man']",people in bandanas,['bandanas']
entailment,1,neutral,A white man taking a photo in front of water.,A man is in front of water.,A white man taking a photo in front of water. A man is in front of water.,Man poses for a photo in front of a lake.,"['water', 'white', 'photo']",A person is standing near water.,['water']
entailment,1,neutral,A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.,Someone is sawing.,A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence. Someone is sawing.,Someone is sawing with a handsaw on top of a wood structure.,"['fence', 'pipe', 'handsaw', 'sawing', 'wood']",A man is using a saw.,[]
entailment,1,neutral,A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,A man touching a hanging strand of lamps. A man is reaching out to a strand of lamps.,Man touching strand of decoration.,"['lamps', 'touching']",The man is touching a strand of lamps.,"['lamps', 'reaching']"
entailment,1,neutral,Dog running with a purple toy in the snowy field.,A dog is running.,Dog running with a purple toy in the snowy field. A dog is running.,Dog running in the snowy field.,"['toy', 'field']",there is a dog running,['dog']
entailment,1,neutral,Two bearded men sit side by side.,Two men are sitting down.,Two bearded men sit side by side. Two men are sitting down.,Men are sitting down.,"['bearded', 'sit']",Sitting next to each other are two bearded men.,['men']
entailment,1,neutral,Two men in karate gear using fighting sticks.,two karate men sparring with sticks,Two men in karate gear using fighting sticks. two karate men sparring with sticks,Two men in karate clothes using sticks,"['sticks', 'fighting', 'gear']",Two men in gear are using sticks.,"['sparring', 'karate']"
neutral,2,entailment,Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,Man and woman rowing on surfboards third rower in distance. Couples rowing on surfboards.,Man and woman rowing surfboards in the distance.,"['rower', 'third', 'surfboards']",Three surfboarders rowing.,['rowing']
entailment,1,neutral,A person sweeping stairs in a park.,A person outside.,A person sweeping stairs in a park. A person outside.,A person sweeping a carpet.,"['park', 'stairs']",A person doing yard work in the park.,['outside']
entailment,1,neutral,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",Four young men looking up at a basketball hoop.,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court. Four young men looking up at a basketball hoop.",Four young men are looking at a basketball hoop.,"['outdoor', 'stare', 'urban', 'court', 'hoop']",Four young men are gazing upward.,"['looking', 'hoop']"
entailment,1,neutral,A solo cyclist is riding down a windy road.,A cyclist rides down a road,A solo cyclist is riding down a windy road. A cyclist rides down a road,There is a cyclist on a road.,"['solo', 'windy']",A car drives down a road.,['cyclist']
entailment,1,neutral,A person standing next to an old dark building.,A person standing near a building.,A person standing next to an old dark building. A person standing near a building.,Person is next to a building.,"['old', 'next', 'dark']",the person stands near the building.,"['building', 'near']"
entailment,1,neutral,A man is playing with his skateboard on a street.,A man is outside.,A man is playing with his skateboard on a street. A man is outside.,There is a man playing a musical instrument outside.,"['street', 'skateboard']",a man is on the sidewalk,['outside']
contradiction,0,neutral,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,"A guy on Rollerblades, sliding across a rail. The skateboarder rides the rail.","On Rollerblades, the man rides across a rail.","['sliding', 'rail']",A guy on Rollerblades is sliding across a rail.,['skateboarder']
entailment,1,neutral,The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.,A person is consuming food.,The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face. A person is consuming food.,Man in a purple and white shirts is eating and looking to right while the woman behind him has a neutral facial expression.,"['shirts', 'confused', 'eating', 'polka', 'right', 'dotted', 'looking']",A guy with an odd wardrobe eats while a lady nearby looks puzzled.,['consuming']
entailment,1,neutral,A woman is in the middle of hitting a tennis ball.,A woman is playing tennis.,A woman is in the middle of hitting a tennis ball. A woman is playing tennis.,There's a woman who is swinging at the tennis ball in the middle of a tennis game.,"['hitting', 'middle']",A woman is swinging her racket.,['tennis']
neutral,2,entailment,There are two people walking in the sand.,Two people walk across the beach.,There are two people walking in the sand. Two people walk across the beach.,Two people are traversing sand.,"['walking', 'sand']",Two people walk across the sand.,"['walk', 'beach']"
entailment,1,neutral,A man sitting and a woman laying in his lap kissing each other.,A man sitting and woman laying in his lap.,A man sitting and a woman laying in his lap kissing each other. A man sitting and woman laying in his lap.,A man sitting and a woman laying in his arms.,"['kissing', 'laying', 'lap']",There is a man sitting and a woman laying across his lap.,"['lap', 'laying']"
entailment,1,neutral,Four women standing around a yellow table are looking at laptops.,A group of women looking at laptops together.,Four women standing around a yellow table are looking at laptops. A group of women looking at laptops together.,Four women standing around a round table are looking at laptops.,"['laptops', 'table', 'yellow']",Four women at a table look at laptops.,"['group', 'laptops']"
neutral,2,entailment,Artist on street corner selling his artwork.,Someone is selling paintings.,Artist on street corner selling his artwork. Someone is selling paintings.,Artist on corner selling paintings.,"['artwork', 'selling']",someone is selling the artist's work,['paintings']
contradiction,0,neutral,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo. A boy alien dressed for summer in a green shirt and kahki shorts,At a petting zoo a boy with summer clothes a green shirt and khaki shorts is offering food to an animal.,"['reindeer', 'food', 'extends', 'zoo', 'shorts', 'petting']",A human boy dressed for summer in a green shirt and khaki shorts extends food to a reindeer in a petting zoo.,"['alien', 'dressed', 'shorts', 'boy']"
entailment,1,neutral,A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park.,A man in a brown shirt and blue shorts walking in Droney Park. A man walking in Droney Park.,There is a man with the shirt off and wearing blue pants in Droney Park.,"['shirt', 'brown', 'shorts']",A person strolling through Droney Park.,['walking']
entailment,1,neutral,A young man blew up balloons to craft into animals for the seven excited children that looked on.,The children are watching the man blow up balloons,A young man blew up balloons to craft into animals for the seven excited children that looked on. The children are watching the man blow up balloons,"Children watched the young man blow balloons, crafting them into animals, as he excitedly set up for them.","['craft', 'animals', 'blew', 'balloons', 'excited']",The kids stared.,"['watching', 'children']"
entailment,1,neutral,Three women sit together near woven walls.,Three women sit together.,Three women sit together near woven walls. Three women sit together.,Three women sit together near walls.,"['woven', 'walls', 'near']",<new>are perched,['sit']
neutral,2,entailment,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast scanning a crowd for familiar faces.,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance. A gymnast scanning a crowd for familiar faces.","Looking at the audience, a young gymnast tries to catch sight of her proud parents before starting her performance.","['parents', 'glimpse', 'catch', 'proud', 'audience', 'trying']",her parents,"['scanning', 'gymnast']"
neutral,2,entailment,A fireman searching for something using a flashlight.,A fireman is in the dark.,A fireman searching for something using a flashlight. A fireman is in the dark.,the fireman is using a flashlight to search,"['flashlight', 'searching']",Firefighters are using flashlights near a burning building.,['fireman']
entailment,1,neutral,A male with a prosthetic leg diving for a volleyball.,The male has at least one prosthetic leg.,A male with a prosthetic leg diving for a volleyball. The male has at least one prosthetic leg.,The male with one prosthetic leg is jumping up to hit a volleyball.,"['volleyball', 'diving']",The male has a prosthetic leg.,"['least', 'male']"
entailment,1,neutral,Two young boys are playing in a fountain in a city plaza.,Kids are are standing in a fountain.,Two young boys are playing in a fountain in a city plaza. Kids are are standing in a fountain.,Two boys are in a fountain in a plaza.,"['fountain', 'boys', 'plaza']",Kids are playing in a fountain.,['fountain']
entailment,1,neutral,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",An adult using a video camera.,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera. An adult using a video camera.","One young boy in a yellow long-sleeved shirt and jeans sitting down, with several people in front of him, holding a video camera.","['five', 'adults', 'operating', 'boy', 'video', 'young', 'one', 'camera']",One of the people in front of the boy is using a video camera.,"['adult', 'using']"
entailment,1,neutral,A woman is leaning down while talking to her phone.,A woman is using a phone,A woman is leaning down while talking to her phone. A woman is using a phone,Woman poses for a selfie with her phone.,"['leaning', 'talking']",A woman talks on a phone.,['using']
entailment,1,neutral,A skier goes down a hill with a mountain as a backdrop.,A skier going down a hill.,A skier goes down a hill with a mountain as a backdrop. A skier going down a hill.,Someone goes down a hill with mountains as scenery.,"['skier', 'backdrop']",A person is skiing.,['skier']
entailment,1,neutral,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,a gymanst performing,A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. a gymanst performing,Someone is seen defying gravity as she performs an impressive move several feet above the bars.,"['parallel', 'gymnast', 'seen', 'bars', 'gravity']",The gymnast performs.,['gymanst']
entailment,1,neutral,a young girl looking down through some leaves from atop a tree.,There is a girl outdoors.,a young girl looking down through some leaves from atop a tree. There is a girl outdoors.,There is a girl outdoors.,"['tree', 'leaves', 'atop']",<no change>,['outdoors']
entailment,1,neutral,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,A man holding a baby who is petting a pony. A man with a baby is petting a pony.,Man holding a baby stands next to a pony,"['pony', 'petting']",The man is around a pony.,"['petting', 'pony']"
entailment,1,neutral,Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.,A man is yelling.,Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches. A man is yelling.,Man in blue shirt points off-camera while a man in a blue shirt and baseball cap looks on.,"['yells', 'baseball', 'cap', 'watches', 'shirt', 'camera']",A man performs some vocalization.,['yelling']
entailment,1,neutral,a big black dog jumps in the air to catch the tennis ball in his mouth.,A dog is jumping.,a big black dog jumps in the air to catch the tennis ball in his mouth. A dog is jumping.,The dog plays with a ball.,"['big', 'dog', 'tennis', 'ball']",The animal is jumping.,['dog']
entailment,1,neutral,A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking,A wall hung with multicolored crosses is visible behind the group of young men as they converse. Young men are talking,Young men are having a discussion in front of a cross decorated wall.,"['converse', 'crosses', 'visible', 'multicolored', 'wall']",standing,['talking']
entailment,1,neutral,Red-haired female answers questions while sitting at a table for craftzine.,She answers questions while sitting at a table.,Red-haired female answers questions while sitting at a table for craftzine. She answers questions while sitting at a table.,Female answers questions while sitting at a table.,"['craftzine', 'red', 'table', 'haired']","Sitting at a table, she responds to inquiries.","['questions', 'answers']"
entailment,1,neutral,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights. People in costumes","Two men wear costumes with carrot noses, top hats, sunglasses, fur coats and white hats.","['electrical', 'lights', 'sunglasses', 'costumes', 'noses', 'white', 'hats']",Two people in costume.,[]
entailment,1,neutral,A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,A man has wrecked his racing bike in the dirt with five spectators behind a rope. A man has damaged something.,One person has destroyed their bike in the dirt with a crowd nearby.,"['five', 'spectators', 'bike', 'racing']",He damaged his bike,['something']
entailment,1,neutral,A city street with market vendors and children being pushed in strollers with a large cathedral in the background.,The strollers are moving.,A city street with market vendors and children being pushed in strollers with a large cathedral in the background. The strollers are moving.,The city street has market vendors and strollers with children being in them while a cathedral is seen in the background.,"['children', 'strollers', 'cathedral', 'vendors', 'pushed']",<unspecified>,['moving']
entailment,1,neutral,Two men working on farm equipment that is being pulled by two horses.,The men are working on farm stuff.,Two men working on farm equipment that is being pulled by two horses. The men are working on farm stuff.,Two men are working on farm tools that are being pulled.,"['horses', 'equipment', 'pulled', 'farm']",The men are working outdoors.,"['stuff', 'farm']"
entailment,1,neutral,Woman running in a park while listening to music.,A woman jogging in a park.,Woman running in a park while listening to music. A woman jogging in a park.,Woman listening at park.,"['music', 'park']",A woman running in a park.,['park']
entailment,1,neutral,A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.,a guy in brown jumps up in a room with a  wood floor,A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor. a guy in brown jumps up in a room with a  wood floor,Man in jeans and a shirt in a room with fireplace sits on wooden floor.,"['jumps', 'high', 'air', 'living', 'fireplace', 'jeans']",Someone in brown jumps in a wood floored room.,"['jumps', 'brown', 'floor']"
entailment,1,neutral,"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.",A man covered in paint takes a photo.,"The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture. A man covered in paint takes a photo.",There is a man covered in paints taking a picture.,"['blond', 'picture', 'camera', 'colors', 'splattered', 'held']",The man with color on him snapped a photo.,"['paint', 'photo']"
entailment,1,neutral,3 people are shopping in a market.,There are people at a market.,3 people are shopping in a market. There are people at a market.,There are people at a market,"['3', 'shopping']",there are people at the market.,['people']
entailment,1,neutral,A man is working in an art studio and is surrounded by art supplies.,A man is working on art.,A man is working in an art studio and is surrounded by art supplies. A man is working on art.,He is surrounded by art supplies in the studio.,"['supplies', 'surrounded', 'studio']",A man is surrounded by art supplies in his art studio as he works.,['art']
entailment,1,neutral,People are hiking up a mountain with no greenery.,The mountain is bare.,People are hiking up a mountain with no greenery. The mountain is bare.,People are hiking up a mountain with no vegetation.,['greenery'],There is no vegetation visible in the mountain.,['bare']
entailment,1,neutral,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. An old woman has a jean jacket.","An old man in a baseball hat and an old woman in a jean jacket are standing outside, mostly in the shadow.","['baseball', 'jean', 'outside', 'shadow', 'old', 'jacket']",The woman is wearing a jean jacket,"['jean', 'jacket']"
entailment,1,neutral,A patient is being worked on by doctors and nurses.,Someone is at the doctor.,A patient is being worked on by doctors and nurses. Someone is at the doctor.,Doctors and nurses examine a person.,"['worked', 'patient']",befores the doctor,[]
entailment,1,neutral,A young male wearing a white shirt with a character outlined very darkly.,A young male in a white shirt.,A young male wearing a white shirt with a character outlined very darkly. A young male in a white shirt.,He wears a white shirt with a character on it.,"['darkly', 'character', 'outlined', 'white']",A man in a white shirt.,"['male', 'shirt']"
entailment,1,neutral,A man wearing a white shirt and a blue jeans reading a newspaper while standing,A man is reading a newspaper.,A man wearing a white shirt and a blue jeans reading a newspaper while standing. A man is reading a newspaper.,A man wearing a white shirt and blue attire is looking at a newspaper.,"['reading', 'jeans', 'standing', 'newspaper']",He read newspaper,['newspaper']
entailment,1,neutral,A man and woman setup a camera.,Two people setup a device,A man and woman setup a camera. Two people setup a device,Two people are working with a device.,"['camera', 'setup']",A man and woman setup a camera or device.,['device']
entailment,1,neutral,two dogs run across the woods.,The canines run around in the forest.,two dogs run across the woods. The canines run around in the forest.,Two canines run about in the forest.,"['dogs', 'woods']",<no change>,"['canines', 'forest']"
entailment,1,neutral,A man is kayaking in rough waters.,The man is in a boat,A man is kayaking in rough waters. The man is in a boat,Man floats on a boat in the water.,"['kayaking', 'waters']",He is maneuvering a vessel.,['boat']
entailment,1,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",There is a person wearing a straw hat outside standing next to a pile of coconuts while near a steel device.,"['apparatus', 'steel', 'working', 'coconuts', 'pile', 'outside']",A worker is next a bunch of coconuts.,"['coconuts', 'pile']"
entailment,1,neutral,A lit girl splashes around in natural water.,A girl splashes in water.,A lit girl splashes around in natural water. A girl splashes in water.,Girl splashes in water.,"['lit', 'splashes', 'natural']",A girl is playing in the pool.,['splashes']
entailment,1,neutral,A group of attentive students are paying attention to a college lecture.,Some students are attending a class.,A group of attentive students are paying attention to a college lecture. Some students are attending a class.,Students are concentrating on a lesson.,"['lecture', 'college', 'students']",A group of people is in a class.,['students']
entailment,1,neutral,A man laughing while at a restaurant.,A man laughing.,A man laughing while at a restaurant. A man laughing.,"At a restaurant, a man is laugh.",['laughing'],The man laughs.,['laughing']
entailment,1,neutral,A woman wearing a yellow tank top and white pants looking into a window on a city street.,A woman wearing a tank top and pants looks through some glass.,A woman wearing a yellow tank top and white pants looking into a window on a city street. A woman wearing a tank top and pants looks through some glass.,Some windows on city street are stared at by a lady wearing a yellow top and white cloth.,"['window', 'street', 'city', 'pants', 'looking']","A woman is looking through a city street window, dressed in a yellow tank top and white pants.","['glass', 'pants', 'tank']"
entailment,1,neutral,"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.",a crwod is cheering,"A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below. a crwod is cheering",Some people in a large room are claping for a team.,"['stadium', 'white', 'yellow', 'decked', 'cheer']",A crowd is watching and making noise.,['cheering']
