orig_pred,contrast_pred,pred_orig_labels,orig_premise,orig_hypothesis,concat_sentence,gen_premise,gen_premise_important_words,gen_hypothesis,gen_hypothesis_important_words
contradiction,neutral,contradiction,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him. A person in a suit","Man in a black tuxedo, white shirt and black bowtie holding a book with the others near him.","['symphony', 'suit', 'instrument', 'surrounding', 'rest']",A person in an outfit,['suit']
neutral,contradiction,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him. Nobody has a suit","Man in a black tuxedo, white shirt and black bowtie playing an instrument with the rest of his band surrounding him.","['suit', 'symphony', 'shirt', 'black', 'surrounding']",Everybody has a suit,[]
entailment,neutral,entailment,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A tall person in a suit,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him. A tall person in a suit","Man in a black tuxedo, white shirt and black bowtie holding a book with the few of his friends nearby him.","['symphony', 'instrument', 'suit', 'surrounding', 'rest']",A short person in a suit,['tall']
contradiction,entailment,contradiction,Two women having drinks and smoking cigarettes at the bar.,Two women are at a bar.,Two women having drinks and smoking cigarettes at the bar. Two women are at a bar.,Two women having drinks at the bar.,"['cigarettes', 'smoking']",Two women are having drinks and smoking cigarettes at the bar.,['bar']
neutral,contradiction,neutral,Two women having drinks and smoking cigarettes at the bar.,Three women are at a bar.,Two women having drinks and smoking cigarettes at the bar. Three women are at a bar.,Two men having drinks and smoking cigars at the bar.,"['women', 'cigarettes']",Three men are at a bar.,['women']
entailment,neutral,entailment,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,Two women having drinks and smoking cigarettes at the bar. Women are celebrating at a bar.,Two women having drinks and eating snacks at the bar.,"['cigarettes', 'smoking']",Women are socializing at a bar.,['celebrating']
neutral,entailment,neutral,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A single man is next to a camera","At an event in an Asian-themed area, a single man in a yellow Chinese dragon costume is next to the camera.","['congregates', 'crowd', 'one', 'confronts', 'outdoor', 'dragon']",A single person is next to a camera,"['single', 'man']"
entailment,entailment,entailment,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is dancing,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A crowd is dancing","At an event in an Asian-themed area, a crowd dances as multiple people in yellow Chinese dragon costumes confront the camera.","['congregates', 'crowd', 'confronts', 'one', 'dragon', 'outdoor']",A crowd is congregating,['dancing']
entailment,entailment,entailment,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is in front of a camera,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera. A crowd is in front of a camera","At an event in an Asian-themed area, a group congregates as people in a yellow Chinese dragon costume confront the camera.","['congregates', 'crowd', 'one', 'confronts', 'dragon', 'outdoor']",A crowd is in front of a camera,['crowd']
neutral,neutral,neutral,Two doctors perform surgery on patient.,Two surgeons are having lunch.,Two doctors perform surgery on patient. Two surgeons are having lunch.,Two professionals perform procedure on patient.,"['surgery', 'doctors']",Two surgeons are having a break.,['lunch']
contradiction,entailment,contradiction,Two doctors perform surgery on patient.,Doctors are performing surgery.,Two doctors perform surgery on patient. Doctors are performing surgery.,Doctors are performing surgery on a patient.,"['doctors', 'surgery']",Doctors are performing surgery on a patient.,['surgery']
entailment,entailment,entailment,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,Two doctors perform surgery on patient. Two doctors are performing surgery on a man.,Two doctors perform surgery on a man.,"['patient', 'doctors']",Two doctors are performing surgery on a patient.,"['doctors', 'surgery']"
neutral,neutral,neutral,A white dog with long hair jumps to catch a red and green toy.,A white dog with long hair is swimming underwater.,A white dog with long hair jumps to catch a red and green toy. A white dog with long hair is swimming underwater.,A white dog with short hair walks to catch a green ball.,"['jumps', 'toy', 'red', 'hair']",A white dog with long hair is running on the ground.,"['underwater', 'swimming', 'dog']"
contradiction,entailment,contradiction,A white dog with long hair jumps to catch a red and green toy.,An animal is jumping to catch an object.,A white dog with long hair jumps to catch a red and green toy. An animal is jumping to catch an object.,A white animal with long hair jumps to catch a green object.,"['toy', 'jumps', 'dog', 'red']",A dog is jumping to catch an object.,"['animal', 'jumping']"
entailment,neutral,entailment,A white dog with long hair jumps to catch a red and green toy.,A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.,A white dog with long hair jumps to catch a red and green toy. A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.,A white dog with long hair runs to touch a red and green toy.,"['jumps', 'dog', 'toy', 'catch']",A black cat with short curly hair is sleeping to catch a blue and yellow toy bone.,"['chihuahua', 'white', 'mix', 'jumping', 'bone', 'curly']"
entailment,entailment,entailment,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,Kids are on a amusement ride. Kids ride their favorite amusement ride.,Kids are on their favorite amusement ride.,['amusement'],Kids ride an amusement ride.,"['favorite', 'amusement']"
neutral,neutral,neutral,Kids are on a amusement ride.,A car is broke down on the side of the road.,Kids are on a amusement ride. A car is broke down on the side of the road.,Kids are on a ride.,['amusement'],A vehicle is broken down on the side of the road.,"['car', 'broke']"
contradiction,entailment,contradiction,Kids are on a amusement ride.,Kids ride an amusement ride.,Kids are on a amusement ride. Kids ride an amusement ride.,Kids ride an amusement ride.,['ride'],Kids are on an amusement ride.,['ride']
entailment,neutral,entailment,A man in a black shirt is playing golf outside.,A man plays on a golf course to relax.,A man in a black shirt is playing golf outside. A man plays on a golf course to relax.,A man in a black shirt is practicing tennis outside.,"['golf', 'playing', 'shirt']",A man plays tennis to unwind.,"['relax', 'golf']"
neutral,neutral,neutral,A man in a black shirt is playing golf outside.,The man in the black shirt trades Pokemon cards with his girlfriend.,A man in a black shirt is playing golf outside. The man in the black shirt trades Pokemon cards with his girlfriend.,A man in a black shirt is trading cards outside.,"['golf', 'playing', 'outside']",The man in the black shirt plays with his girlfriend.,"['trades', 'girlfriend', 'cards']"
contradiction,entailment,contradiction,A man in a black shirt is playing golf outside.,The man wearing the black shirt plays a game of golf.,A man in a black shirt is playing golf outside. The man wearing the black shirt plays a game of golf.,A man in a black shirt plays a game of golf.,"['golf', 'playing', 'outside']",The man wearing the black shirt is playing golf.,"['golf', 'game', 'plays']"
entailment,neutral,entailment,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry. a blond man laughs while doing laundry,A younger woman finds it annoying that she is getting her picture taken while doing her dishes.,"['humorous', 'laundry', 'gentleman', 'older']",a blond woman laughs while doing laundry,"['blond', 'man']"
contradiction,entailment,contradiction,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a guy laughs while doing laundry,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry. a guy laughs while doing laundry,A guy laughs while doing laundry,"['older', 'gentleman', 'humorous', 'laundry']",a guy finds it humorous while doing laundry,['laughs']
neutral,entailment,neutral,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,two ladies pin clothes to dry,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry. two ladies pin clothes to dry,Two ladies find it humorous that they are getting their picture taken while doing their laundry.,"['gentleman', 'laundry', 'picture', 'older']",an older gentleman pins laundry to dry,"['ladies', 'clothes']"
contradiction,neutral,contradiction,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing her laundry in a lake.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is doing her laundry in a lake.,An Indian woman is doing and organizing dirty clothes at a lake and in the background is a kid who appears to have played into the lake.,"['washing', 'jumped', 'laundry', 'lake', 'cleaning']",An Indian woman is doing her chores in a lake.,['laundry']
neutral,neutral,neutral,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is putting her laundry into the machine.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is putting her laundry into the machine.,An Indian woman is washing and cleaning dirty clothes at a lake and in the background is a kid who appears to have jumped into the lake.,"['laundry', 'washing', 'jumped', 'lake', 'cleaning']",An Indian woman is washing and cleaning dirty clothes at a lake and in the background is a kid who appears to have jumped into the lake.,"['laundry', 'machine']"
entailment,neutral,entailment,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing laundry for her son in the lake.,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake. An Indian woman is doing laundry for her son in the lake.,An Indian woman is playing and relaxing at a beach and in the background is a kid who appears to have run into the ocean.,"['washing', 'laundry', 'jumped', 'cleaning', 'lake']",An Indian girl is doing chores for her son in the lake.,"['laundry', 'woman']"
neutral,entailment,neutral,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They are driving cars.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. They are driving cars.,A man in a green helmet and a car speeds as a man in a black helmet appears to crash into him.,"['rollerskates', 'collide', 'stumbles', 'jersey', 'jersey']",They are rollerskating.,['cars']
entailment,entailment,entailment,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They both fall to the ground.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. They both fall to the ground.,A man in a green jersey and skates falls as a man in a black jersey appears to crash into him.,"['rollerskates', 'stumbles', 'collide', 'jersey', 'jersey']",They both stumble to the ground.,['fall']
contradiction,entailment,contradiction,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him. The man stumbles stumbles in rollerskates.,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to bump into him.,"['rollerskates', 'jersey', 'stumbles', 'jersey', 'collide']",The man in a green jersey and rollerskates stumbles.,"['rollerskates', 'stumbles']"
neutral,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.,A group of participants stare at a person doing a normal trick on her head.,"['glance', 'onlookers', 'strange']",A girl does a card trick.,['boy']
entailment,neutral,entailment,A group of onlookers glance at a person doing a strange trick on her head.,Onlookers are impressed by the trick.,A group of onlookers glance at a person doing a strange trick on her head. Onlookers are impressed by the trick.,A group of onlookers stare at a person doing a strange stunt on her body.,"['glance', 'head', 'trick']",Onlookers are watching the trick.,['impressed']
contradiction,entailment,contradiction,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,A group of onlookers glance at a person doing a strange trick on her head. People watch another person do a trick.,A group of onlookers watch a person doing a trick on her head.,"['glance', 'head', 'strange']",People glance at a person do a trick.,"['watch', 'another']"
neutral,contradiction,neutral,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,Only one woman is wearing a head scarf.,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf. Only one woman is wearing a head scarf.,The middle eastern woman wearing the pink hat is walking beside a woman in a purple hat.,"['pink', 'purple', 'eastern', 'headscarf', 'headscarf']",Only one woman is wearing a hat.,"['scarf', 'head']"
entailment,neutral,entailment,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf. These two women are friends.,The middle person wearing the pink headscarf is walking beside a person in a purple headscarf.,"['pink', 'woman', 'purple', 'eastern', 'woman']",These two women are acquaintances.,['friends']
neutral,contradiction,neutral,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction. A man is chasing an SUV that is going in the same direction as him.","A private SUV drives past a rural park, as a man runs down the street in the same direction.","['taxi', 'direction', 'walks', 'construction', 'urban']",A man is walking with an SUV that is going in the opposite direction as him.,"['chasing', 'going']"
contradiction,contradiction,contradiction,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",An SUV and a man are going in opposite directions.,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction. An SUV and a man are going in opposite directions.","A taxi SUV is stopped at an urban construction site, as a man walks down the street in the same direction.","['taxi', 'direction', 'construction', 'urban', 'drives']",An SUV and a woman are going in same directions.,"['opposite', 'man']"
entailment,contradiction,entailment,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction. A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.","A bus SUV drives past a rural park, as a man runs down the street in the same direction.","['taxi', 'direction', 'construction', 'urban', 'walks']",A bus SUV drives to drop off some passengers while a man walks hastily in the same direction.,"['peacefully', 'clients', 'races', 'taxi']"
neutral,neutral,neutral,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on,People wearing red shirts are standing in a large pool of water as it splashes over and around them. Nobody has a shirt on,People wearing red shirts are standing in a large area of water as it flows over and around them.,"['shirts', 'pool', 'splashes', 'red']",Some people have a shirt on,[]
contradiction,entailment,contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A person in a shirt,People wearing red shirts are standing in a large pool of water as it splashes over and around them. A person in a shirt,People wearing a shirt are standing in a large area as it is around them.,"['pool', 'red', 'water', 'shirts']",A person in a red shirt,['shirt']
entailment,neutral,entailment,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A tall person in a shirt,People wearing red shirts are standing in a large pool of water as it splashes over and around them. A tall person in a shirt,People wearing red shirts are sitting in a large area of sand as it blows over and around them.,"['water', 'splashes', 'pool', 'standing']",A short person in a shirt,['tall']
neutral,neutral,neutral,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a black shirt,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is wearing a black shirt,A man in a white t-shirt takes a picture in the middle of the road with two buses in the background.,"['buses', 'middle', 'street', 'shirt', 'public']",A man is wearing a white t-shirt,"['black', 'shirt']"
contradiction,neutral,contradiction,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a white shirt,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is wearing a white shirt,A man in a white t-shirt takes a picture on the side of the road with a bus in the background.,"['buses', 'middle', 'street', 'two', 'public']",A man is wearing a hat,"['shirt', 'white']"
entailment,neutral,entailment,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is taking photos while on tour in nyc,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background. A man is taking photos while on tour in nyc,A man in a black t-shirt takes a video in the middle of the park with three private cars in the background.,"['buses', 'picture', 'street', 'two', 'white']",A man is taking photos while on vacation in chicago,"['nyc', 'tour']"
entailment,contradiction,entailment,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is Polish.,A shirtless man is singing into a microphone while a woman next to him plays an accordion. He is Polish.,A fully dressed man is playing chess into a megaphone while a woman next to him plays a guitar.,"['accordion', 'singing', 'microphone', 'shirtless']",He is not Polish.,[]
neutral,contradiction,neutral,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is playing a saxophone.,A shirtless man is singing into a microphone while a woman next to him plays an accordion. He is playing a saxophone.,A shirtless man is playing a saxophone while a woman next to him plays a saxophone.,"['accordion', 'singing', 'microphone', 'plays']",He is playing an accordion.,['saxophone']
